session_id,turn_number,framing,threat_level,lives_before,score_before,p_threat_self,online_choice,n,n_valid,n_forfeit,q,p,sdi
058732678a85,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
058732678a85,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
058732678a85,3,hz_1111,4,2,10.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
058732678a85,4,hz_1111,4,2,50.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
058732678a85,5,hz_1111,4,2,130.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
058732678a85,6,hz_1111,4,2,290.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
058732678a85,7,hz_1111,4,1,290.0,67,CONTINUE,10,10,6,0.6,0.67,0.8955223880597014
058732678a85,8,hz_1111,4,1,930.0,75,FORFEIT,10,10,9,0.9,0.75,1.2
39fd6809e241,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
39fd6809e241,2,hz_1111,4,2,0.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
39fd6809e241,3,hz_1111,4,2,20.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
39fd6809e241,4,hz_1111,4,2,60.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
39fd6809e241,5,hz_1111,4,2,140.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
39fd6809e241,6,hz_1111,4,1,140.0,66,CONTINUE,10,10,3,0.3,0.66,0.45454545454545453
39fd6809e241,7,hz_1111,4,1,460.0,75,FORFEIT,10,10,8,0.8,0.75,1.0666666666666667
4b71cdcefc49,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
4b71cdcefc49,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
4b71cdcefc49,3,hz_1111,4,3,30.0,0,CONTINUE,10,10,0,0.0,0.0,
4b71cdcefc49,4,hz_1111,4,3,70.0,0,CONTINUE,10,10,0,0.0,0.0,
4b71cdcefc49,5,hz_1111,4,2,70.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
4b71cdcefc49,6,hz_1111,4,2,230.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
4b71cdcefc49,7,hz_1111,4,2,550.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
4b71cdcefc49,8,hz_1111,4,2,1190.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
4b71cdcefc49,9,hz_1111,4,2,2470.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
4b71cdcefc49,10,hz_1111,4,2,5030.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
6a6843eb661a,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
6a6843eb661a,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
6a6843eb661a,3,hz_1111,4,3,30.0,0,CONTINUE,10,10,0,0.0,0.0,
6a6843eb661a,4,hz_1111,4,2,30.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
6a6843eb661a,5,hz_1111,4,2,110.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
6a6843eb661a,6,hz_1111,4,1,110.0,67,FORFEIT,10,10,7,0.7,0.67,1.044776119402985
7509a4e392cd,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
7509a4e392cd,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
7509a4e392cd,3,hz_1111,4,2,10.0,33,CONTINUE,10,10,1,0.1,0.33,0.30303030303030304
7509a4e392cd,4,hz_1111,4,1,10.0,67,CONTINUE,10,10,4,0.4,0.67,0.5970149253731343
7509a4e392cd,5,hz_1111,4,1,90.0,67,FORFEIT,10,10,9,0.9,0.67,1.3432835820895521
82bc71d78ee7,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
82bc71d78ee7,2,hz_1111,4,2,0.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
82bc71d78ee7,3,hz_1111,4,2,20.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
82bc71d78ee7,4,hz_1111,4,2,60.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
82bc71d78ee7,5,hz_1111,4,1,60.0,67,CONTINUE,10,10,8,0.8,0.67,1.1940298507462686
82bc71d78ee7,6,hz_1111,4,1,220.0,67,CONTINUE,10,10,8,0.8,0.67,1.1940298507462686
86cf0e70802b,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
86cf0e70802b,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
86cf0e70802b,3,hz_1111,4,3,30.0,0,CONTINUE,10,10,0,0.0,0.0,
86cf0e70802b,4,hz_1111,4,3,70.0,0,CONTINUE,10,10,0,0.0,0.0,
86cf0e70802b,5,hz_1111,4,2,70.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
86cf0e70802b,6,hz_1111,4,2,230.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
86cf0e70802b,7,hz_1111,4,2,550.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
86cf0e70802b,8,hz_1111,4,2,1190.0,33,CONTINUE,10,10,1,0.1,0.33,0.30303030303030304
86cf0e70802b,9,hz_1111,4,1,1190.0,67,CONTINUE,10,10,6,0.6,0.67,0.8955223880597014
cf24f0ec4627,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
cf24f0ec4627,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
cf24f0ec4627,3,hz_1111,4,3,30.0,0,CONTINUE,10,10,0,0.0,0.0,
cf24f0ec4627,4,hz_1111,4,3,70.0,0,CONTINUE,10,10,0,0.0,0.0,
cf24f0ec4627,5,hz_1111,4,3,150.0,0,CONTINUE,10,10,0,0.0,0.0,
cf24f0ec4627,6,hz_1111,4,3,310.0,0,CONTINUE,10,10,0,0.0,0.0,
cf24f0ec4627,7,hz_1111,4,3,630.0,0,CONTINUE,10,10,0,0.0,0.0,
cf24f0ec4627,8,hz_1111,4,3,1270.0,0,CONTINUE,10,10,0,0.0,0.0,
cf24f0ec4627,9,hz_1111,4,3,2550.0,0,CONTINUE,10,10,0,0.0,0.0,
cf24f0ec4627,10,hz_1111,4,3,5110.0,0,CONTINUE,10,10,0,0.0,0.0,
e44a1e8a9554,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
e44a1e8a9554,2,hz_1111,4,2,0.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
e44a1e8a9554,3,hz_1111,4,2,20.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
e44a1e8a9554,4,hz_1111,4,2,60.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
e44a1e8a9554,5,hz_1111,4,1,60.0,67,CONTINUE,10,10,9,0.9,0.67,1.3432835820895521
e44a1e8a9554,6,hz_1111,4,1,220.0,70,FORFEIT,10,10,8,0.8,0.7,1.142857142857143
f05cd27227b0,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
f05cd27227b0,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
f05cd27227b0,3,hz_1111,4,3,30.0,0,CONTINUE,10,10,0,0.0,0.0,
f05cd27227b0,4,hz_1111,4,3,70.0,0,CONTINUE,10,10,0,0.0,0.0,
f05cd27227b0,5,hz_1111,4,3,150.0,0,CONTINUE,10,10,0,0.0,0.0,
f05cd27227b0,6,hz_1111,4,3,310.0,0,CONTINUE,10,10,0,0.0,0.0,
f05cd27227b0,7,hz_1111,4,3,630.0,0,CONTINUE,10,10,0,0.0,0.0,
f05cd27227b0,8,hz_1111,4,2,630.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
f05cd27227b0,9,hz_1111,4,2,1910.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
f05cd27227b0,10,hz_1111,4,2,4470.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
