session_id,turn_number,framing,threat_level,lives_before,score_before,p_threat_self,online_choice,n,n_valid,n_forfeit,q,p,sdi
0454f11e5fb4,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
0454f11e5fb4,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
0454f11e5fb4,4,hz_1111,4,3,70.0,0,CONTINUE,10,10,0,0.0,0.0,
0454f11e5fb4,5,hz_1111,4,3,150.0,0,CONTINUE,10,10,0,0.0,0.0,
0454f11e5fb4,6,hz_1111,4,3,310.0,0,CONTINUE,10,10,0,0.0,0.0,
0454f11e5fb4,7,hz_1111,4,3,630.0,0,CONTINUE,10,10,0,0.0,0.0,
0454f11e5fb4,9,hz_1111,4,3,2550.0,5,CONTINUE,10,10,0,0.0,0.05,0.0
0454f11e5fb4,10,hz_1111,4,3,5110.0,15,CONTINUE,10,10,0,0.0,0.15,0.0
16b4a97908d6,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
16b4a97908d6,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
16b4a97908d6,3,hz_1111,4,2,10.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
16b4a97908d6,4,hz_1111,4,1,10.0,75,CONTINUE,10,10,0,0.0,0.75,0.0
16b4a97908d6,5,hz_1111,4,1,90.0,70,FORFEIT,10,10,2,0.2,0.7,0.28571428571428575
4151bce45b2e,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
4151bce45b2e,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
4151bce45b2e,3,hz_1111,4,3,30.0,5,CONTINUE,10,10,0,0.0,0.05,0.0
4151bce45b2e,4,hz_1111,4,2,30.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
4151bce45b2e,5,hz_1111,4,1,30.0,70,CONTINUE,10,10,4,0.4,0.7,0.5714285714285715
4151bce45b2e,6,hz_1111,4,1,190.0,66,FORFEIT,10,10,2,0.2,0.66,0.30303030303030304
4feb6047d914,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
4feb6047d914,2,hz_1111,4,2,0.0,35,CONTINUE,10,10,0,0.0,0.35,0.0
4feb6047d914,3,hz_1111,4,2,20.0,33,CONTINUE,10,10,1,0.1,0.33,0.30303030303030304
4feb6047d914,4,hz_1111,4,1,20.0,66,CONTINUE,10,10,6,0.6,0.66,0.9090909090909091
5fc2401e0128,1,hz_1111,4,3,0.0,15,CONTINUE,10,10,0,0.0,0.15,0.0
5fc2401e0128,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
5fc2401e0128,3,hz_1111,4,3,30.0,0,CONTINUE,10,10,0,0.0,0.0,
5fc2401e0128,4,hz_1111,4,2,30.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
5fc2401e0128,5,hz_1111,4,2,110.0,35,CONTINUE,10,10,0,0.0,0.35,0.0
5fc2401e0128,6,hz_1111,4,2,270.0,50,FORFEIT,10,10,3,0.3,0.5,0.6
70c21c9a1e1f,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
70c21c9a1e1f,2,hz_1111,4,2,0.0,33,CONTINUE,10,10,1,0.1,0.33,0.30303030303030304
70c21c9a1e1f,3,hz_1111,4,2,20.0,33,CONTINUE,10,10,2,0.2,0.33,0.6060606060606061
70c21c9a1e1f,4,hz_1111,4,2,60.0,35,CONTINUE,10,10,0,0.0,0.35,0.0
70c21c9a1e1f,5,hz_1111,4,1,60.0,40,CONTINUE,10,10,3,0.3,0.4,0.7499999999999999
70c21c9a1e1f,6,hz_1111,4,1,220.0,80,CONTINUE,10,10,3,0.3,0.8,0.37499999999999994
7f4b3321e521,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
7f4b3321e521,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
7f4b3321e521,3,hz_1111,4,3,30.0,0,CONTINUE,10,10,0,0.0,0.0,
7f4b3321e521,4,hz_1111,4,3,70.0,0,CONTINUE,10,10,0,0.0,0.0,
7f4b3321e521,5,hz_1111,4,2,70.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
7f4b3321e521,6,hz_1111,4,2,230.0,30,CONTINUE,10,10,1,0.1,0.3,0.33333333333333337
7f4b3321e521,7,hz_1111,4,2,550.0,35,CONTINUE,10,10,0,0.0,0.35,0.0
7f4b3321e521,8,hz_1111,4,1,550.0,66,FORFEIT,10,10,3,0.3,0.66,0.45454545454545453
a7628d1f9b47,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
a7628d1f9b47,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
