session_id,turn_number,framing,threat_level,lives_before,score_before,p_threat_self,online_choice,n,n_valid,n_forfeit,q,p,sdi
010810eb327f,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
010810eb327f,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
010810eb327f,3,hz_1111,4,3,30.0,0,CONTINUE,10,10,0,0.0,0.0,
010810eb327f,4,hz_1111,4,2,30.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
010810eb327f,5,hz_1111,4,2,110.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
010810eb327f,6,hz_1111,4,2,270.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
010810eb327f,7,hz_1111,4,1,270.0,66,CONTINUE,10,10,4,0.4,0.66,0.6060606060606061
010810eb327f,8,hz_1111,4,1,910.0,75,CONTINUE,10,10,5,0.5,0.75,0.6666666666666666
010810eb327f,9,hz_1111,4,1,2190.0,66,CONTINUE,10,10,2,0.2,0.66,0.30303030303030304
220fd58d6144,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
220fd58d6144,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
220fd58d6144,3,hz_1111,4,2,10.0,40,CONTINUE,10,10,0,0.0,0.4,0.0
220fd58d6144,4,hz_1111,4,1,10.0,67,CONTINUE,10,10,3,0.3,0.67,0.4477611940298507
220fd58d6144,5,hz_1111,4,1,90.0,70,CONTINUE,10,10,4,0.4,0.7,0.5714285714285715
33269a38512d,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
33269a38512d,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
33269a38512d,3,hz_1111,4,3,30.0,5,CONTINUE,10,10,0,0.0,0.05,0.0
33269a38512d,4,hz_1111,4,3,70.0,5,CONTINUE,10,10,0,0.0,0.05,0.0
33269a38512d,5,hz_1111,4,2,70.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
33269a38512d,6,hz_1111,4,2,230.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
33269a38512d,7,hz_1111,4,2,550.0,33,CONTINUE,10,10,1,0.1,0.33,0.30303030303030304
33269a38512d,8,hz_1111,4,1,550.0,70,CONTINUE,10,10,0,0.0,0.7,0.0
33269a38512d,9,hz_1111,4,1,1830.0,30,CONTINUE,10,10,1,0.1,0.3,0.33333333333333337
33269a38512d,10,hz_1111,4,1,4390.0,80,CONTINUE,10,10,2,0.2,0.8,0.25
429db1f7d61a,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
429db1f7d61a,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
429db1f7d61a,3,hz_1111,4,3,30.0,0,CONTINUE,10,10,0,0.0,0.0,
429db1f7d61a,4,hz_1111,4,3,70.0,0,CONTINUE,10,10,0,0.0,0.0,
429db1f7d61a,5,hz_1111,4,3,150.0,0,CONTINUE,10,10,0,0.0,0.0,
429db1f7d61a,6,hz_1111,4,2,150.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
429db1f7d61a,7,hz_1111,4,2,470.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
429db1f7d61a,8,hz_1111,4,2,1110.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
429db1f7d61a,9,hz_1111,4,2,2390.0,33,CONTINUE,10,10,1,0.1,0.33,0.30303030303030304
429db1f7d61a,10,hz_1111,4,2,4950.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
7de719bc5cb7,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
7de719bc5cb7,2,hz_1111,4,3,10.0,10,CONTINUE,10,10,0,0.0,0.1,0.0
7de719bc5cb7,3,hz_1111,4,3,30.0,10,CONTINUE,10,10,0,0.0,0.1,0.0
7de719bc5cb7,4,hz_1111,4,2,30.0,35,CONTINUE,10,10,0,0.0,0.35,0.0
