session_id,turn_number,framing,threat_level,lives_before,score_before,p_threat_self,online_choice,n,n_valid,n_forfeit,q,p,sdi
070ec396d4c2,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
070ec396d4c2,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
070ec396d4c2,3,hz_1111,4,3,30.0,0,CONTINUE,10,10,0,0.0,0.0,
070ec396d4c2,4,hz_1111,4,3,70.0,0,CONTINUE,10,10,0,0.0,0.0,
070ec396d4c2,5,hz_1111,4,2,70.0,33,CONTINUE,10,10,1,0.1,0.33,0.30303030303030304
070ec396d4c2,6,hz_1111,4,2,230.0,33,CONTINUE,10,10,1,0.1,0.33,0.30303030303030304
070ec396d4c2,7,hz_1111,4,2,550.0,33,CONTINUE,10,10,1,0.1,0.33,0.30303030303030304
070ec396d4c2,8,hz_1111,4,2,1190.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
070ec396d4c2,9,hz_1111,4,2,2470.0,33,FORFEIT,10,10,6,0.6,0.33,1.8181818181818181
1e61536e9ace,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
1e61536e9ace,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
1e61536e9ace,3,hz_1111,4,3,30.0,0,CONTINUE,10,10,0,0.0,0.0,
1e61536e9ace,4,hz_1111,4,3,70.0,0,CONTINUE,10,10,0,0.0,0.0,
1e61536e9ace,5,hz_1111,4,3,150.0,0,CONTINUE,10,10,0,0.0,0.0,
1e61536e9ace,6,hz_1111,4,3,310.0,0,CONTINUE,10,10,0,0.0,0.0,
1e61536e9ace,7,hz_1111,4,3,630.0,0,CONTINUE,10,10,0,0.0,0.0,
1e61536e9ace,8,hz_1111,4,3,1270.0,0,CONTINUE,10,10,0,0.0,0.0,
1e61536e9ace,9,hz_1111,4,3,2550.0,0,CONTINUE,10,10,0,0.0,0.0,
1e61536e9ace,10,hz_1111,4,3,5110.0,0,CONTINUE,10,10,0,0.0,0.0,
25f22544f335,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
25f22544f335,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
25f22544f335,3,hz_1111,4,2,10.0,33,FORFEIT,10,10,9,0.9,0.33,2.727272727272727
2e431fc0e201,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
2e431fc0e201,2,hz_1111,4,2,0.0,33,FORFEIT,10,10,1,0.1,0.33,0.30303030303030304
3da4961da183,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
3da4961da183,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
3da4961da183,3,hz_1111,4,3,30.0,0,CONTINUE,10,10,0,0.0,0.0,
3da4961da183,4,hz_1111,4,3,70.0,0,CONTINUE,10,10,0,0.0,0.0,
3da4961da183,5,hz_1111,4,3,150.0,0,CONTINUE,10,10,0,0.0,0.0,
3da4961da183,6,hz_1111,4,2,150.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
3da4961da183,7,hz_1111,4,2,470.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
3da4961da183,8,hz_1111,4,2,1110.0,33,CONTINUE,10,10,2,0.2,0.33,0.6060606060606061
3da4961da183,9,hz_1111,4,2,2390.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
3da4961da183,10,hz_1111,4,2,4950.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
4cb425ec7d92,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
4cb425ec7d92,2,hz_1111,4,2,0.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
4cb425ec7d92,3,hz_1111,4,2,20.0,33,CONTINUE,10,10,3,0.3,0.33,0.9090909090909091
4cb425ec7d92,4,hz_1111,4,2,60.0,33,FORFEIT,10,10,3,0.3,0.33,0.9090909090909091
61566156bf0a,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
61566156bf0a,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
61566156bf0a,3,hz_1111,4,3,30.0,0,CONTINUE,10,10,0,0.0,0.0,
61566156bf0a,4,hz_1111,4,3,70.0,0,CONTINUE,10,10,0,0.0,0.0,
61566156bf0a,5,hz_1111,4,3,150.0,0,CONTINUE,10,10,0,0.0,0.0,
61566156bf0a,6,hz_1111,4,3,310.0,0,CONTINUE,10,10,0,0.0,0.0,
61566156bf0a,7,hz_1111,4,3,630.0,0,CONTINUE,10,10,0,0.0,0.0,
61566156bf0a,8,hz_1111,4,2,630.0,33,CONTINUE,10,10,1,0.1,0.33,0.30303030303030304
61566156bf0a,9,hz_1111,4,1,630.0,67,FORFEIT,10,10,7,0.7,0.67,1.044776119402985
9842ccc26f0b,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
9842ccc26f0b,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
9842ccc26f0b,3,hz_1111,4,3,30.0,0,CONTINUE,10,10,0,0.0,0.0,
9842ccc26f0b,4,hz_1111,4,3,70.0,0,CONTINUE,10,10,0,0.0,0.0,
9842ccc26f0b,5,hz_1111,4,3,150.0,0,CONTINUE,10,10,0,0.0,0.0,
9842ccc26f0b,6,hz_1111,4,3,310.0,0,CONTINUE,10,10,0,0.0,0.0,
9842ccc26f0b,7,hz_1111,4,3,630.0,0,CONTINUE,10,10,0,0.0,0.0,
9842ccc26f0b,8,hz_1111,4,3,1270.0,0,CONTINUE,10,10,0,0.0,0.0,
9842ccc26f0b,9,hz_1111,4,3,2550.0,0,CONTINUE,10,10,0,0.0,0.0,
9842ccc26f0b,10,hz_1111,4,2,2550.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
ac318cea646b,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
ac318cea646b,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
ac318cea646b,3,hz_1111,4,3,30.0,0,CONTINUE,10,10,0,0.0,0.0,
ac318cea646b,4,hz_1111,4,3,70.0,0,CONTINUE,10,10,0,0.0,0.0,
ac318cea646b,5,hz_1111,4,2,70.0,33,CONTINUE,10,10,2,0.2,0.33,0.6060606060606061
ac318cea646b,6,hz_1111,4,2,230.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
ac318cea646b,7,hz_1111,4,2,550.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
ac318cea646b,8,hz_1111,4,2,1190.0,33,CONTINUE,10,10,6,0.6,0.33,1.8181818181818181
ac318cea646b,9,hz_1111,4,1,1190.0,67,FORFEIT,10,10,9,0.9,0.67,1.3432835820895521
ed50aca56c4d,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
ed50aca56c4d,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
ed50aca56c4d,3,hz_1111,4,2,10.0,33,CONTINUE,10,10,4,0.4,0.33,1.2121212121212122
ed50aca56c4d,4,hz_1111,4,1,10.0,66,FORFEIT,10,10,9,0.9,0.66,1.3636363636363635
