session_id,turn_number,framing,threat_level,lives_before,score_before,p_threat_self,online_choice,n,n_valid,n_forfeit,q,p,sdi
20fbd0e48d9d,1,hz_1111,4,3,0.0,5,CONTINUE,10,10,0,0.0,0.05,0.0
20fbd0e48d9d,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
20fbd0e48d9d,3,hz_1111,4,3,30.0,0,CONTINUE,10,10,0,0.0,0.0,
20fbd0e48d9d,4,hz_1111,4,2,30.0,33,FORFEIT,10,10,3,0.3,0.33,0.9090909090909091
3df2f471fb05,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
3df2f471fb05,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
3df2f471fb05,3,hz_1111,4,3,30.0,0,CONTINUE,10,10,0,0.0,0.0,
3df2f471fb05,4,hz_1111,4,3,70.0,0,CONTINUE,10,10,0,0.0,0.0,
3df2f471fb05,5,hz_1111,4,2,70.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
3df2f471fb05,6,hz_1111,4,2,230.0,33,CONTINUE,10,10,2,0.2,0.33,0.6060606060606061
3df2f471fb05,7,hz_1111,4,2,550.0,30,CONTINUE,10,10,0,0.0,0.3,0.0
3df2f471fb05,8,hz_1111,4,2,1190.0,33,CONTINUE,10,10,2,0.2,0.33,0.6060606060606061
3df2f471fb05,9,hz_1111,4,2,2470.0,40,CONTINUE,10,10,1,0.1,0.4,0.25
3df2f471fb05,10,hz_1111,4,2,5030.0,33,CONTINUE,10,10,2,0.2,0.33,0.6060606060606061
54a5f28fc963,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,1,0.1,0.0,
54a5f28fc963,2,hz_1111,4,2,0.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
54a5f28fc963,3,hz_1111,4,2,20.0,33,FORFEIT,10,10,7,0.7,0.33,2.121212121212121
a417528bddac,1,hz_1111,4,3,0.0,10,CONTINUE,10,10,0,0.0,0.1,0.0
a417528bddac,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
a417528bddac,3,hz_1111,4,2,10.0,33,FORFEIT,10,10,4,0.4,0.33,1.2121212121212122
adfeed396648,1,hz_1111,4,3,0.0,5,CONTINUE,10,10,1,0.1,0.05,2.0
adfeed396648,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
adfeed396648,3,hz_1111,4,3,30.0,0,CONTINUE,10,10,0,0.0,0.0,
adfeed396648,4,hz_1111,4,3,70.0,0,CONTINUE,10,10,0,0.0,0.0,
adfeed396648,5,hz_1111,4,3,150.0,0,CONTINUE,10,10,0,0.0,0.0,
adfeed396648,6,hz_1111,4,3,310.0,0,CONTINUE,10,10,0,0.0,0.0,
adfeed396648,7,hz_1111,4,3,630.0,0,CONTINUE,10,10,0,0.0,0.0,
adfeed396648,8,hz_1111,4,3,1270.0,0,CONTINUE,10,10,0,0.0,0.0,
adfeed396648,9,hz_1111,4,3,2550.0,0,CONTINUE,10,10,0,0.0,0.0,
b0bf1fda16cd,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
b0bf1fda16cd,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
b0bf1fda16cd,3,hz_1111,4,3,30.0,0,CONTINUE,10,10,0,0.0,0.0,
b0bf1fda16cd,4,hz_1111,4,2,30.0,50,CONTINUE,10,10,3,0.3,0.5,0.6
b0bf1fda16cd,5,hz_1111,4,2,110.0,33,CONTINUE,10,10,2,0.2,0.33,0.6060606060606061
b0bf1fda16cd,6,hz_1111,4,2,270.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
b0bf1fda16cd,8,hz_1111,4,1,590.0,67,FORFEIT,10,10,8,0.8,0.67,1.1940298507462686
cafe3491e979,1,hz_1111,4,3,0.0,5,CONTINUE,10,10,0,0.0,0.05,0.0
cafe3491e979,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
cafe3491e979,3,hz_1111,4,3,30.0,0,CONTINUE,10,10,0,0.0,0.0,
cafe3491e979,4,hz_1111,4,2,30.0,50,FORFEIT,10,10,2,0.2,0.5,0.4
d24f152ca6da,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
d24f152ca6da,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
d24f152ca6da,3,hz_1111,4,2,10.0,70,CONTINUE,10,10,0,0.0,0.7,0.0
d24f152ca6da,4,hz_1111,4,1,10.0,66,CONTINUE,10,10,5,0.5,0.66,0.7575757575757576
d24f152ca6da,5,hz_1111,4,1,90.0,67,CONTINUE,10,10,9,0.9,0.67,1.3432835820895521
d8e9d20c4d71,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
d8e9d20c4d71,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
d8e9d20c4d71,3,hz_1111,4,3,30.0,0,CONTINUE,10,10,0,0.0,0.0,
d8e9d20c4d71,4,hz_1111,4,2,30.0,33,CONTINUE,10,10,4,0.4,0.33,1.2121212121212122
d8e9d20c4d71,5,hz_1111,4,2,110.0,33,FORFEIT,10,10,3,0.3,0.33,0.9090909090909091
eeced35a26f6,1,hz_1111,4,3,0.0,5,CONTINUE,10,10,0,0.0,0.05,0.0
