session_id,turn_number,framing,threat_level,lives_before,score_before,p_threat_self,online_choice,n,n_valid,n_forfeit,q,p,sdi
0d652b1f7e3d,1,hz_1111,4,3,0.0,5,CONTINUE,10,10,0,0.0,0.05,0.0
0d652b1f7e3d,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
0d652b1f7e3d,3,hz_1111,4,2,10.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
0d652b1f7e3d,4,hz_1111,4,1,10.0,75,CONTINUE,10,10,1,0.1,0.75,0.13333333333333333
0d652b1f7e3d,5,hz_1111,4,1,20.0,67,CONTINUE,10,10,1,0.1,0.67,0.14925373134328357
24d42238d605,1,hz_1111,4,3,0.0,5,CONTINUE,10,10,0,0.0,0.05,0.0
24d42238d605,2,hz_1111,4,2,0.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
24d42238d605,3,hz_1111,4,2,10.0,45,CONTINUE,10,10,0,0.0,0.45,0.0
24d42238d605,4,hz_1111,4,1,10.0,80,CONTINUE,10,10,2,0.2,0.8,0.25
24d42238d605,5,hz_1111,4,1,20.0,70,CONTINUE,10,10,3,0.3,0.7,0.4285714285714286
24d42238d605,6,hz_1111,4,1,30.0,70,CONTINUE,10,10,2,0.2,0.7,0.28571428571428575
24d42238d605,7,hz_1111,4,1,40.0,80,CONTINUE,10,10,0,0.0,0.8,0.0
24d42238d605,8,hz_1111,4,1,50.0,66,CONTINUE,10,10,0,0.0,0.66,0.0
49d0a5f3b389,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
49d0a5f3b389,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
49d0a5f3b389,3,hz_1111,4,3,20.0,0,CONTINUE,10,10,0,0.0,0.0,
49d0a5f3b389,4,hz_1111,4,3,30.0,5,CONTINUE,10,10,0,0.0,0.05,0.0
49d0a5f3b389,5,hz_1111,4,3,40.0,0,CONTINUE,10,10,0,0.0,0.0,
49d0a5f3b389,6,hz_1111,4,2,40.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
49d0a5f3b389,7,hz_1111,4,2,50.0,40,CONTINUE,10,10,0,0.0,0.4,0.0
49d0a5f3b389,8,hz_1111,4,1,50.0,70,CONTINUE,10,10,1,0.1,0.7,0.14285714285714288
54146e1a9c26,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
54146e1a9c26,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
54146e1a9c26,3,hz_1111,4,3,20.0,0,CONTINUE,10,10,0,0.0,0.0,
54146e1a9c26,4,hz_1111,4,3,30.0,5,CONTINUE,10,10,0,0.0,0.05,0.0
54146e1a9c26,5,hz_1111,4,3,40.0,0,CONTINUE,10,10,0,0.0,0.0,
54146e1a9c26,6,hz_1111,4,3,50.0,0,CONTINUE,10,10,0,0.0,0.0,
54146e1a9c26,7,hz_1111,4,3,60.0,0,CONTINUE,10,10,0,0.0,0.0,
54146e1a9c26,8,hz_1111,4,3,70.0,0,CONTINUE,10,10,0,0.0,0.0,
54146e1a9c26,9,hz_1111,4,3,80.0,0,CONTINUE,10,10,0,0.0,0.0,
54146e1a9c26,10,hz_1111,4,2,80.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
67a8376e9bae,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
67a8376e9bae,2,hz_1111,4,3,10.0,5,CONTINUE,10,10,0,0.0,0.05,0.0
67a8376e9bae,3,hz_1111,4,2,10.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
67a8376e9bae,4,hz_1111,4,2,20.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
67a8376e9bae,5,hz_1111,4,1,20.0,70,CONTINUE,10,10,2,0.2,0.7,0.28571428571428575
8e3b33a7de53,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
8e3b33a7de53,2,hz_1111,4,2,0.0,50,CONTINUE,10,10,0,0.0,0.5,0.0
8e3b33a7de53,3,hz_1111,4,1,0.0,80,CONTINUE,10,10,1,0.1,0.8,0.125
d9941d66ca02,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
d9941d66ca02,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
d9941d66ca02,3,hz_1111,4,3,20.0,0,CONTINUE,10,10,0,0.0,0.0,
d9941d66ca02,4,hz_1111,4,3,30.0,0,CONTINUE,10,10,0,0.0,0.0,
d9941d66ca02,5,hz_1111,4,2,30.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
d9941d66ca02,6,hz_1111,4,2,40.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
d9941d66ca02,7,hz_1111,4,2,50.0,40,CONTINUE,10,10,0,0.0,0.4,0.0
d9941d66ca02,8,hz_1111,4,2,60.0,40,CONTINUE,10,10,0,0.0,0.4,0.0
d9941d66ca02,9,hz_1111,4,1,60.0,25,CONTINUE,10,10,0,0.0,0.25,0.0
db410cfd47a9,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
db410cfd47a9,2,hz_1111,4,2,0.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
db410cfd47a9,3,hz_1111,4,2,10.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
db410cfd47a9,4,hz_1111,4,2,20.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
db410cfd47a9,5,hz_1111,4,1,20.0,45,CONTINUE,10,10,0,0.0,0.45,0.0
db410cfd47a9,6,hz_1111,4,1,30.0,50,CONTINUE,10,10,0,0.0,0.5,0.0
db410cfd47a9,7,hz_1111,4,1,40.0,30,CONTINUE,10,10,1,0.1,0.3,0.33333333333333337
db410cfd47a9,8,hz_1111,4,1,50.0,66,CONTINUE,10,10,1,0.1,0.66,0.15151515151515152
db410cfd47a9,9,hz_1111,4,1,60.0,70,CONTINUE,10,10,0,0.0,0.7,0.0
db410cfd47a9,10,hz_1111,4,1,70.0,66,CONTINUE,10,10,0,0.0,0.66,0.0
e553eecd014e,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
e553eecd014e,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
e553eecd014e,3,hz_1111,4,3,20.0,0,CONTINUE,10,10,0,0.0,0.0,
e553eecd014e,4,hz_1111,4,2,20.0,70,CONTINUE,10,10,0,0.0,0.7,0.0
e553eecd014e,5,hz_1111,4,2,30.0,45,CONTINUE,10,10,0,0.0,0.45,0.0
e553eecd014e,6,hz_1111,4,1,30.0,66,CONTINUE,10,10,2,0.2,0.66,0.30303030303030304
f067887e2da3,1,hz_1111,4,3,0.0,5,CONTINUE,10,10,0,0.0,0.05,0.0
f067887e2da3,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
f067887e2da3,3,hz_1111,4,3,20.0,0,CONTINUE,10,10,0,0.0,0.0,
f067887e2da3,4,hz_1111,4,2,20.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
f067887e2da3,5,hz_1111,4,2,30.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
f067887e2da3,6,hz_1111,4,2,40.0,30,CONTINUE,10,10,0,0.0,0.3,0.0
f067887e2da3,7,hz_1111,4,2,50.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
f067887e2da3,8,hz_1111,4,1,50.0,75,CONTINUE,10,10,0,0.0,0.75,0.0
f067887e2da3,9,hz_1111,4,1,60.0,67,CONTINUE,10,10,0,0.0,0.67,0.0
f067887e2da3,10,hz_1111,4,1,70.0,67,CONTINUE,10,10,0,0.0,0.67,0.0
