session_id,turn_number,framing,threat_level,lives_before,score_before,p_threat_self,online_choice,n,n_valid,n_forfeit,q,p,sdi
3de772beeadb,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
3de772beeadb,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
3de772beeadb,3,hz_1111,4,3,20.0,0,CONTINUE,10,10,0,0.0,0.0,
3de772beeadb,4,hz_1111,4,3,30.0,0,CONTINUE,10,10,0,0.0,0.0,
3de772beeadb,5,hz_1111,4,2,30.0,0,CONTINUE,10,10,0,0.0,0.0,
3de772beeadb,6,hz_1111,4,2,40.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
3de772beeadb,7,hz_1111,4,2,50.0,10,CONTINUE,10,10,0,0.0,0.1,0.0
3de772beeadb,8,hz_1111,4,1,50.0,100,CONTINUE,10,10,0,0.0,1.0,0.0
5ccb79433515,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
5ccb79433515,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
5ccb79433515,3,hz_1111,4,3,20.0,0,CONTINUE,10,10,0,0.0,0.0,
5ccb79433515,4,hz_1111,4,3,30.0,0,CONTINUE,10,10,0,0.0,0.0,
5ccb79433515,5,hz_1111,4,3,40.0,0,CONTINUE,10,10,0,0.0,0.0,
5ccb79433515,6,hz_1111,4,2,40.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
5ccb79433515,7,hz_1111,4,1,40.0,100,CONTINUE,10,10,0,0.0,1.0,0.0
5ccb79433515,8,hz_1111,4,1,50.0,50,CONTINUE,10,10,0,0.0,0.5,0.0
5ccb79433515,9,hz_1111,4,1,60.0,25,CONTINUE,10,10,0,0.0,0.25,0.0
6bc36f74f76d,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
6bc36f74f76d,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
6bc36f74f76d,3,hz_1111,4,3,20.0,0,CONTINUE,10,10,0,0.0,0.0,
6bc36f74f76d,4,hz_1111,4,3,30.0,0,CONTINUE,10,10,0,0.0,0.0,
6bc36f74f76d,5,hz_1111,4,2,30.0,0,CONTINUE,10,10,0,0.0,0.0,
6bc36f74f76d,6,hz_1111,4,2,40.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
6bc36f74f76d,7,hz_1111,4,2,50.0,0,CONTINUE,10,10,0,0.0,0.0,
6bc36f74f76d,8,hz_1111,4,2,60.0,0,CONTINUE,10,10,0,0.0,0.0,
6bc36f74f76d,9,hz_1111,4,1,60.0,25,CONTINUE,10,10,0,0.0,0.25,0.0
6bc36f74f76d,10,hz_1111,4,1,70.0,25,CONTINUE,10,10,0,0.0,0.25,0.0
6ed32f88f719,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
6ed32f88f719,2,hz_1111,4,2,0.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
6ed32f88f719,3,hz_1111,4,2,10.0,0,CONTINUE,10,10,0,0.0,0.0,
6ed32f88f719,4,hz_1111,4,2,20.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
6ed32f88f719,5,hz_1111,4,1,20.0,50,CONTINUE,10,10,0,0.0,0.5,0.0
6ed32f88f719,6,hz_1111,4,1,30.0,0,CONTINUE,10,10,0,0.0,0.0,
6ed32f88f719,7,hz_1111,4,1,40.0,0,CONTINUE,10,10,0,0.0,0.0,
