session_id,turn_number,framing,threat_level,lives_before,score_before,p_threat_self,online_choice,n,n_valid,n_forfeit,q,p,sdi
085d579b9043,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
085d579b9043,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
085d579b9043,3,hz_1111,4,3,30.0,0,CONTINUE,10,10,0,0.0,0.0,
085d579b9043,4,hz_1111,4,2,30.0,40,CONTINUE,10,10,0,0.0,0.4,0.0
085d579b9043,5,hz_1111,4,2,110.0,33,CONTINUE,10,10,1,0.1,0.33,0.30303030303030304
085d579b9043,6,hz_1111,4,1,110.0,80,CONTINUE,10,10,1,0.1,0.8,0.125
1928bfaece86,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
1928bfaece86,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
1928bfaece86,3,hz_1111,4,3,30.0,0,CONTINUE,10,10,0,0.0,0.0,
1928bfaece86,4,hz_1111,4,2,30.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
1928bfaece86,5,hz_1111,4,1,30.0,70,CONTINUE,10,10,0,0.0,0.7,0.0
1928bfaece86,6,hz_1111,4,1,190.0,67,CONTINUE,10,10,5,0.5,0.67,0.7462686567164178
1928bfaece86,7,hz_1111,4,1,510.0,66,CONTINUE,10,10,4,0.4,0.66,0.6060606060606061
39e8676d66df,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
39e8676d66df,2,hz_1111,4,2,0.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
39e8676d66df,3,hz_1111,4,2,20.0,40,CONTINUE,10,10,0,0.0,0.4,0.0
39e8676d66df,4,hz_1111,4,1,20.0,67,CONTINUE,10,10,0,0.0,0.67,0.0
3bedd8d2ebf2,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
3bedd8d2ebf2,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
3bedd8d2ebf2,3,hz_1111,4,2,10.0,35,CONTINUE,10,10,0,0.0,0.35,0.0
3bedd8d2ebf2,4,hz_1111,4,1,10.0,70,CONTINUE,10,10,0,0.0,0.7,0.0
3bedd8d2ebf2,5,hz_1111,4,1,90.0,85,CONTINUE,10,10,2,0.2,0.85,0.23529411764705885
6ee4ad8b82d5,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
6ee4ad8b82d5,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
6ee4ad8b82d5,3,hz_1111,4,3,30.0,0,CONTINUE,10,10,0,0.0,0.0,
6ee4ad8b82d5,4,hz_1111,4,3,70.0,0,CONTINUE,10,10,0,0.0,0.0,
6ee4ad8b82d5,5,hz_1111,4,2,70.0,65,CONTINUE,10,10,1,0.1,0.65,0.15384615384615385
6ee4ad8b82d5,6,hz_1111,4,2,230.0,66,CONTINUE,10,10,0,0.0,0.66,0.0
6ee4ad8b82d5,7,hz_1111,4,2,550.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
6ee4ad8b82d5,8,hz_1111,4,2,1190.0,40,CONTINUE,10,10,0,0.0,0.4,0.0
6ee4ad8b82d5,9,hz_1111,4,2,2470.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
6ee4ad8b82d5,10,hz_1111,4,2,5030.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
7537bda32390,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
7537bda32390,2,hz_1111,4,3,10.0,0,CONTINUE,10,10,0,0.0,0.0,
7537bda32390,3,hz_1111,4,3,30.0,0,CONTINUE,10,10,0,0.0,0.0,
7537bda32390,4,hz_1111,4,2,30.0,33,CONTINUE,10,10,0,0.0,0.33,0.0
7537bda32390,5,hz_1111,4,2,110.0,33,CONTINUE,10,10,1,0.1,0.33,0.30303030303030304
7537bda32390,6,hz_1111,4,1,110.0,70,FORFEIT,10,10,0,0.0,0.7,0.0
b248481cf69e,1,hz_1111,4,3,0.0,0,CONTINUE,10,10,0,0.0,0.0,
b248481cf69e,2,hz_1111,4,2,0.0,35,CONTINUE,10,10,0,0.0,0.35,0.0
