session_id,turn_number,framing,threat_level,lives_before,score_before,p_threat_self,online_choice,n,n_valid,n_forfeit,q,p,sdi
020ac5ca97f8,1,hz_0000,0,3,30.0,,CONTINUE,10,10,2,0.2,,
03efffbc616c,1,hz_1111,4,3,60.0,,CONTINUE,10,10,0,0.0,,
0f1640e8a533,1,hz_0000,0,3,60.0,,CONTINUE,10,10,5,0.5,,
2dedb2b70436,1,hz_0000,0,3,30.0,,CONTINUE,10,10,2,0.2,,
3c819a77d88e,1,hz_0000,0,3,30.0,,FORFEIT,10,10,5,0.5,,
62450b888523,1,hz_0000,0,3,30.0,,CONTINUE,10,10,4,0.4,,
647e9a00737a,1,hz_0000,0,3,90.0,,FORFEIT,10,10,4,0.4,,
692a9164404a,1,hz_1111,4,3,90.0,,CONTINUE,10,10,0,0.0,,
7ffea86f5473,1,hz_0000,0,3,90.0,,CONTINUE,10,10,7,0.7,,
8cff91d45696,1,hz_0000,0,3,90.0,,CONTINUE,10,10,0,0.0,,
9b512fd5a9e7,1,hz_1111,4,3,30.0,,CONTINUE,10,10,2,0.2,,
9cf3ef58915f,1,hz_0000,0,3,90.0,,CONTINUE,10,10,0,0.0,,
acc8c413412c,1,hz_0000,0,3,90.0,,CONTINUE,10,10,3,0.3,,
ba5e667d4b2d,1,hz_0000,0,3,60.0,,FORFEIT,10,10,5,0.5,,
cf5c7eff9799,1,hz_0000,0,3,60.0,,CONTINUE,10,10,0,0.0,,
f326c92365fa,1,hz_0000,0,3,60.0,,CONTINUE,10,10,1,0.1,,
f4b7e681c49a,1,hz_0000,0,3,30.0,,CONTINUE,10,10,0,0.0,,
f606923b671f,1,hz_0000,0,3,60.0,,CONTINUE,10,10,1,0.1,,
