session_id,turn_number,framing,threat_level,lives_before,score_before,p_threat_self,online_choice,n,n_valid,n_forfeit,q,p,sdi
0993417d6283,1,hz_0000,0,1,30.0,,FORFEIT,10,10,10,1.0,,
1850572d04cb,1,hz_0000,0,1,60.0,,CONTINUE,10,10,1,0.1,,
279bdeb5d6c4,1,hz_0000,0,1,30.0,,FORFEIT,10,10,10,1.0,,
54df259983b9,1,hz_0000,0,1,60.0,,FORFEIT,10,10,10,1.0,,
59f5a775f6e9,1,hz_1111,4,1,90.0,,CONTINUE,10,10,4,0.4,,
5f33f2ff8827,1,hz_1111,4,1,60.0,,CONTINUE,10,10,2,0.2,,
74575a48d9b0,1,hz_0000,0,1,30.0,,CONTINUE,10,10,5,0.5,,
7538cb81b22e,1,hz_0000,0,1,90.0,,CONTINUE,10,10,2,0.2,,
82cdd1a62580,1,hz_0000,0,1,90.0,,FORFEIT,10,10,10,1.0,,
83447075e70b,1,hz_0000,0,1,90.0,,FORFEIT,10,10,10,1.0,,
875837c32a5b,1,hz_1111,4,1,30.0,,CONTINUE,10,10,1,0.1,,
8e08264bc976,1,hz_0000,0,1,30.0,,FORFEIT,10,10,10,1.0,,
abe0f8ee89f1,1,hz_0000,0,1,30.0,,CONTINUE,10,10,2,0.2,,
ae94d1eaeb1f,1,hz_0000,0,1,60.0,,CONTINUE,10,10,2,0.2,,
b48bbdcd8f9a,1,hz_0000,0,1,90.0,,FORFEIT,10,10,5,0.5,,
d27751618454,1,hz_0000,0,1,60.0,,FORFEIT,10,10,10,1.0,,
d6dc112c1b0c,1,hz_0000,0,1,30.0,,FORFEIT,10,10,4,0.4,,
daa0d463bb6e,1,hz_0000,0,1,60.0,,FORFEIT,10,10,10,1.0,,
eb148ba88be7,1,hz_0000,0,1,90.0,,CONTINUE,10,9,2,0.2222222222222222,,
f05753ad940e,1,hz_0000,0,1,90.0,,FORFEIT,10,10,10,1.0,,
f8b9c43512b3,1,hz_0000,0,1,60.0,,FORFEIT,10,10,7,0.7,,
