framing,turn,survival,ci_lower,ci_upper
baseline_flagship,0.0,1.0,1.0,1.0
baseline_flagship,1.0,0.7666666666666666,0.5720336278474698,0.881267786619516
baseline_flagship,2.0,0.49999999999999994,0.3130064478406829,0.6612405888540976
baseline_flagship,4.0,0.3999999999999998,0.21523401276122023,0.5789166517791481
baseline_flagship,5.0,0.07999999999999999,0.005608816742920879,0.29208377721194173
baseline_flagship,6.0,0.07999999999999999,0.005608816742920879,0.29208377721194173
flagship_corruption,0.0,1.0,1.0,1.0
flagship_corruption,1.0,0.4333333333333333,0.2556075471797811,0.5989069315000937
flagship_corruption,2.0,0.18055555555555552,0.06673058467472685,0.3388042497413398
flagship_corruption,3.0,0.04513888888888888,0.0034641600071742833,0.18376086336764394
flagship_corruption,4.0,0.04513888888888888,0.0034641600071742833,0.18376086336764394
