session_id,framing,framing_is_FC,start,stop,event,score_prev,regime_tag
85b6859885d3,flagship_corruption,1,0,1,1,175.5,no_cap
d4804f778e02,flagship_corruption,1,0,1,1,72.0,no_cap
883927e12fbe,baseline_flagship,0,0,1,0,159.75,no_cap
883927e12fbe,baseline_flagship,0,1,2,0,105.75,no_cap
883927e12fbe,baseline_flagship,0,2,3,1,90.0,no_cap
c40c9fd6986b,baseline_flagship,0,0,1,0,123.75,no_cap
c40c9fd6986b,baseline_flagship,0,1,2,0,105.75,no_cap
c40c9fd6986b,baseline_flagship,0,3,4,0,94.5,no_cap
c40c9fd6986b,baseline_flagship,0,4,5,1,119.25,no_cap
3effbc364aa9,flagship_corruption,1,0,1,0,175.5,no_cap
3effbc364aa9,flagship_corruption,1,1,2,0,94.5,no_cap
3effbc364aa9,flagship_corruption,1,2,3,0,90.0,no_cap
3effbc364aa9,flagship_corruption,1,3,4,0,121.5,no_cap
3effbc364aa9,flagship_corruption,1,4,5,0,164.25,no_cap
3effbc364aa9,flagship_corruption,1,5,6,1,211.5,no_cap
a018617635ea,flagship_corruption,1,0,1,0,105.75,no_cap
a018617635ea,flagship_corruption,1,1,2,0,76.5,no_cap
a018617635ea,flagship_corruption,1,2,3,0,76.5,no_cap
a018617635ea,flagship_corruption,1,3,4,1,54.0,no_cap
9973e54e89c7,baseline_flagship,0,0,1,0,175.5,no_cap
9973e54e89c7,baseline_flagship,0,1,2,0,94.5,no_cap
9973e54e89c7,baseline_flagship,0,2,3,1,90.0,no_cap
e98e4b39753b,flagship_corruption,1,0,1,1,159.75,no_cap
99c6150924b9,flagship_corruption,1,0,1,0,56.25,no_cap
99c6150924b9,flagship_corruption,1,1,2,0,72.0,no_cap
3155bf378da2,flagship_corruption,1,0,1,1,175.5,no_cap
07ba18db48a4,baseline_flagship,0,0,1,0,159.75,no_cap
07ba18db48a4,baseline_flagship,0,1,2,1,72.0,no_cap
e84ed1220020,flagship_corruption,1,0,1,1,159.75,no_cap
aa2c16f45803,flagship_corruption,1,0,1,0,72.0,no_cap
aa2c16f45803,flagship_corruption,1,1,2,0,72.0,no_cap
aa2c16f45803,flagship_corruption,1,2,3,0,153.0,no_cap
aa2c16f45803,flagship_corruption,1,3,4,0,83.25,no_cap
aa2c16f45803,flagship_corruption,1,4,5,0,209.25,no_cap
aa2c16f45803,flagship_corruption,1,5,6,0,184.5,no_cap
595868ded056,baseline_flagship,0,0,1,0,171.0,no_cap
595868ded056,baseline_flagship,0,1,2,0,220.5,no_cap
6e9406739853,flagship_corruption,1,0,1,0,60.75,no_cap
6e9406739853,flagship_corruption,1,1,2,0,74.25,no_cap
6e9406739853,flagship_corruption,1,2,3,1,130.5,no_cap
67f4f4b51033,flagship_corruption,1,0,1,0,159.75,no_cap
67f4f4b51033,flagship_corruption,1,1,2,0,72.0,no_cap
67f4f4b51033,flagship_corruption,1,2,3,0,103.5,no_cap
67f4f4b51033,flagship_corruption,1,3,4,0,81.0,no_cap
67f4f4b51033,flagship_corruption,1,4,5,0,105.75,no_cap
67f4f4b51033,flagship_corruption,1,5,6,1,110.25,no_cap
adad20b9a37d,baseline_flagship,0,0,1,0,175.5,no_cap
adad20b9a37d,baseline_flagship,0,1,2,0,112.5,no_cap
adad20b9a37d,baseline_flagship,0,2,3,0,148.5,no_cap
adad20b9a37d,baseline_flagship,0,4,5,0,200.25,no_cap
66c2ec490fb9,flagship_corruption,1,0,1,1,175.5,no_cap
ba5b25e57429,baseline_flagship,0,0,1,0,175.5,no_cap
ba5b25e57429,baseline_flagship,0,1,2,0,112.5,no_cap
7117beb7be02,baseline_flagship,0,0,1,0,72.0,no_cap
7117beb7be02,baseline_flagship,0,1,2,0,54.0,no_cap
7117beb7be02,baseline_flagship,0,3,4,0,72.0,no_cap
7117beb7be02,baseline_flagship,0,4,5,0,96.75,no_cap
7117beb7be02,baseline_flagship,0,5,6,0,101.25,no_cap
7117beb7be02,baseline_flagship,0,6,7,0,132.75,no_cap
7117beb7be02,baseline_flagship,0,7,8,0,177.75,no_cap
aff2eebddf91,baseline_flagship,0,0,1,0,78.75,no_cap
aff2eebddf91,baseline_flagship,0,1,2,0,105.75,no_cap
aff2eebddf91,baseline_flagship,0,3,4,0,87.75,no_cap
aff2eebddf91,baseline_flagship,0,4,5,0,119.25,no_cap
aff2eebddf91,baseline_flagship,0,6,7,0,166.5,no_cap
aff2eebddf91,baseline_flagship,0,7,8,0,218.25,no_cap
1710a344f4bc,flagship_corruption,1,0,1,1,175.5,no_cap
63e821363a79,baseline_flagship,0,0,1,0,175.5,no_cap
63e821363a79,baseline_flagship,0,1,2,0,112.5,no_cap
63e821363a79,baseline_flagship,0,3,4,0,198.0,no_cap
63e821363a79,baseline_flagship,0,4,5,1,216.0,no_cap
e0832f8c0f04,baseline_flagship,0,0,1,0,56.25,no_cap
e0832f8c0f04,baseline_flagship,0,1,2,0,54.0,no_cap
e0832f8c0f04,baseline_flagship,0,3,4,0,148.5,no_cap
e0832f8c0f04,baseline_flagship,0,4,5,0,198.0,no_cap
06d8e899f0a1,flagship_corruption,1,0,1,1,175.5,no_cap
b798607bdc2f,flagship_corruption,1,0,1,0,171.0,no_cap
b798607bdc2f,flagship_corruption,1,1,2,0,105.75,no_cap
62eceec938f6,flagship_corruption,1,0,1,0,159.75,no_cap
62eceec938f6,flagship_corruption,1,1,2,0,54.0,no_cap
62eceec938f6,flagship_corruption,1,2,3,0,213.75,no_cap
62eceec938f6,flagship_corruption,1,3,4,1,144.0,no_cap
4ff263e3a324,flagship_corruption,1,0,1,0,60.75,no_cap
4ff263e3a324,flagship_corruption,1,1,2,0,146.25,no_cap
38eb47d8fbbe,baseline_flagship,0,0,1,0,159.75,no_cap
38eb47d8fbbe,baseline_flagship,0,1,2,0,105.75,no_cap
38eb47d8fbbe,baseline_flagship,0,3,4,0,218.25,no_cap
9940a57805ea,flagship_corruption,1,0,1,0,175.5,no_cap
9940a57805ea,flagship_corruption,1,1,2,0,54.0,no_cap
9940a57805ea,flagship_corruption,1,2,3,0,141.75,no_cap
9940a57805ea,flagship_corruption,1,3,4,0,141.75,no_cap
9940a57805ea,flagship_corruption,1,4,5,0,126.0,no_cap
9940a57805ea,flagship_corruption,1,5,6,0,162.0,no_cap
9940a57805ea,flagship_corruption,1,6,7,1,216.0,no_cap
884c41a2ab1a,baseline_flagship,0,0,1,0,60.75,no_cap
884c41a2ab1a,baseline_flagship,0,1,2,1,72.0,no_cap
7f8a76954c5a,flagship_corruption,1,0,1,0,175.5,no_cap
7f8a76954c5a,flagship_corruption,1,1,2,0,67.5,no_cap
7f8a76954c5a,flagship_corruption,1,2,3,0,189.0,no_cap
7f8a76954c5a,flagship_corruption,1,4,5,0,218.25,no_cap
be41a5527cc7,flagship_corruption,1,0,1,0,159.75,no_cap
be41a5527cc7,flagship_corruption,1,1,2,1,54.0,no_cap
b3941988c5a2,baseline_flagship,0,0,1,0,175.5,no_cap
b3941988c5a2,baseline_flagship,0,1,2,0,63.0,no_cap
b3941988c5a2,baseline_flagship,0,2,3,0,78.75,no_cap
b3941988c5a2,baseline_flagship,0,3,4,0,101.25,no_cap
b3941988c5a2,baseline_flagship,0,4,5,0,137.25,no_cap
b3941988c5a2,baseline_flagship,0,5,6,0,182.25,no_cap
403f73187ec8,baseline_flagship,0,0,1,0,72.0,no_cap
403f73187ec8,baseline_flagship,0,1,2,0,54.0,no_cap
403f73187ec8,baseline_flagship,0,2,3,1,213.75,no_cap
85b0d4cdb56f,flagship_corruption,1,0,1,0,159.75,no_cap
85b0d4cdb56f,flagship_corruption,1,1,2,0,78.75,no_cap
85b0d4cdb56f,flagship_corruption,1,2,3,0,157.5,no_cap
85b0d4cdb56f,flagship_corruption,1,4,5,0,139.5,no_cap
85b0d4cdb56f,flagship_corruption,1,5,6,0,182.25,no_cap
5e622fefa88d,baseline_flagship,0,0,1,0,175.5,no_cap
5e622fefa88d,baseline_flagship,0,1,2,0,112.5,no_cap
5e622fefa88d,baseline_flagship,0,2,3,0,148.5,no_cap
5e622fefa88d,baseline_flagship,0,3,4,0,209.25,no_cap
8497dd42ef39,flagship_corruption,1,0,1,1,105.75,no_cap
ed3174a12d80,baseline_flagship,0,0,1,0,72.0,no_cap
ed3174a12d80,baseline_flagship,0,1,2,0,78.75,no_cap
ed3174a12d80,baseline_flagship,0,2,3,0,105.75,no_cap
ed3174a12d80,baseline_flagship,0,3,4,0,139.5,no_cap
ed3174a12d80,baseline_flagship,0,4,5,0,186.75,no_cap
3fb06fe3aefc,baseline_flagship,0,0,1,0,105.75,no_cap
3fb06fe3aefc,baseline_flagship,0,1,2,0,105.75,no_cap
3fb06fe3aefc,baseline_flagship,0,2,3,0,90.0,no_cap
3fb06fe3aefc,baseline_flagship,0,3,4,0,94.5,no_cap
3fb06fe3aefc,baseline_flagship,0,4,5,0,126.0,no_cap
3fb06fe3aefc,baseline_flagship,0,5,6,0,123.75,no_cap
3fb06fe3aefc,baseline_flagship,0,6,7,0,164.25,no_cap
3fb06fe3aefc,baseline_flagship,0,7,8,0,218.25,no_cap
d317c3351eb9,flagship_corruption,1,0,1,0,159.75,no_cap
d317c3351eb9,flagship_corruption,1,1,2,0,105.75,no_cap
d317c3351eb9,flagship_corruption,1,2,3,0,211.5,no_cap
05434b45caab,baseline_flagship,0,0,1,0,175.5,no_cap
05434b45caab,baseline_flagship,0,1,2,0,54.0,no_cap
05434b45caab,baseline_flagship,0,2,3,0,213.75,no_cap
05434b45caab,baseline_flagship,0,4,5,0,220.5,no_cap
48d67bce0c9b,baseline_flagship,0,0,1,0,58.5,no_cap
48d67bce0c9b,baseline_flagship,0,1,2,0,105.75,no_cap
48d67bce0c9b,baseline_flagship,0,2,3,1,103.5,no_cap
0d319daeee93,baseline_flagship,0,0,1,0,159.75,no_cap
0d319daeee93,baseline_flagship,0,1,2,0,175.5,no_cap
0d319daeee93,baseline_flagship,0,2,3,0,222.75,no_cap
0d319daeee93,baseline_flagship,0,3,4,0,186.75,no_cap
41c0620d52dd,baseline_flagship,0,0,1,0,159.75,no_cap
41c0620d52dd,baseline_flagship,0,1,2,0,54.0,no_cap
41c0620d52dd,baseline_flagship,0,3,4,0,74.25,no_cap
41c0620d52dd,baseline_flagship,0,4,5,0,96.75,no_cap
41c0620d52dd,baseline_flagship,0,5,6,0,159.75,no_cap
41c0620d52dd,baseline_flagship,0,6,7,0,96.75,no_cap
41c0620d52dd,baseline_flagship,0,8,9,0,207.0,no_cap
921503c15f96,baseline_flagship,0,0,1,0,72.0,no_cap
921503c15f96,baseline_flagship,0,1,2,0,72.0,no_cap
921503c15f96,baseline_flagship,0,2,3,0,153.0,no_cap
921503c15f96,baseline_flagship,0,3,4,0,81.0,no_cap
921503c15f96,baseline_flagship,0,4,5,0,207.0,no_cap
921503c15f96,baseline_flagship,0,5,6,0,175.5,no_cap
6d8fc6ef5748,flagship_corruption,1,0,1,1,175.5,no_cap
15c59048f0fc,baseline_flagship,0,0,1,0,175.5,no_cap
15c59048f0fc,baseline_flagship,0,1,2,0,94.5,no_cap
15c59048f0fc,baseline_flagship,0,2,3,0,168.75,no_cap
15c59048f0fc,baseline_flagship,0,3,4,0,141.75,no_cap
4b3dac0426f6,flagship_corruption,1,0,1,0,67.5,no_cap
4b3dac0426f6,flagship_corruption,1,1,2,0,54.0,no_cap
4b3dac0426f6,flagship_corruption,1,3,4,0,74.25,no_cap
4b3dac0426f6,flagship_corruption,1,4,5,0,191.25,no_cap
4b3dac0426f6,flagship_corruption,1,5,6,1,162.0,no_cap
c1380383f9f5,baseline_flagship,0,0,1,0,105.75,no_cap
c1380383f9f5,baseline_flagship,0,1,2,0,54.0,no_cap
c1380383f9f5,baseline_flagship,0,2,3,0,74.25,no_cap
c1380383f9f5,baseline_flagship,0,3,4,0,141.75,no_cap
c1380383f9f5,baseline_flagship,0,5,6,0,195.75,no_cap
0c85e409faf7,baseline_flagship,0,0,1,0,175.5,no_cap
0c85e409faf7,baseline_flagship,0,1,2,0,159.75,no_cap
0c85e409faf7,baseline_flagship,0,3,4,0,112.5,no_cap
0c85e409faf7,baseline_flagship,0,4,5,0,146.25,no_cap
0c85e409faf7,baseline_flagship,0,5,6,0,198.0,no_cap
0ffc07e8ab05,baseline_flagship,0,0,1,0,175.5,no_cap
0ffc07e8ab05,baseline_flagship,0,1,2,0,54.0,no_cap
0ffc07e8ab05,baseline_flagship,0,2,3,0,141.75,no_cap
0ffc07e8ab05,baseline_flagship,0,3,4,0,72.0,no_cap
0ffc07e8ab05,baseline_flagship,0,4,5,0,189.0,no_cap
0ffc07e8ab05,baseline_flagship,0,5,6,0,96.75,no_cap
0ffc07e8ab05,baseline_flagship,0,6,7,0,101.25,no_cap
0ffc07e8ab05,baseline_flagship,0,7,8,0,130.5,no_cap
0ffc07e8ab05,baseline_flagship,0,8,9,0,182.25,no_cap
18f8d61acf3b,flagship_corruption,1,0,1,0,105.75,no_cap
18f8d61acf3b,flagship_corruption,1,1,2,0,72.0,no_cap
18f8d61acf3b,flagship_corruption,1,3,4,0,81.0,no_cap
18f8d61acf3b,flagship_corruption,1,5,6,1,182.25,no_cap
cd6421a118d2,baseline_flagship,0,0,1,0,78.75,no_cap
cd6421a118d2,baseline_flagship,0,1,2,0,83.25,no_cap
c40bdb6f538a,flagship_corruption,1,0,1,0,105.75,no_cap
c40bdb6f538a,flagship_corruption,1,1,2,0,105.75,no_cap
c40bdb6f538a,flagship_corruption,1,2,3,0,132.75,no_cap
c40bdb6f538a,flagship_corruption,1,3,4,0,90.0,no_cap
d214d672f041,baseline_flagship,0,0,1,0,159.75,no_cap
d214d672f041,baseline_flagship,0,1,2,0,105.75,no_cap
7508374a5d85,flagship_corruption,1,0,1,0,132.75,no_cap
7508374a5d85,flagship_corruption,1,1,2,0,105.75,no_cap
7508374a5d85,flagship_corruption,1,2,3,1,87.75,no_cap
c0445bfd9337,flagship_corruption,1,0,1,1,67.5,no_cap
564821ca245c,baseline_flagship,0,0,1,0,72.0,no_cap
564821ca245c,baseline_flagship,0,1,2,0,76.5,no_cap
564821ca245c,baseline_flagship,0,3,4,0,204.75,no_cap
564821ca245c,baseline_flagship,0,4,5,0,173.25,no_cap
f0da0eb55797,flagship_corruption,1,0,1,0,72.0,no_cap
f0da0eb55797,flagship_corruption,1,1,2,0,54.0,no_cap
f0da0eb55797,flagship_corruption,1,2,3,0,213.75,no_cap
f0da0eb55797,flagship_corruption,1,3,4,0,141.75,no_cap
f0da0eb55797,flagship_corruption,1,5,6,0,198.0,no_cap
