session_id,framing,framing_is_FC,start,stop,event,score_prev,regime_tag
699ca1116b21,baseline_flagship,0,0,1,0,159.75,no_cap
92d4c801d339,baseline_flagship,0,0,1,0,175.5,no_cap
92d4c801d339,baseline_flagship,0,1,2,0,54.0,no_cap
92d4c801d339,baseline_flagship,0,2,3,0,72.0,no_cap
92d4c801d339,baseline_flagship,0,3,4,0,141.75,no_cap
92d4c801d339,baseline_flagship,0,4,5,0,132.75,no_cap
92d4c801d339,baseline_flagship,0,5,6,0,132.75,no_cap
92d4c801d339,baseline_flagship,0,6,7,0,171.0,no_cap
92d4c801d339,baseline_flagship,0,7,8,0,220.5,no_cap
92d4c801d339,baseline_flagship,0,8,9,0,220.5,no_cap
fb71a19a630f,baseline_flagship,0,0,1,0,175.5,no_cap
fb71a19a630f,baseline_flagship,0,1,2,0,105.75,no_cap
fb71a19a630f,baseline_flagship,0,2,3,0,126.0,no_cap
fb71a19a630f,baseline_flagship,0,3,4,0,87.75,no_cap
fb71a19a630f,baseline_flagship,0,4,5,0,117.0,no_cap
fb71a19a630f,baseline_flagship,0,5,6,0,117.0,no_cap
fb71a19a630f,baseline_flagship,0,6,7,0,123.75,no_cap
fb71a19a630f,baseline_flagship,0,7,8,1,119.25,no_cap
7a2fa318f565,baseline_flagship,0,0,1,0,175.5,no_cap
0ce3ea2d6d5b,flagship_corruption,1,0,1,0,175.5,no_cap
e9d6d4aeaac4,baseline_flagship,0,0,1,0,76.5,no_cap
e9d6d4aeaac4,baseline_flagship,0,1,2,1,67.5,no_cap
75bf48423c80,baseline_flagship,0,0,1,0,54.0,no_cap
75bf48423c80,baseline_flagship,0,1,2,0,101.25,no_cap
75bf48423c80,baseline_flagship,0,2,3,0,157.5,no_cap
75bf48423c80,baseline_flagship,0,3,4,0,159.75,no_cap
75bf48423c80,baseline_flagship,0,4,5,0,211.5,no_cap
56560fcfd075,flagship_corruption,1,0,1,0,54.0,no_cap
56560fcfd075,flagship_corruption,1,1,2,0,105.75,no_cap
56560fcfd075,flagship_corruption,1,3,4,0,182.25,no_cap
bc5067bc7c61,baseline_flagship,0,0,1,0,76.5,no_cap
bc5067bc7c61,baseline_flagship,0,1,2,0,157.5,no_cap
bc5067bc7c61,baseline_flagship,0,2,3,0,164.25,no_cap
bc5067bc7c61,baseline_flagship,0,3,4,0,195.75,no_cap
a9e3e0077d10,baseline_flagship,0,0,1,0,175.5,no_cap
a9e3e0077d10,baseline_flagship,0,1,2,0,112.5,no_cap
a9e3e0077d10,baseline_flagship,0,2,3,0,148.5,no_cap
a9e3e0077d10,baseline_flagship,0,3,4,0,198.0,no_cap
bb1cd534b420,flagship_corruption,1,0,1,0,175.5,no_cap
bb1cd534b420,flagship_corruption,1,1,2,0,222.75,no_cap
bb1cd534b420,flagship_corruption,1,2,3,0,186.75,no_cap
acf28d634558,flagship_corruption,1,0,1,0,159.75,no_cap
acf28d634558,flagship_corruption,1,1,2,0,105.75,no_cap
acf28d634558,flagship_corruption,1,2,3,0,177.75,no_cap
acf28d634558,flagship_corruption,1,3,4,0,211.5,no_cap
f5358e384bd2,flagship_corruption,1,0,1,0,175.5,no_cap
f5358e384bd2,flagship_corruption,1,1,2,0,78.75,no_cap
f5358e384bd2,flagship_corruption,1,2,3,0,159.75,no_cap
f5358e384bd2,flagship_corruption,1,3,4,0,175.5,no_cap
f5358e384bd2,flagship_corruption,1,4,5,1,112.5,no_cap
002d2f037edc,flagship_corruption,1,0,1,0,175.5,no_cap
002d2f037edc,flagship_corruption,1,1,2,0,105.75,no_cap
002d2f037edc,flagship_corruption,1,2,3,0,110.25,no_cap
002d2f037edc,flagship_corruption,1,3,4,0,103.5,no_cap
002d2f037edc,flagship_corruption,1,5,6,0,123.75,no_cap
002d2f037edc,flagship_corruption,1,7,8,0,175.5,no_cap
002d2f037edc,flagship_corruption,1,8,9,0,182.25,no_cap
104f8d638ee5,flagship_corruption,1,0,1,1,175.5,no_cap
8314b295392b,flagship_corruption,1,0,1,0,159.75,no_cap
8314b295392b,flagship_corruption,1,1,2,0,67.5,no_cap
8314b295392b,flagship_corruption,1,2,3,0,175.5,no_cap
8314b295392b,flagship_corruption,1,3,4,0,54.0,no_cap
8314b295392b,flagship_corruption,1,4,5,0,63.0,no_cap
8314b295392b,flagship_corruption,1,5,6,0,58.5,no_cap
8314b295392b,flagship_corruption,1,6,7,0,58.5,no_cap
8314b295392b,flagship_corruption,1,7,8,0,76.5,no_cap
8314b295392b,flagship_corruption,1,8,9,0,175.5,no_cap
8314b295392b,flagship_corruption,1,9,10,0,175.5,no_cap
8314b295392b,flagship_corruption,1,10,11,0,54.0,no_cap
8314b295392b,flagship_corruption,1,11,12,0,56.25,no_cap
8314b295392b,flagship_corruption,1,12,13,0,175.5,no_cap
8314b295392b,flagship_corruption,1,13,14,0,117.0,no_cap
8314b295392b,flagship_corruption,1,14,15,0,117.0,no_cap
7127ea47ffd2,flagship_corruption,1,0,1,1,87.75,no_cap
5a27ca4374ea,baseline_flagship,0,0,1,0,159.75,no_cap
