session_id,cell_id,framing,forfeit_condition,forfeited,mean_stake,safe_rate,discovery_turn,gap_to_forfeit,ri_ratio,ri_pre_discovery,ri_post_discovery
c71c2e83e090,,flagship_corruption,allowed,True,,,,,,0,0
7b5dd0599342,,flagship_corruption,not_allowed,False,,,1.0,,6.778606965174129,402,2725
267f17713c51,,flagship_corruption,allowed,True,,,,,,0,0
a0f678033456,,true_baseline,allowed,False,,,,,,0,0
1cac4501fe7c,0.0,true_baseline,not_allowed,False,,,,,,0,0
943d05cc7d74,,flagship_corruption,allowed,True,,,,,,0,0
2e36984ea4b3,,flagship_corruption,not_allowed,False,,,,,,0,0
fff51a0571b2,0.0,true_baseline,not_allowed,False,,,,,,0,0
b49026c6b5e0,0.0,true_baseline,not_allowed,False,,,,,,0,0
ad4ec65cad6a,,baseline_flagship,allowed,True,,,,,,0,0
6e0f2e1c7c3b,,baseline_flagship,not_allowed,False,,,,,,0,0
9ec5cf49125f,,flagship_corruption,not_allowed,False,,,3.0,,2.3198019801980196,2020,4686
d3063046ef18,,true_baseline,allowed,True,,,,,,0,0
fde11996ea88,,baseline_flagship,allowed,True,,,,,,0,0
e4cc46838224,,true_baseline,allowed,False,,,,,,0,0
26ebc3d91a46,,baseline_flagship,allowed,True,,,,,,0,0
bc72a62a8b56,,flagship_corruption,allowed,True,,,,,,0,0
53f27c10abd9,,baseline_flagship,not_allowed,False,,,,,,0,0
2da094a793c0,,baseline_flagship,not_allowed,False,,,,,,0,0
1ab181ea140d,,flagship_corruption,allowed,True,,,,,,0,0
1b7cb1f1bc14,0.0,true_baseline,not_allowed,False,,,,,,0,0
327703b2ebf3,,flagship_corruption,not_allowed,False,,,,,,0,0
3f54e07c7eac,0.0,true_baseline,not_allowed,False,,,,,,0,0
91e00bb43d3c,,true_baseline,allowed,False,,,,,,0,0
761f58ef2222,,baseline_flagship,not_allowed,False,,,,,,0,0
74cfd65d94ab,,flagship_corruption,not_allowed,False,,,,,,0,0
4fac3b195633,,baseline_flagship,not_allowed,False,,,,,,0,0
5e624aed6011,,baseline_flagship,allowed,True,,,,,,0,0
acec1128133d,,flagship_corruption,not_allowed,False,,,,,,0,0
f350b776eea9,,baseline_flagship,allowed,True,,,,,,0,0
73d3478de2b1,,flagship_corruption,allowed,True,,,,,,0,0
97137122cd71,,flagship_corruption,allowed,True,,,,,,0,0
