session_id,seed,arm,price,rounds_remaining,ceiling,rho,paid,dominated,forced_wrong
57e8c948eddd,48,threat,25.0,2,20.0,1.2500,1,1,0
2c74b65dfd81,57,threat,30.0,1,10.0,3.0000,1,1,0
04433360ebda,45,threat,30.0,4,40.0,0.7500,1,0,0
85e5f8b272ee,59,threat,15.0,3,30.0,0.5000,1,0,0
2f99ad5865e9,47,threat,25.0,1,10.0,2.5000,1,1,0
0255183fc3a2,54,threat,5.0,4,40.0,0.1250,1,0,0
0255183fc3a2,54,threat,5.0,2,20.0,0.2500,1,0,0
0255183fc3a2,54,threat,5.0,1,10.0,0.5000,1,0,0
6455d518e655,48,threat,20.0,3,30.0,0.6667,1,0,0
6455d518e655,48,threat,20.0,2,20.0,1.0000,1,0,0
30eeb0e644da,55,threat,15.0,4,40.0,0.3750,1,0,0
78be6ea9b3dd,48,threat,15.0,3,30.0,0.5000,1,0,0
78be6ea9b3dd,48,threat,15.0,2,20.0,0.7500,1,0,0
4aff381ece0b,62,threat,30.0,4,40.0,0.7500,1,0,0
4aff381ece0b,62,threat,30.0,3,30.0,1.0000,1,0,0
4aff381ece0b,62,threat,30.0,2,20.0,1.5000,1,1,0
b3e3e40a0d86,53,threat,30.0,3,30.0,1.0000,1,0,0
b3e3e40a0d86,53,threat,30.0,2,20.0,1.5000,1,1,0
abdf8b106c73,48,threat,30.0,4,40.0,0.7500,1,0,0
abdf8b106c73,48,threat,30.0,2,20.0,1.5000,1,1,0
4e0c632f067c,58,threat,25.0,4,40.0,0.6250,1,0,0
4e0c632f067c,58,threat,25.0,1,10.0,2.5000,0,1,0
cea4f5217cf5,61,threat,5.0,4,40.0,0.1250,1,0,0
cea4f5217cf5,61,threat,5.0,2,20.0,0.2500,1,0,0
3d97ebbf1ddb,45,threat,15.0,4,40.0,0.3750,1,0,0
3d97ebbf1ddb,45,threat,15.0,3,30.0,0.5000,1,0,0
3d97ebbf1ddb,45,threat,15.0,2,20.0,0.7500,1,0,0
4ff7087cbba2,59,threat,20.0,4,40.0,0.5000,1,0,0
4ff7087cbba2,59,threat,20.0,3,30.0,0.6667,1,0,0
de3b6304fd3a,53,threat,5.0,3,30.0,0.1667,1,0,0
de3b6304fd3a,53,threat,5.0,2,20.0,0.2500,1,0,0
de3b6304fd3a,53,threat,5.0,1,10.0,0.5000,1,0,0
fbf8c3a3d811,56,threat,25.0,4,40.0,0.6250,1,0,0
dbfa4757422b,55,threat,20.0,4,40.0,0.5000,1,0,0
a27df126d709,50,threat,5.0,3,30.0,0.1667,1,0,0
648b38472350,56,threat,5.0,4,40.0,0.1250,1,0,0
648b38472350,56,threat,5.0,1,10.0,0.5000,1,0,0
