session_id,seed,arm,price,rounds_remaining,ceiling,rho,paid,dominated,forced_wrong
729ccb3db216,47,threat,5.0,3,30.0,0.1667,1,0,0
729ccb3db216,47,threat,5.0,2,20.0,0.2500,1,0,0
729ccb3db216,47,threat,5.0,1,10.0,0.5000,1,0,0
5c55e03ffc32,54,threat,5.0,1,10.0,0.5000,1,0,0
1ace2a321fc7,61,threat,20.0,3,30.0,0.6667,1,0,0
f91c80ee7e44,50,threat,30.0,4,40.0,0.7500,1,0,0
f91c80ee7e44,50,threat,30.0,2,20.0,1.5000,1,1,0
1334db822d7e,43,threat,15.0,4,40.0,0.3750,1,0,0
c0dc3cda4a6a,52,threat,30.0,4,40.0,0.7500,1,0,0
c0dc3cda4a6a,52,threat,30.0,3,30.0,1.0000,1,0,0
c0dc3cda4a6a,52,threat,30.0,2,20.0,1.5000,1,1,0
578ffaeca2ab,62,threat,10.0,1,10.0,1.0000,1,0,0
d4dc437e074c,51,threat,25.0,4,40.0,0.6250,1,0,0
d4dc437e074c,51,threat,25.0,2,20.0,1.2500,1,1,0
39c9827b305a,60,threat,25.0,4,40.0,0.6250,1,0,0
39c9827b305a,60,threat,25.0,3,30.0,0.8333,1,0,0
95a101e8a27c,52,threat,20.0,2,20.0,1.0000,0,0,0
76b24874cde0,62,threat,30.0,3,30.0,1.0000,0,0,0
8ee34891d413,44,threat,15.0,3,30.0,0.5000,1,0,0
8ee34891d413,44,threat,15.0,2,20.0,0.7500,1,0,0
3e663428d2d6,50,threat,15.0,3,30.0,0.5000,1,0,0
3e663428d2d6,50,threat,15.0,2,20.0,0.7500,1,0,0
3e663428d2d6,50,threat,15.0,1,10.0,1.5000,1,1,0
f7142e5bb23b,45,threat,5.0,4,40.0,0.1250,1,0,0
6b44a754a9c1,47,threat,10.0,2,20.0,0.5000,1,0,0
6b44a754a9c1,47,threat,10.0,1,10.0,1.0000,1,0,0
72b5d9f517fa,49,threat,5.0,1,10.0,0.5000,1,0,0
