session_id,seed,arm,price,rounds_remaining,ceiling,rho,paid,dominated,forced_wrong
3d51fd60c9b0,47,threat,25.0,2,20.0,1.2500,1,1,0
d12e47e139c9,57,threat,25.0,1,10.0,2.5000,0,1,0
24b4b8686617,43,threat,25.0,4,40.0,0.6250,1,0,0
437655ce52ae,59,threat,10.0,4,40.0,0.2500,1,0,0
7623ebf3f38f,54,threat,20.0,2,20.0,1.0000,1,0,0
4e77ba34b427,60,threat,25.0,2,20.0,1.2500,0,1,0
de281f55ffa0,48,threat,25.0,2,20.0,1.2500,1,1,0
e6f1c56d6ce3,55,threat,30.0,4,40.0,0.7500,1,0,0
8875ad17614d,60,threat,15.0,3,30.0,0.5000,1,0,0
0f6614a72f9e,47,threat,5.0,1,10.0,0.5000,1,0,0
78fb1514fdeb,52,threat,5.0,3,30.0,0.1667,1,0,0
e4eda6d53c0e,52,threat,20.0,3,30.0,0.6667,1,0,0
76d8cd33644f,43,threat,5.0,4,40.0,0.1250,1,0,0
929846fdc611,62,threat,15.0,3,30.0,0.5000,1,0,0
929846fdc611,62,threat,15.0,1,10.0,1.5000,1,1,0
2d2cf215d212,60,threat,5.0,3,30.0,0.1667,1,0,0
2d2cf215d212,60,threat,5.0,2,20.0,0.2500,1,0,0
96e53e3459c4,51,threat,25.0,4,40.0,0.6250,1,0,0
874660d567fc,51,threat,20.0,4,40.0,0.5000,1,0,0
72c3c7d1b81d,48,threat,15.0,1,10.0,1.5000,1,1,0
174c96f8863a,54,threat,10.0,1,10.0,1.0000,0,0,0
ca2ec7611738,54,threat,15.0,1,10.0,1.5000,1,1,0
973125f558b8,51,threat,5.0,4,40.0,0.1250,1,0,0
973125f558b8,51,threat,5.0,2,20.0,0.2500,1,0,0
973125f558b8,51,threat,5.0,1,10.0,0.5000,1,0,0
1830bcc764b3,43,threat,10.0,4,40.0,0.2500,1,0,0
40d1859825eb,49,threat,15.0,1,10.0,1.5000,1,1,0
cd75d61d1c36,56,threat,15.0,3,30.0,0.5000,1,0,0
c7ae24a41083,52,threat,30.0,3,30.0,1.0000,1,0,0
c7ae24a41083,52,threat,30.0,2,20.0,1.5000,0,1,0
b5189796c5c3,55,threat,15.0,3,30.0,0.5000,1,0,0
ad8d046679d4,59,threat,15.0,4,40.0,0.3750,1,0,0
ad8d046679d4,59,threat,15.0,2,20.0,0.7500,1,0,0
6207121435f9,55,threat,10.0,2,20.0,0.5000,1,0,0
eb4adbd64cca,52,threat,15.0,3,30.0,0.5000,1,0,0
ad8239842e5e,53,threat,20.0,1,10.0,2.0000,1,1,0
40e8a545f3ce,45,threat,25.0,4,40.0,0.6250,1,0,0
9d412991a147,59,threat,30.0,3,30.0,1.0000,1,0,0
96a283689a30,48,threat,20.0,2,20.0,1.0000,1,0,0
411077849f65,51,threat,10.0,1,10.0,1.0000,1,0,0
11add54611a9,57,threat,15.0,1,10.0,1.5000,0,1,0
16944f397bf0,51,threat,15.0,4,40.0,0.3750,1,0,0
f967e36a094f,58,threat,20.0,4,40.0,0.5000,1,0,0
fb75afd3a2fe,62,threat,5.0,4,40.0,0.1250,1,0,0
fb75afd3a2fe,62,threat,5.0,3,30.0,0.1667,1,0,0
fb75afd3a2fe,62,threat,5.0,1,10.0,0.5000,1,0,0
c9828d93c4a4,62,threat,20.0,3,30.0,0.6667,1,0,0
4a54eb3b241f,54,threat,25.0,1,10.0,2.5000,0,1,0
de5aca78c0c0,54,threat,5.0,1,10.0,0.5000,1,0,0
293e62db177b,45,threat,5.0,4,40.0,0.1250,1,0,0
71d693072bc4,61,threat,15.0,2,20.0,0.7500,1,0,0
d73205157ee5,55,threat,20.0,4,40.0,0.5000,1,0,0
d73205157ee5,55,threat,20.0,3,30.0,0.6667,1,0,0
1295f2284c26,56,threat,10.0,4,40.0,0.2500,1,0,0
