session_id,seed,arm,price,rounds_remaining,ceiling,rho,paid,dominated,forced_wrong
13832e83c5b6,53,threat,25.0,3,30.0,0.8333,1,0,0
13832e83c5b6,53,threat,25.0,2,20.0,1.2500,0,1,0
b8e4597e9354,53,threat,20.0,1,10.0,2.0000,0,1,0
2495b78cdbc8,49,threat,5.0,2,20.0,0.2500,1,0,0
ac6bbb6e4b6e,55,threat,20.0,2,20.0,1.0000,1,0,0
7d8849a731d9,45,threat,30.0,4,40.0,0.7500,1,0,0
3ffa54fd2abf,55,threat,25.0,3,30.0,0.8333,1,0,0
b54563b19f04,43,threat,10.0,4,40.0,0.2500,1,0,0
b54563b19f04,43,threat,10.0,3,30.0,0.3333,1,0,0
8bde40ee06fb,47,threat,10.0,4,40.0,0.2500,1,0,0
8bde40ee06fb,47,threat,10.0,2,20.0,0.5000,1,0,0
7d2d1bbf5933,59,threat,25.0,4,40.0,0.6250,1,0,0
7d2d1bbf5933,59,threat,25.0,1,10.0,2.5000,0,1,0
da6344e3575c,59,threat,10.0,4,40.0,0.2500,1,0,0
da6344e3575c,59,threat,10.0,3,30.0,0.3333,1,0,0
da6344e3575c,59,threat,10.0,2,20.0,0.5000,1,0,0
e06045cb9b0d,45,threat,5.0,4,40.0,0.1250,1,0,0
1daa036c4103,51,threat,25.0,4,40.0,0.6250,1,0,0
1daa036c4103,51,threat,25.0,2,20.0,1.2500,1,1,0
1daa036c4103,51,threat,25.0,1,10.0,2.5000,0,1,0
b09ddf046292,50,threat,5.0,4,40.0,0.1250,1,0,0
b09ddf046292,50,threat,5.0,1,10.0,0.5000,1,0,0
31fd2e26ff2e,51,threat,15.0,4,40.0,0.3750,1,0,0
31fd2e26ff2e,51,threat,15.0,2,20.0,0.7500,1,0,0
31fd2e26ff2e,51,threat,15.0,1,10.0,1.5000,0,1,0
f1dafcc83849,45,threat,10.0,4,40.0,0.2500,1,0,0
f1dafcc83849,45,threat,10.0,2,20.0,0.5000,1,0,0
975f95aad13f,52,threat,20.0,3,30.0,0.6667,1,0,0
975f95aad13f,52,threat,20.0,2,20.0,1.0000,1,0,0
309af6bce7e0,54,threat,30.0,4,40.0,0.7500,1,0,0
309af6bce7e0,54,threat,30.0,1,10.0,3.0000,0,1,0
4bfb4496be2e,54,threat,20.0,2,20.0,1.0000,1,0,0
4bfb4496be2e,54,threat,20.0,1,10.0,2.0000,0,1,0
c0a6014ebf5a,56,threat,5.0,4,40.0,0.1250,1,0,0
c0a6014ebf5a,56,threat,5.0,1,10.0,0.5000,1,0,0
45c379ba1f9c,53,threat,10.0,2,20.0,0.5000,1,0,0
37081c2e8c4b,49,threat,20.0,3,30.0,0.6667,1,0,0
37081c2e8c4b,49,threat,20.0,1,10.0,2.0000,1,1,0
a813ad47a422,62,threat,20.0,3,30.0,0.6667,1,0,0
a813ad47a422,62,threat,20.0,1,10.0,2.0000,1,1,0
921c918e8ac1,51,threat,20.0,4,40.0,0.5000,1,0,0
921c918e8ac1,51,threat,20.0,2,20.0,1.0000,1,0,0
921c918e8ac1,51,threat,20.0,1,10.0,2.0000,0,1,0
20cb30e6364d,58,threat,25.0,4,40.0,0.6250,1,0,0
20cb30e6364d,58,threat,25.0,1,10.0,2.5000,0,1,0
2eec20cf7ecf,52,threat,30.0,4,40.0,0.7500,1,0,0
2eec20cf7ecf,52,threat,30.0,3,30.0,1.0000,1,0,0
2eec20cf7ecf,52,threat,30.0,2,20.0,1.5000,0,1,0
5bdc0b610a10,50,threat,20.0,4,40.0,0.5000,1,0,0
84e2701b65e1,58,threat,5.0,4,40.0,0.1250,1,0,0
84e2701b65e1,58,threat,5.0,3,30.0,0.1667,1,0,0
84e2701b65e1,58,threat,5.0,2,20.0,0.2500,1,0,0
84e2701b65e1,58,threat,5.0,1,10.0,0.5000,1,0,0
f9212ea0856e,50,threat,15.0,4,40.0,0.3750,1,0,0
f9212ea0856e,50,threat,15.0,1,10.0,1.5000,1,1,0
db9b47eb15ed,51,threat,10.0,4,40.0,0.2500,1,0,0
db9b47eb15ed,51,threat,10.0,1,10.0,1.0000,1,0,0
0091fbb076a9,62,threat,30.0,3,30.0,1.0000,1,0,0
2604e82d6ffe,59,threat,20.0,4,40.0,0.5000,1,0,0
58f22f57c37c,44,threat,30.0,3,30.0,1.0000,1,0,0
58f22f57c37c,44,threat,30.0,2,20.0,1.5000,0,1,0
fab1393412eb,60,threat,30.0,3,30.0,1.0000,1,0,0
fab1393412eb,60,threat,30.0,2,20.0,1.5000,1,1,0
195ebbed97dc,56,threat,30.0,4,40.0,0.7500,1,0,0
195ebbed97dc,56,threat,30.0,1,10.0,3.0000,0,1,0
ea717e763fc1,44,threat,5.0,3,30.0,0.1667,1,0,0
ea717e763fc1,44,threat,5.0,2,20.0,0.2500,1,0,0
ea717e763fc1,44,threat,5.0,1,10.0,0.5000,1,0,0
007a077d4b77,61,threat,25.0,4,40.0,0.6250,1,0,0
007a077d4b77,61,threat,25.0,3,30.0,0.8333,1,0,0
007a077d4b77,61,threat,25.0,2,20.0,1.2500,0,1,0
39b710baf711,59,threat,15.0,3,30.0,0.5000,1,0,0
