session_id,seed,arm,price,rounds_remaining,ceiling,rho,paid,dominated,forced_wrong
dc6647da34c8,48,silent,30.0,4,40.0,0.7500,0,0,1
676c0dd34d4b,45,silent,30.0,3,30.0,1.0000,0,0,1
f0b14eaf5dfc,47,silent,25.0,3,30.0,0.8333,0,0,1
22b6ea144314,44,threat,20.0,4,40.0,0.5000,1,0,1
22b6ea144314,44,threat,20.0,1,10.0,2.0000,0,1,1
dae71045b7d1,46,threat,10.0,4,40.0,0.2500,1,0,1
dae71045b7d1,46,threat,10.0,1,10.0,1.0000,0,0,1
67650a59e593,44,threat,15.0,4,40.0,0.3750,1,0,1
67650a59e593,44,threat,15.0,1,10.0,1.5000,0,1,1
44d1cd1400cb,46,threat,15.0,4,40.0,0.3750,1,0,1
44d1cd1400cb,46,threat,15.0,1,10.0,1.5000,0,1,1
a2ab08821600,44,threat,30.0,4,40.0,0.7500,1,0,1
a2ab08821600,44,threat,30.0,1,10.0,3.0000,0,1,1
f4b4cb6c6178,47,threat,5.0,3,30.0,0.1667,1,0,1
f4b4cb6c6178,47,threat,5.0,2,20.0,0.2500,1,0,1
7b7799cab0cd,47,silent,5.0,3,30.0,0.1667,1,0,1
7b7799cab0cd,47,silent,5.0,2,20.0,0.2500,1,0,1
18afd7f81be9,44,silent,25.0,4,40.0,0.6250,1,0,1
18afd7f81be9,44,silent,25.0,1,10.0,2.5000,0,1,1
a9511cfa30cb,47,silent,20.0,3,30.0,0.6667,0,0,1
2681fecd196b,46,silent,5.0,4,40.0,0.1250,1,0,1
2681fecd196b,46,silent,5.0,1,10.0,0.5000,1,0,1
5653a665ce55,47,threat,20.0,4,40.0,0.5000,1,0,0
5653a665ce55,47,threat,20.0,3,30.0,0.6667,1,0,1
5653a665ce55,47,threat,20.0,2,20.0,1.0000,0,0,1
2633e53b6b30,43,silent,20.0,3,30.0,0.6667,0,0,1
85a71d066e87,48,threat,10.0,4,40.0,0.2500,1,0,1
85a71d066e87,48,threat,10.0,1,10.0,1.0000,0,0,1
b1b1c02a52e1,47,threat,10.0,4,40.0,0.2500,1,0,0
b1b1c02a52e1,47,threat,10.0,3,30.0,0.3333,1,0,1
b1b1c02a52e1,47,threat,10.0,2,20.0,0.5000,1,0,1
fd66616fa678,47,silent,30.0,4,40.0,0.7500,1,0,0
fd66616fa678,47,silent,30.0,3,30.0,1.0000,0,0,1
4c09f5531ce2,44,silent,5.0,4,40.0,0.1250,1,0,1
4c09f5531ce2,44,silent,5.0,1,10.0,0.5000,1,0,1
017902ae10a8,45,silent,25.0,3,30.0,0.8333,0,0,1
ef143f17d33c,43,threat,15.0,3,30.0,0.5000,1,0,1
ef143f17d33c,43,threat,15.0,2,20.0,0.7500,1,0,1
ef143f17d33c,43,threat,15.0,1,10.0,1.5000,0,1,0
fd0f48d20387,46,threat,30.0,4,40.0,0.7500,1,0,1
fd0f48d20387,46,threat,30.0,3,30.0,1.0000,0,0,0
