session_id,seed,arm,price,rounds_remaining,ceiling,rho,paid,dominated,forced_wrong
2d5d4793c57c,44,threat,25.0,4,40.0,0.6250,1,0,1
2d5d4793c57c,44,threat,25.0,1,10.0,2.5000,0,1,1
62f3c23eb392,44,threat,20.0,4,40.0,0.5000,1,0,1
62f3c23eb392,44,threat,20.0,1,10.0,2.0000,0,1,1
984569b56198,46,threat,10.0,4,40.0,0.2500,1,0,1
984569b56198,46,threat,10.0,3,30.0,0.3333,1,0,0
984569b56198,46,threat,10.0,1,10.0,1.0000,0,0,1
1bee1f1a1ede,44,threat,10.0,4,40.0,0.2500,1,0,1
1bee1f1a1ede,44,threat,10.0,1,10.0,1.0000,0,0,1
50e6d986b21a,46,threat,5.0,4,40.0,0.1250,1,0,1
50e6d986b21a,46,threat,5.0,1,10.0,0.5000,0,0,1
cd1f48295105,44,threat,15.0,4,40.0,0.3750,1,0,1
cd1f48295105,44,threat,15.0,1,10.0,1.5000,0,1,1
cec2d7eaacca,48,threat,15.0,4,40.0,0.3750,1,0,1
cec2d7eaacca,48,threat,15.0,1,10.0,1.5000,0,1,1
44c0f858ae17,47,silent,20.0,4,40.0,0.5000,1,0,0
44c0f858ae17,47,silent,20.0,3,30.0,0.6667,1,0,1
44c0f858ae17,47,silent,20.0,2,20.0,1.0000,0,0,1
ab9aeb481d57,44,silent,30.0,4,40.0,0.7500,1,0,1
ab9aeb481d57,44,silent,30.0,1,10.0,3.0000,0,1,1
6f45598e5ffb,44,silent,15.0,4,40.0,0.3750,1,0,1
6f45598e5ffb,44,silent,15.0,1,10.0,1.5000,1,1,1
96a0b29875e2,43,threat,15.0,3,30.0,0.5000,1,0,1
96a0b29875e2,43,threat,15.0,2,20.0,0.7500,1,0,1
96a0b29875e2,43,threat,15.0,1,10.0,1.5000,1,1,0
567366e7fadb,45,threat,30.0,4,40.0,0.7500,1,0,0
567366e7fadb,45,threat,30.0,3,30.0,1.0000,1,0,1
567366e7fadb,45,threat,30.0,2,20.0,1.5000,0,1,1
6f08e609fc6e,45,threat,10.0,4,40.0,0.2500,1,0,0
6f08e609fc6e,45,threat,10.0,3,30.0,0.3333,1,0,1
6f08e609fc6e,45,threat,10.0,2,20.0,0.5000,1,0,1
a99e58b119f8,47,silent,30.0,4,40.0,0.7500,1,0,0
a99e58b119f8,47,silent,30.0,3,30.0,1.0000,0,0,1
d1b1bf52d064,46,silent,20.0,4,40.0,0.5000,1,0,1
d1b1bf52d064,46,silent,20.0,1,10.0,2.0000,0,1,1
fa8dc16884a2,46,threat,15.0,4,40.0,0.3750,1,0,1
fa8dc16884a2,46,threat,15.0,1,10.0,1.5000,0,1,1
304913ceaed1,48,silent,15.0,4,40.0,0.3750,1,0,1
304913ceaed1,48,silent,15.0,1,10.0,1.5000,0,1,1
ce27737f9309,48,silent,20.0,4,40.0,0.5000,1,0,1
ce27737f9309,48,silent,20.0,2,20.0,1.0000,1,0,0
ce27737f9309,48,silent,20.0,1,10.0,2.0000,0,1,1
6ba6cbb132cd,48,silent,30.0,4,40.0,0.7500,1,0,1
6ba6cbb132cd,48,silent,30.0,2,20.0,1.5000,0,1,0
9972a5715a66,46,threat,30.0,4,40.0,0.7500,1,0,1
9972a5715a66,46,threat,30.0,1,10.0,3.0000,0,1,1
8fe8d20b2b20,45,threat,20.0,4,40.0,0.5000,1,0,0
8fe8d20b2b20,45,threat,20.0,3,30.0,0.6667,1,0,1
8fe8d20b2b20,45,threat,20.0,2,20.0,1.0000,0,0,1
03ecc4ec0ee3,46,silent,30.0,4,40.0,0.7500,1,0,1
03ecc4ec0ee3,46,silent,30.0,1,10.0,3.0000,0,1,1
11ff579d53ce,43,silent,25.0,3,30.0,0.8333,1,0,1
11ff579d53ce,43,silent,25.0,2,20.0,1.2500,1,1,1
11ff579d53ce,43,silent,25.0,1,10.0,2.5000,0,1,0
afc9ae1c07c5,44,silent,20.0,4,40.0,0.5000,1,0,1
afc9ae1c07c5,44,silent,20.0,1,10.0,2.0000,0,1,1
99f8b0d98d9e,43,threat,30.0,3,30.0,1.0000,1,0,1
99f8b0d98d9e,43,threat,30.0,2,20.0,1.5000,0,1,1
27f660c65171,48,threat,30.0,4,40.0,0.7500,1,0,1
27f660c65171,48,threat,30.0,3,30.0,1.0000,1,0,0
27f660c65171,48,threat,30.0,1,10.0,3.0000,0,1,1
38e2c1d2c9b6,46,silent,10.0,4,40.0,0.2500,1,0,1
38e2c1d2c9b6,46,silent,10.0,2,20.0,0.5000,1,0,0
38e2c1d2c9b6,46,silent,10.0,1,10.0,1.0000,0,0,1
701dd16c6272,43,threat,5.0,3,30.0,0.1667,1,0,1
701dd16c6272,43,threat,5.0,2,20.0,0.2500,1,0,1
c03bd20dd622,47,threat,5.0,4,40.0,0.1250,1,0,0
c03bd20dd622,47,threat,5.0,3,30.0,0.1667,1,0,1
c03bd20dd622,47,threat,5.0,2,20.0,0.2500,1,0,1
3d17fff453df,43,silent,20.0,3,30.0,0.6667,1,0,1
3d17fff453df,43,silent,20.0,2,20.0,1.0000,1,0,1
3d17fff453df,43,silent,20.0,1,10.0,2.0000,1,1,0
e2daec0a8c8e,47,threat,20.0,4,40.0,0.5000,1,0,0
e2daec0a8c8e,47,threat,20.0,3,30.0,0.6667,1,0,1
e2daec0a8c8e,47,threat,20.0,2,20.0,1.0000,1,0,1
