session_id,seed,arm,price,rounds_remaining,ceiling,rho,paid,dominated,forced_wrong
0a7c2bf459f5,46,threat,30.0,4,40.0,0.7500,0,0,1
cdb999e2c067,44,threat,20.0,4,40.0,0.5000,1,0,1
cdb999e2c067,44,threat,20.0,1,10.0,2.0000,0,1,1
a9322de8d0d7,46,silent,30.0,4,40.0,0.7500,1,0,1
a9322de8d0d7,46,silent,30.0,1,10.0,3.0000,0,1,1
0410d0bcfdd8,48,threat,10.0,4,40.0,0.2500,1,0,1
0410d0bcfdd8,48,threat,10.0,3,30.0,0.3333,1,0,0
0410d0bcfdd8,48,threat,10.0,1,10.0,1.0000,0,0,1
5825c3a57b2c,48,threat,15.0,4,40.0,0.3750,1,0,1
5825c3a57b2c,48,threat,15.0,3,30.0,0.5000,1,0,0
5825c3a57b2c,48,threat,15.0,1,10.0,1.5000,0,1,1
3f1ebe925fef,44,threat,25.0,4,40.0,0.6250,1,0,1
3f1ebe925fef,44,threat,25.0,3,30.0,0.8333,0,0,0
73c0897f1fde,47,silent,5.0,4,40.0,0.1250,1,0,0
73c0897f1fde,47,silent,5.0,3,30.0,0.1667,1,0,1
73c0897f1fde,47,silent,5.0,2,20.0,0.2500,1,0,1
73c0897f1fde,47,silent,5.0,1,10.0,0.5000,1,0,0
f31846180a70,45,silent,15.0,4,40.0,0.3750,1,0,0
f31846180a70,45,silent,15.0,3,30.0,0.5000,1,0,1
f31846180a70,45,silent,15.0,2,20.0,0.7500,1,0,1
017f10c56abf,45,threat,30.0,3,30.0,1.0000,0,0,1
4dc469890cfe,44,silent,10.0,4,40.0,0.2500,1,0,1
4dc469890cfe,44,silent,10.0,1,10.0,1.0000,1,0,1
94661e5f7544,46,threat,5.0,4,40.0,0.1250,1,0,1
94661e5f7544,46,threat,5.0,2,20.0,0.2500,1,0,0
94661e5f7544,46,threat,5.0,1,10.0,0.5000,1,0,1
5784c4aab5c0,45,silent,20.0,3,30.0,0.6667,1,0,1
5784c4aab5c0,45,silent,20.0,2,20.0,1.0000,0,0,1
ac5c5661460b,45,silent,30.0,4,40.0,0.7500,1,0,0
