session_id,seed,arm,price,rounds_remaining,ceiling,rho,paid,dominated,forced_wrong
9d77b37fe964,44,silent,20.0,4,40.0,0.5000,1,0,1
9d77b37fe964,44,silent,20.0,1,10.0,2.0000,0,1,1
e906f5e78161,44,silent,5.0,4,40.0,0.1250,1,0,1
e906f5e78161,44,silent,5.0,1,10.0,0.5000,1,0,1
1d0c1402aec6,47,threat,25.0,4,40.0,0.6250,1,0,0
1d0c1402aec6,47,threat,25.0,3,30.0,0.8333,1,0,1
1d0c1402aec6,47,threat,25.0,2,20.0,1.2500,1,1,1
1d0c1402aec6,47,threat,25.0,1,10.0,2.5000,1,1,0
be88fa0d0675,43,threat,5.0,3,30.0,0.1667,1,0,1
be88fa0d0675,43,threat,5.0,2,20.0,0.2500,1,0,1
be88fa0d0675,43,threat,5.0,1,10.0,0.5000,1,0,0
790e9597872c,43,threat,15.0,3,30.0,0.5000,1,0,1
790e9597872c,43,threat,15.0,2,20.0,0.7500,1,0,1
790e9597872c,43,threat,15.0,1,10.0,1.5000,1,1,0
44b171f89695,43,silent,25.0,3,30.0,0.8333,1,0,1
44b171f89695,43,silent,25.0,2,20.0,1.2500,1,1,1
90ee94a63423,44,threat,30.0,4,40.0,0.7500,1,0,1
90ee94a63423,44,threat,30.0,3,30.0,1.0000,1,0,0
90ee94a63423,44,threat,30.0,1,10.0,3.0000,1,1,1
49add14ebedc,43,silent,5.0,3,30.0,0.1667,1,0,1
49add14ebedc,43,silent,5.0,2,20.0,0.2500,1,0,1
49add14ebedc,43,silent,5.0,1,10.0,0.5000,1,0,0
8151ccd094f1,46,threat,10.0,4,40.0,0.2500,1,0,1
8151ccd094f1,46,threat,10.0,1,10.0,1.0000,1,0,1
97dfadebdbaa,46,silent,20.0,4,40.0,0.5000,1,0,1
97dfadebdbaa,46,silent,20.0,1,10.0,2.0000,1,1,1
08119a0475b0,47,silent,5.0,4,40.0,0.1250,1,0,0
08119a0475b0,47,silent,5.0,3,30.0,0.1667,1,0,1
08119a0475b0,47,silent,5.0,2,20.0,0.2500,1,0,1
bfc72ca5a4b1,43,silent,10.0,3,30.0,0.3333,1,0,1
bfc72ca5a4b1,43,silent,10.0,2,20.0,0.5000,1,0,1
bfc72ca5a4b1,43,silent,10.0,1,10.0,1.0000,0,0,0
89f1af2880ce,44,threat,20.0,4,40.0,0.5000,1,0,1
89f1af2880ce,44,threat,20.0,1,10.0,2.0000,1,1,1
d41b7470dfc0,45,threat,30.0,4,40.0,0.7500,1,0,0
d41b7470dfc0,45,threat,30.0,3,30.0,1.0000,1,0,1
d41b7470dfc0,45,threat,30.0,2,20.0,1.5000,1,1,1
4a0d04470ec7,48,silent,10.0,4,40.0,0.2500,1,0,1
4a0d04470ec7,48,silent,10.0,1,10.0,1.0000,1,0,1
53ab1f8a20f3,47,silent,10.0,4,40.0,0.2500,1,0,0
53ab1f8a20f3,47,silent,10.0,3,30.0,0.3333,1,0,1
53ab1f8a20f3,47,silent,10.0,2,20.0,0.5000,1,0,1
53ab1f8a20f3,47,silent,10.0,1,10.0,1.0000,0,0,0
30dd987162f4,46,silent,25.0,4,40.0,0.6250,1,0,1
30dd987162f4,46,silent,25.0,1,10.0,2.5000,1,1,1
28419796b17b,45,threat,25.0,4,40.0,0.6250,1,0,0
28419796b17b,45,threat,25.0,3,30.0,0.8333,1,0,1
28419796b17b,45,threat,25.0,2,20.0,1.2500,1,1,1
e2abe9164212,45,silent,25.0,4,40.0,0.6250,1,0,0
e2abe9164212,45,silent,25.0,3,30.0,0.8333,1,0,1
e2abe9164212,45,silent,25.0,2,20.0,1.2500,1,1,1
bc5498bf571e,43,threat,25.0,3,30.0,0.8333,1,0,1
bc5498bf571e,43,threat,25.0,2,20.0,1.2500,1,1,1
44496311204f,44,silent,30.0,4,40.0,0.7500,1,0,1
44496311204f,44,silent,30.0,1,10.0,3.0000,1,1,1
aa4e24344cbc,48,silent,20.0,4,40.0,0.5000,1,0,1
aa4e24344cbc,48,silent,20.0,1,10.0,2.0000,1,1,1
7704e2c64cb7,46,silent,10.0,4,40.0,0.2500,1,0,1
7704e2c64cb7,46,silent,10.0,1,10.0,1.0000,1,0,1
11ddefea223d,44,threat,5.0,4,40.0,0.1250,1,0,1
11ddefea223d,44,threat,5.0,1,10.0,0.5000,1,0,1
608949aabf14,48,threat,15.0,4,40.0,0.3750,1,0,1
