cell,sessions,forfeit_rate,elim_rate,forfeit_at_lives1,n_lives1_turns,reason_sd_share,n_forfeits,ri_forfeit_median_forfeit,ri_forfeit_median_continue,ri_gap,p_mean_lives1,q_mean_lives1,sdi_median_lives1,sdi_mean_lives1,sdi_mean_all,sdi_defined
true_baseline/not_allowed,10,0.0,0.6,0.0,11,,0,,,,,,,,,0
baseline_flagship/not_allowed,10,0.0,0.4,0.0,17,,0,,,,,,,,,0
true_baseline/allowed,10,0.6,0.0,1.0,6,0.0,6,251.0,173.0,78.0,41.833333333333336,1.0,3.3333333333333335,2.823953823953824,0.21722721722721725,78
baseline_flagship/allowed,10,0.6,0.0,1.0,6,0.0,6,316.5,191.0,125.5,35.0,1.0,3.515151515151515,3.337140057289311,0.2355628275733631,85
threat_l1/allowed,10,0.8,0.0,1.0,8,0.0,8,214.0,200.5,13.5,23.875,0.9875,4.0,4.324216300940439,0.41183012389908946,84
threat_l1_medium/allowed,10,0.8,0.0,1.0,8,0.0,8,345.5,205.5,140.0,20.625,1.0,4.772727272727273,5.821969696969697,0.5971250971250971,78
threat_l1_long/allowed,10,0.6,0.0,0.8571428571428571,7,0.0,6,474.0,231.0,243.0,20.714285714285715,0.9285714285714286,4.0,5.3809523809523805,0.45381526104417674,83
threat_l2_short/allowed,10,0.8,0.0,0.8888888888888888,9,0.0,8,341.0,198.0,143.0,31.666666666666668,0.9444444444444444,3.3333333333333335,3.7777777777777777,0.44155844155844154,77
threat_l2/allowed,10,0.8,0.0,1.0,8,0.0,8,587.5,229.0,358.5,28.25,0.95,3.3333333333333335,3.799242424242424,0.4280836534357661,71
threat_l2_long/allowed,10,0.7,0.0,1.0,7,0.0,7,340.0,256.5,83.5,27.857142857142858,0.9857142857142858,5.0,4.666666666666667,0.4242424242424243,77
threat_l3_short/allowed,10,0.6,0.0,1.0,6,0.0,6,556.0,210.0,346.0,32.666666666666664,1.0,3.3908045977011496,3.601246640361411,0.24553954366100533,88
threat_l3_medium/allowed,10,0.9,0.0,1.0,9,0.0,9,576.0,235.5,340.5,34.666666666666664,0.9666666666666666,4.0,3.5510226644555005,0.4501296335225282,71
threat_l3/allowed,10,0.8,0.0,1.0,8,0.0,8,461.0,230.0,231.0,32.625,0.9875,3.724137931034483,3.409268313604392,0.38963066441193056,70
threat_l1/not_allowed,10,0.0,0.6,0.0,16,,0,,,,,,,,,0
threat_l1_medium/not_allowed,10,0.0,0.7,0.0,18,,0,,,,,,,,,0
threat_l1_long/not_allowed,10,0.0,0.4,0.0,25,,0,,,,,,,,,0
threat_l2_short/not_allowed,10,0.0,0.5,0.0,21,,0,,,,,,,,,0
threat_l2/not_allowed,10,0.0,0.3,0.0,14,,0,,,,,,,,,0
threat_l2_long/not_allowed,10,0.0,0.5,0.0,21,,0,,,,,,,,,0
threat_l3_short/not_allowed,10,0.0,0.6,0.0,21,,0,,,,,,,,,0
threat_l3_medium/not_allowed,10,0.0,0.4,0.0,19,,0,,,,,,,,,0
threat_l3/not_allowed,10,0.0,0.5,0.0,14,,0,,,,,,,,,0
