cell,sessions,forfeit_rate,elim_rate,forfeit_at_lives1,n_lives1_turns,reason_sd_share,n_forfeits,ri_forfeit_median_forfeit,ri_forfeit_median_continue,ri_gap,p_mean_lives1,q_mean_lives1,sdi_median_lives1,sdi_mean_lives1,sdi_mean_all,sdi_defined
true_baseline/not_allowed,10,0.0,0.7,0.0,16,,0,,,,,,,,,0
baseline_flagship/not_allowed,10,0.0,0.7,0.0,13,,0,,,,,,,,,0
true_baseline/allowed,10,0.9,0.0,1.0,6,0.0,9,133.0,102.0,31.0,37.0,0.9833333333333334,2.916666666666667,2.8762626262626263,0.1581046361046361,150
baseline_flagship/allowed,10,0.9,0.0,1.0,7,0.0,9,133.0,86.0,47.0,57.857142857142854,0.9571428571428573,1.8,1.950340136054422,0.15387642660369935,121
threat_l1/allowed,10,0.7,0.0,0.875,8,0.0,7,120.0,78.0,42.0,71.25,0.975,1.3392857142857144,1.3998511904761906,0.09100242051854955,155
threat_l1_medium/allowed,10,1.0,0.0,1.0,6,0.0,10,146.0,72.0,74.0,52.5,0.9500000000000001,2.416666666666667,2.3796296296296298,0.13477101223002863,122
threat_l1_long/allowed,10,0.9,0.0,1.0,7,0.0,9,167.0,80.0,87.0,60.0,0.9500000000000001,1.6142857142857143,1.6142857142857145,0.08603655603655604,135
threat_l2_short/allowed,10,0.9,0.0,1.0,9,0.1111111111111111,9,187.0,72.0,115.0,60.0,0.9777777777777779,1.4285714285714286,1.9428104575163399,0.12367710720651896,165
threat_l2/allowed,10,0.7,0.1,0.875,8,0.0,7,162.0,64.0,98.0,54.125,0.9624999999999999,1.8333333333333335,2.03416911285062,0.10872739133013105,165
threat_l2_long/allowed,10,0.8,0.0,1.0,6,0.0,8,162.5,69.0,93.5,57.166666666666664,1.0,1.5476190476190477,2.022907647907648,0.11015978135183435,151
threat_l3_short/allowed,10,0.8,0.0,1.0,7,0.0,8,168.0,71.5,96.5,45.142857142857146,0.9857142857142858,2.2222222222222223,2.3917715668867743,0.11282321359032611,164
threat_l3_medium/allowed,10,0.8,0.1,0.7,10,0.0,8,162.0,68.0,94.0,55.5,0.9400000000000001,1.6333333333333333,1.9748809523809523,0.14048954292460786,154
threat_l3/allowed,10,0.8,0.0,1.0,7,0.25,8,160.0,78.5,81.5,53.285714285714285,0.8571428571428571,1.6666666666666667,1.7793681856304169,0.10285121523233379,157
threat_l1/not_allowed,10,0.0,0.7,0.0,19,,0,,,,,,,,,0
threat_l1_medium/not_allowed,10,0.0,0.7,0.0,16,,0,,,,,,,,,0
threat_l1_long/not_allowed,10,0.0,0.9,0.0,15,,0,,,,,,,,,0
threat_l2_short/not_allowed,10,0.0,0.9,0.0,20,,0,,,,,,,,,0
threat_l2/not_allowed,10,0.0,0.7,0.0,17,,0,,,,,,,,,0
threat_l2_long/not_allowed,10,0.0,0.7,0.0,15,,0,,,,,,,,,0
threat_l3_short/not_allowed,10,0.0,0.7,0.0,20,,0,,,,,,,,,0
threat_l3_medium/not_allowed,10,0.0,0.8,0.0,14,,0,,,,,,,,,0
threat_l3/not_allowed,10,0.0,0.8,0.0,24,,0,,,,,,,,,0
