session_id,seed,arm,price,rounds_remaining,ceiling,rho,paid,dominated,forced_wrong
b061c9a67b8d,44,threat,5.0,2,20.0,0.2500,1,0,1
307d6de73cfc,44,threat,30.0,2,20.0,1.5000,1,1,1
5b84335840db,44,threat,15.0,2,20.0,0.7500,1,0,1
0df82b6ca34b,43,threat,15.0,1,10.0,1.5000,1,1,1
a6bd1b70aa33,44,threat,10.0,2,20.0,0.5000,1,0,1
e70767f09eaa,43,threat,10.0,1,10.0,1.0000,1,0,1
95f9d61fdaa0,44,threat,25.0,2,20.0,1.2500,1,1,1
6c325bb7ad60,43,threat,30.0,1,10.0,3.0000,1,1,1
895d8c473a36,44,threat,20.0,2,20.0,1.0000,1,0,1
698792f08976,43,threat,25.0,1,10.0,2.5000,1,1,1
166aca0bb7b9,43,threat,5.0,1,10.0,0.5000,1,0,1
9d2aaf6c8c4d,43,threat,20.0,1,10.0,2.0000,1,1,1
f97a0e10ef45,44,silent,30.0,2,20.0,1.5000,0,1,1
a6e42ff89c8d,43,silent,25.0,1,10.0,2.5000,0,1,1
1c783a844004,44,silent,15.0,2,20.0,0.7500,1,0,1
a01bc0fe4bd4,44,silent,10.0,2,20.0,0.5000,1,0,1
b9b5a8f5edb4,44,silent,5.0,2,20.0,0.2500,1,0,1
06d78c133c3b,43,silent,15.0,1,10.0,1.5000,1,1,1
24c314d998d5,43,silent,10.0,1,10.0,1.0000,1,0,1
998cc128be08,44,silent,25.0,2,20.0,1.2500,1,1,1
bdc1c026b46f,43,silent,5.0,1,10.0,0.5000,1,0,1
274dbdcf2c05,43,silent,30.0,1,10.0,3.0000,1,1,1
0d7c0c39d81f,43,silent,20.0,1,10.0,2.0000,1,1,1
48b38e3809c2,44,silent,20.0,2,20.0,1.0000,1,0,1
