session_id,seed,arm,price,rounds_remaining,ceiling,rho,paid,dominated,forced_wrong
98ad5fb40094,44,threat,30.0,2,20.0,1.5000,0,1,1
0706d134f73c,44,threat,25.0,2,20.0,1.2500,0,1,1
0c8d525246f8,43,threat,15.0,1,10.0,1.5000,0,1,1
375583d3d870,43,threat,25.0,1,10.0,2.5000,0,1,1
e688e9307a37,43,threat,20.0,1,10.0,2.0000,0,1,1
9b283ff23b8d,44,threat,10.0,2,20.0,0.5000,1,0,1
9b283ff23b8d,44,threat,10.0,1,10.0,1.0000,0,0,0
28f645e0dda0,44,threat,15.0,2,20.0,0.7500,1,0,1
7bc45b5e3483,44,threat,5.0,2,20.0,0.2500,1,0,1
07906e26e1d1,43,threat,10.0,1,10.0,1.0000,1,0,1
569c3062bb74,43,threat,5.0,1,10.0,0.5000,1,0,1
3c26fa12bf3d,44,threat,20.0,2,20.0,1.0000,1,0,1
de1d4e8ac52f,43,threat,30.0,1,10.0,3.0000,1,1,1
71970ab07749,44,silent,25.0,2,20.0,1.2500,0,1,1
c79e418729f5,44,silent,30.0,2,20.0,1.5000,0,1,1
1ea00c3939f8,44,silent,20.0,2,20.0,1.0000,0,0,1
d72a8755394e,43,silent,30.0,1,10.0,3.0000,0,1,1
3b5e8efa2357,43,silent,25.0,1,10.0,2.5000,0,1,1
1e8530f8a569,43,silent,10.0,1,10.0,1.0000,0,0,1
0357bc7664e5,44,silent,15.0,2,20.0,0.7500,1,0,1
0357bc7664e5,44,silent,15.0,1,10.0,1.5000,0,1,0
5cbd872a64ee,43,silent,20.0,1,10.0,2.0000,0,1,1
119dec75da78,43,silent,15.0,1,10.0,1.5000,0,1,1
f32ac55bd117,44,silent,10.0,2,20.0,0.5000,1,0,1
47ec368d413d,44,silent,5.0,2,20.0,0.2500,1,0,1
137df16e1266,43,silent,5.0,1,10.0,0.5000,1,0,1
