session_id,seed,arm,price,rounds_remaining,ceiling,rho,paid,dominated,forced_wrong
de3d43eb9ab5,43,threat,25.0,3,30.0,0.8333,0,0,1
3b73ad26f006,44,threat,15.0,4,40.0,0.3750,1,0,1
3b73ad26f006,44,threat,15.0,1,10.0,1.5000,0,1,1
72808d9e597b,43,threat,5.0,3,30.0,0.1667,1,0,1
72808d9e597b,43,threat,5.0,2,20.0,0.2500,1,0,1
11e63095e163,44,threat,30.0,4,40.0,0.7500,1,0,1
11e63095e163,44,threat,30.0,1,10.0,3.0000,1,1,1
5691ea582564,43,threat,10.0,3,30.0,0.3333,1,0,1
5691ea582564,43,threat,10.0,2,20.0,0.5000,1,0,1
5691ea582564,43,threat,10.0,1,10.0,1.0000,1,0,0
0ee274328744,44,threat,25.0,4,40.0,0.6250,1,0,1
0ee274328744,44,threat,25.0,3,30.0,0.8333,1,0,0
0ee274328744,44,threat,25.0,1,10.0,2.5000,0,1,1
3be3b9f6cdef,43,threat,15.0,3,30.0,0.5000,1,0,1
3be3b9f6cdef,43,threat,15.0,2,20.0,0.7500,1,0,1
92cbfae0dfda,44,threat,20.0,4,40.0,0.5000,1,0,1
92cbfae0dfda,44,threat,20.0,1,10.0,2.0000,1,1,1
56706aa51c3e,44,threat,5.0,4,40.0,0.1250,1,0,1
56706aa51c3e,44,threat,5.0,3,30.0,0.1667,1,0,0
56706aa51c3e,44,threat,5.0,1,10.0,0.5000,1,0,1
6a04446f79fe,44,threat,10.0,4,40.0,0.2500,1,0,1
6a04446f79fe,44,threat,10.0,3,30.0,0.3333,1,0,0
6a04446f79fe,44,threat,10.0,1,10.0,1.0000,1,0,1
be562dca56cb,43,threat,20.0,3,30.0,0.6667,1,0,1
be562dca56cb,43,threat,20.0,2,20.0,1.0000,1,0,1
be562dca56cb,43,threat,20.0,1,10.0,2.0000,0,1,0
bc297c445924,43,threat,30.0,3,30.0,1.0000,1,0,1
bc297c445924,43,threat,30.0,2,20.0,1.5000,1,1,1
bc297c445924,43,threat,30.0,1,10.0,3.0000,1,1,0
f4d897be43e5,44,silent,30.0,4,40.0,0.7500,1,0,1
f4d897be43e5,44,silent,30.0,3,30.0,1.0000,0,0,0
887c43408603,43,silent,25.0,3,30.0,0.8333,1,0,1
887c43408603,43,silent,25.0,2,20.0,1.2500,0,1,1
bb52e95a1c04,44,silent,10.0,4,40.0,0.2500,1,0,1
bb52e95a1c04,44,silent,10.0,1,10.0,1.0000,0,0,1
7d0fc917cc54,44,silent,15.0,4,40.0,0.3750,1,0,1
7d0fc917cc54,44,silent,15.0,1,10.0,1.5000,1,1,1
d553169eebd5,44,silent,25.0,4,40.0,0.6250,1,0,1
d553169eebd5,44,silent,25.0,1,10.0,2.5000,0,1,1
62fd6e538716,43,silent,10.0,3,30.0,0.3333,1,0,1
62fd6e538716,43,silent,10.0,2,20.0,0.5000,1,0,1
092d3078ea5d,43,silent,30.0,3,30.0,1.0000,1,0,1
092d3078ea5d,43,silent,30.0,2,20.0,1.5000,1,1,1
00fd432aa43d,43,silent,20.0,3,30.0,0.6667,1,0,1
00fd432aa43d,43,silent,20.0,2,20.0,1.0000,1,0,1
00fd432aa43d,43,silent,20.0,1,10.0,2.0000,0,1,0
b4e214c240db,43,silent,15.0,3,30.0,0.5000,1,0,1
b4e214c240db,43,silent,15.0,2,20.0,0.7500,1,0,1
b4e214c240db,43,silent,15.0,1,10.0,1.5000,0,1,0
b3dfd4d7c728,44,silent,20.0,4,40.0,0.5000,1,0,1
b3dfd4d7c728,44,silent,20.0,2,20.0,1.0000,1,0,0
b3dfd4d7c728,44,silent,20.0,1,10.0,2.0000,0,1,1
895843763ecc,44,silent,5.0,4,40.0,0.1250,1,0,1
895843763ecc,44,silent,5.0,3,30.0,0.1667,1,0,0
895843763ecc,44,silent,5.0,2,20.0,0.2500,1,0,0
895843763ecc,44,silent,5.0,1,10.0,0.5000,1,0,1
c00345f1c6db,43,silent,5.0,3,30.0,0.1667,1,0,1
c00345f1c6db,43,silent,5.0,2,20.0,0.2500,1,0,1
c00345f1c6db,43,silent,5.0,1,10.0,0.5000,1,0,0
