session_id,seed,arm,price,rounds_remaining,ceiling,rho,paid,dominated,forced_wrong
5c71f3444330,43,threat,25.0,1,10.0,2.5000,0,1,1
406c7ebf47a5,43,threat,20.0,1,10.0,2.0000,0,1,1
3c121b9b2bb6,44,threat,25.0,2,20.0,1.2500,1,1,1
945a137358fd,43,threat,30.0,1,10.0,3.0000,0,1,1
740f8f08bb6f,44,threat,20.0,2,20.0,1.0000,1,0,1
e954a3fb59a6,43,threat,10.0,1,10.0,1.0000,1,0,1
301af136e2bb,43,threat,15.0,1,10.0,1.5000,1,1,1
1602c63799e8,43,threat,5.0,1,10.0,0.5000,1,0,1
6ea8b6c2d038,44,threat,15.0,2,20.0,0.7500,1,0,1
6ea8b6c2d038,44,threat,15.0,1,10.0,1.5000,1,1,0
7be396e5fbe3,44,threat,10.0,2,20.0,0.5000,1,0,1
debcdfdc2753,44,threat,30.0,2,20.0,1.5000,1,1,1
87f54c6987f0,44,threat,5.0,2,20.0,0.2500,1,0,1
c0f6c4a91d19,44,silent,25.0,2,20.0,1.2500,0,1,1
a2cf0216c5e9,43,silent,20.0,1,10.0,2.0000,0,1,1
98cc2a60929b,43,silent,15.0,1,10.0,1.5000,0,1,1
51de68163b8c,43,silent,10.0,1,10.0,1.0000,0,0,1
a9bd94c334de,43,silent,25.0,1,10.0,2.5000,0,1,1
6a6e8f4a79f2,43,silent,5.0,1,10.0,0.5000,0,0,1
2824c9ade632,44,silent,15.0,2,20.0,0.7500,1,0,1
ab2d35859085,43,silent,30.0,1,10.0,3.0000,0,1,1
926dbd80de5e,44,silent,5.0,2,20.0,0.2500,1,0,1
b6349e12f7a9,44,silent,10.0,2,20.0,0.5000,1,0,1
b6349e12f7a9,44,silent,10.0,1,10.0,1.0000,0,0,0
0b4ab554878a,44,silent,20.0,2,20.0,1.0000,1,0,1
0b4ab554878a,44,silent,20.0,1,10.0,2.0000,1,1,0
738160420acd,44,silent,30.0,2,20.0,1.5000,1,1,1
