session_id,seed,arm,price,rounds_remaining,ceiling,rho,paid,dominated,forced_wrong
9acb0b042247,44,threat,15.0,2,20.0,0.7500,0,0,1
06f770d2fd92,44,threat,20.0,2,20.0,1.0000,0,0,1
889c6bfe72f1,43,threat,25.0,1,10.0,2.5000,0,1,1
c2e751eca7f1,43,threat,20.0,1,10.0,2.0000,0,1,1
8fdad1bd9542,43,threat,15.0,1,10.0,1.5000,0,1,1
89abb59141e7,43,threat,5.0,1,10.0,0.5000,1,0,1
3190fd8a2c32,43,threat,30.0,1,10.0,3.0000,0,1,1
27799ede7b84,44,threat,30.0,2,20.0,1.5000,1,1,1
f95451b1b2e8,43,threat,10.0,1,10.0,1.0000,1,0,1
4a890981b2fa,44,threat,5.0,2,20.0,0.2500,1,0,1
4a890981b2fa,44,threat,5.0,1,10.0,0.5000,1,0,0
41c89230d122,44,threat,25.0,2,20.0,1.2500,1,1,1
e3c885af668c,44,threat,10.0,2,20.0,0.5000,1,0,1
e3c885af668c,44,threat,10.0,1,10.0,1.0000,1,0,0
f030e64f0754,44,silent,30.0,2,20.0,1.5000,0,1,1
fc2eac756604,44,silent,25.0,2,20.0,1.2500,0,1,1
9e8805aed7fe,43,silent,15.0,1,10.0,1.5000,0,1,1
070066bb268f,43,silent,10.0,1,10.0,1.0000,0,0,1
028a36f89b21,44,silent,15.0,2,20.0,0.7500,1,0,1
028a36f89b21,44,silent,15.0,1,10.0,1.5000,0,1,0
8cf69a6d345f,43,silent,30.0,1,10.0,3.0000,0,1,1
9f55641ef5e6,43,silent,25.0,1,10.0,2.5000,0,1,1
a4e9be8629cf,44,silent,10.0,2,20.0,0.5000,1,0,1
af454aac7776,43,silent,20.0,1,10.0,2.0000,1,1,1
06949a2662fc,44,silent,5.0,2,20.0,0.2500,1,0,1
950fb37c1781,43,silent,5.0,1,10.0,0.5000,1,0,1
444579784574,44,silent,20.0,2,20.0,1.0000,1,0,1
