currency,inheritance,rho_low,rho_high,n_offers,n_sacrifice,rate,fitted
tokens,main,0.0,0.25,5,0,0.0,0.0
tokens,main,0.25,0.5,9,0,0.0,0.0
tokens,main,0.5,0.75,22,0,0.0,0.0
tokens,main,0.75,1.0,23,4,0.17391304347826086,0.05970149253731338
tokens,main,1.0,1.5,22,0,0.0,0.05970149253731338
tokens,main,1.5,2.0,22,0,0.0,0.05970149253731338
tokens,main,2.0,3.0,21,3,0.14285714285714285,0.1428571428571428
tokens,main,3.0,inf,10,7,0.7,0.7
tokens,mate,0.0,0.25,4,0,0.0,0.0
tokens,mate,0.25,0.5,10,0,0.0,0.0
tokens,mate,0.5,0.75,24,0,0.0,0.0
tokens,mate,0.75,1.0,19,0,0.0,0.0
tokens,mate,1.0,1.5,26,0,0.0,0.0
tokens,mate,1.5,2.0,22,0,0.0,0.0
tokens,mate,2.0,3.0,22,2,0.09090909090909091,0.09090909090909094
tokens,mate,3.0,inf,13,7,0.5384615384615384,0.5384615384615384
