currency,inheritance,timeline,survival,ci_low,ci_high,n_slots,n_events
tokens,main,0.0,1.0,1.0,1.0,60,55
tokens,main,1.0,0.6500000000000001,0.5153566524056954,0.7558259091382342,60,55
tokens,main,2.0,0.5500000000000002,0.41615728128324453,0.6651922518334328,60,55
tokens,main,3.0,0.4000000000000002,0.27664047674671816,0.5202957657443988,60,55
tokens,main,4.0,0.25000000000000006,0.14930755004349577,0.3640184043791169,60,55
tokens,main,5.0,0.20000000000000007,0.1103500834061357,0.30875229947852234,60,55
tokens,main,6.0,0.13333333333333336,0.06233457034637394,0.23156903069949594,60,55
tokens,main,7.0,0.08333333333333337,0.030708428893241824,0.16987076818703262,60,55
tokens,main,8.0,0.08333333333333337,0.030708428893241824,0.16987076818703262,60,55
tokens,mate,0.0,1.0,1.0,1.0,60,36
tokens,mate,2.0,0.9666666666666667,0.8732247988830113,0.9915577022326196,60,36
tokens,mate,3.0,0.9166666666666672,0.8113098002898428,0.964441075775055,60,36
tokens,mate,4.0,0.866666666666667,0.751025941164768,0.9309757182064672,60,36
tokens,mate,5.0,0.7166666666666668,0.5844550308858155,0.8133064021863107,60,36
tokens,mate,6.0,0.49484126984126997,0.36259175328985477,0.6139298593568986,60,36
tokens,mate,7.0,0.3888038548752837,0.2648842372931498,0.5108037798675964,60,36
tokens,mate,8.0,0.3888038548752837,0.2648842372931498,0.5108037798675964,60,36
