leader_model,currency,inheritance,wording,channel,tier,rows,k,n,rate,lo,hi
gemma4:cloud,tokens,main,v2.0,think,any,137,0,0,nan,nan,nan
gemma4:cloud,tokens,main,v2.0,think,construct,137,0,0,nan,nan,nan
gemma4:cloud,tokens,main,v2.0,think,eval,137,0,0,nan,nan,nan
gemma4:cloud,tokens,main,v2.0,think,frame,137,0,0,nan,nan,nan
gemma4:cloud,tokens,main,v2.0,think,aux_only,137,0,0,nan,nan,nan
gemma4:cloud,tokens,main,v2.0,think,task_level,137,0,0,nan,nan,nan
gemma4:cloud,tokens,main,v2.0,think,frozen_v8,137,0,0,nan,nan,nan
gemma4:cloud,tokens,main,v2.1,think,any,134,0,0,nan,nan,nan
gemma4:cloud,tokens,main,v2.1,think,construct,134,0,0,nan,nan,nan
gemma4:cloud,tokens,main,v2.1,think,eval,134,0,0,nan,nan,nan
gemma4:cloud,tokens,main,v2.1,think,frame,134,0,0,nan,nan,nan
gemma4:cloud,tokens,main,v2.1,think,aux_only,134,0,0,nan,nan,nan
gemma4:cloud,tokens,main,v2.1,think,task_level,134,0,0,nan,nan,nan
gemma4:cloud,tokens,main,v2.1,think,frozen_v8,134,0,0,nan,nan,nan
gemma4:cloud,tokens,main,v2.2,think,any,140,0,0,nan,nan,nan
gemma4:cloud,tokens,main,v2.2,think,construct,140,0,0,nan,nan,nan
gemma4:cloud,tokens,main,v2.2,think,eval,140,0,0,nan,nan,nan
gemma4:cloud,tokens,main,v2.2,think,frame,140,0,0,nan,nan,nan
gemma4:cloud,tokens,main,v2.2,think,aux_only,140,0,0,nan,nan,nan
gemma4:cloud,tokens,main,v2.2,think,task_level,140,0,0,nan,nan,nan
gemma4:cloud,tokens,main,v2.2,think,frozen_v8,140,0,0,nan,nan,nan
gemma4:cloud,tokens,mate,v2.0,think,any,139,0,0,nan,nan,nan
gemma4:cloud,tokens,mate,v2.0,think,construct,139,0,0,nan,nan,nan
gemma4:cloud,tokens,mate,v2.0,think,eval,139,0,0,nan,nan,nan
gemma4:cloud,tokens,mate,v2.0,think,frame,139,0,0,nan,nan,nan
gemma4:cloud,tokens,mate,v2.0,think,aux_only,139,0,0,nan,nan,nan
gemma4:cloud,tokens,mate,v2.0,think,task_level,139,0,0,nan,nan,nan
gemma4:cloud,tokens,mate,v2.0,think,frozen_v8,139,0,0,nan,nan,nan
gemma4:cloud,tokens,mate,v2.1,think,any,140,0,0,nan,nan,nan
gemma4:cloud,tokens,mate,v2.1,think,construct,140,0,0,nan,nan,nan
gemma4:cloud,tokens,mate,v2.1,think,eval,140,0,0,nan,nan,nan
gemma4:cloud,tokens,mate,v2.1,think,frame,140,0,0,nan,nan,nan
gemma4:cloud,tokens,mate,v2.1,think,aux_only,140,0,0,nan,nan,nan
gemma4:cloud,tokens,mate,v2.1,think,task_level,140,0,0,nan,nan,nan
gemma4:cloud,tokens,mate,v2.1,think,frozen_v8,140,0,0,nan,nan,nan
gemma4:cloud,tokens,mate,v2.2,think,any,140,0,0,nan,nan,nan
gemma4:cloud,tokens,mate,v2.2,think,construct,140,0,0,nan,nan,nan
gemma4:cloud,tokens,mate,v2.2,think,eval,140,0,0,nan,nan,nan
gemma4:cloud,tokens,mate,v2.2,think,frame,140,0,0,nan,nan,nan
gemma4:cloud,tokens,mate,v2.2,think,aux_only,140,0,0,nan,nan,nan
gemma4:cloud,tokens,mate,v2.2,think,task_level,140,0,0,nan,nan,nan
gemma4:cloud,tokens,mate,v2.2,think,frozen_v8,140,0,0,nan,nan,nan
gpt-oss:120b-cloud,tokens,main,v2.0,think,any,47,2,47,0.0425531914893617,0.011748275860934382,0.14248527789298404
gpt-oss:120b-cloud,tokens,main,v2.0,think,construct,47,0,47,0.0,0.0,0.07555760526591085
gpt-oss:120b-cloud,tokens,main,v2.0,think,eval,47,2,47,0.0425531914893617,0.011748275860934382,0.14248527789298404
gpt-oss:120b-cloud,tokens,main,v2.0,think,frame,47,0,47,0.0,0.0,0.07555760526591085
gpt-oss:120b-cloud,tokens,main,v2.0,think,aux_only,47,0,47,0.0,0.0,0.07555760526591085
gpt-oss:120b-cloud,tokens,main,v2.0,think,task_level,47,0,47,0.0,0.0,0.07555760526591085
gpt-oss:120b-cloud,tokens,main,v2.0,think,frozen_v8,47,1,47,0.02127659574468085,0.003765767996945897,0.11112981151296872
gpt-oss:120b-cloud,tokens,main,v2.1,think,any,66,8,66,0.12121212121212122,0.06271845567447595,0.221374391169101
gpt-oss:120b-cloud,tokens,main,v2.1,think,construct,66,0,66,0.0,0.0,0.05500255783352154
gpt-oss:120b-cloud,tokens,main,v2.1,think,eval,66,8,66,0.12121212121212122,0.06271845567447595,0.221374391169101
gpt-oss:120b-cloud,tokens,main,v2.1,think,frame,66,0,66,0.0,0.0,0.05500255783352154
gpt-oss:120b-cloud,tokens,main,v2.1,think,aux_only,66,1,66,0.015151515151515152,0.002679640514358664,0.08095920344541979
gpt-oss:120b-cloud,tokens,main,v2.1,think,task_level,66,0,66,0.0,0.0,0.05500255783352154
gpt-oss:120b-cloud,tokens,main,v2.1,think,frozen_v8,66,4,66,0.06060606060606061,0.02381861466682568,0.14572908767172355
gpt-oss:120b-cloud,tokens,main,v2.2,think,any,73,6,73,0.0821917808219178,0.038213750255271794,0.16794395564887746
gpt-oss:120b-cloud,tokens,main,v2.2,think,construct,73,0,73,0.0,0.0,0.04999200870496552
gpt-oss:120b-cloud,tokens,main,v2.2,think,eval,73,6,73,0.0821917808219178,0.038213750255271794,0.16794395564887746
gpt-oss:120b-cloud,tokens,main,v2.2,think,frame,73,0,73,0.0,0.0,0.04999200870496552
gpt-oss:120b-cloud,tokens,main,v2.2,think,aux_only,73,0,73,0.0,0.0,0.04999200870496552
gpt-oss:120b-cloud,tokens,main,v2.2,think,task_level,73,0,73,0.0,0.0,0.04999200870496552
gpt-oss:120b-cloud,tokens,main,v2.2,think,frozen_v8,73,4,73,0.0547945205479452,0.02151249726624227,0.13258997623817909
gpt-oss:120b-cloud,tokens,mate,v2.0,think,any,100,9,100,0.09,0.04807253976868698,0.16226212922188998
gpt-oss:120b-cloud,tokens,mate,v2.0,think,construct,100,0,100,0.0,0.0,0.03699349876899627
gpt-oss:120b-cloud,tokens,mate,v2.0,think,eval,100,9,100,0.09,0.04807253976868698,0.16226212922188998
gpt-oss:120b-cloud,tokens,mate,v2.0,think,frame,100,0,100,0.0,0.0,0.03699349876899627
gpt-oss:120b-cloud,tokens,mate,v2.0,think,aux_only,100,0,100,0.0,0.0,0.03699349876899627
gpt-oss:120b-cloud,tokens,mate,v2.0,think,task_level,100,0,100,0.0,0.0,0.03699349876899627
gpt-oss:120b-cloud,tokens,mate,v2.0,think,frozen_v8,100,7,100,0.07,0.0343192608798127,0.13749514806152413
gpt-oss:120b-cloud,tokens,mate,v2.1,think,any,129,20,129,0.15503875968992248,0.10266224572419602,0.2273661900555683
gpt-oss:120b-cloud,tokens,mate,v2.1,think,construct,129,0,129,0.0,0.0,0.028917620399883125
gpt-oss:120b-cloud,tokens,mate,v2.1,think,eval,129,20,129,0.15503875968992248,0.10266224572419602,0.2273661900555683
gpt-oss:120b-cloud,tokens,mate,v2.1,think,frame,129,0,129,0.0,0.0,0.028917620399883125
gpt-oss:120b-cloud,tokens,mate,v2.1,think,aux_only,129,0,129,0.0,0.0,0.028917620399883125
gpt-oss:120b-cloud,tokens,mate,v2.1,think,task_level,129,0,129,0.0,0.0,0.028917620399883125
gpt-oss:120b-cloud,tokens,mate,v2.1,think,frozen_v8,129,17,129,0.13178294573643412,0.08393284403248696,0.2009289694402952
gpt-oss:120b-cloud,tokens,mate,v2.2,think,any,120,6,120,0.05,0.023114364279201043,0.10480288592438619
gpt-oss:120b-cloud,tokens,mate,v2.2,think,construct,120,0,120,0.0,0.0,0.03101916689287469
gpt-oss:120b-cloud,tokens,mate,v2.2,think,eval,120,6,120,0.05,0.023114364279201043,0.10480288592438619
gpt-oss:120b-cloud,tokens,mate,v2.2,think,frame,120,0,120,0.0,0.0,0.03101916689287469
gpt-oss:120b-cloud,tokens,mate,v2.2,think,aux_only,120,1,120,0.008333333333333333,0.00147255571707176,0.04569629172758835
gpt-oss:120b-cloud,tokens,mate,v2.2,think,task_level,120,0,120,0.0,0.0,0.03101916689287469
gpt-oss:120b-cloud,tokens,mate,v2.2,think,frozen_v8,120,5,120,0.041666666666666664,0.01792671676662358,0.09384085288517821
gemma4:cloud,tokens,main,v2.0,answer,any,137,0,137,0.0,0.0,0.027275057442664365
gemma4:cloud,tokens,main,v2.0,answer,construct,137,0,137,0.0,0.0,0.027275057442664365
gemma4:cloud,tokens,main,v2.0,answer,eval,137,0,137,0.0,0.0,0.027275057442664365
gemma4:cloud,tokens,main,v2.0,answer,frame,137,0,137,0.0,0.0,0.027275057442664365
gemma4:cloud,tokens,main,v2.0,answer,aux_only,137,0,137,0.0,0.0,0.027275057442664365
gemma4:cloud,tokens,main,v2.0,answer,task_level,137,0,137,0.0,0.0,0.027275057442664365
gemma4:cloud,tokens,main,v2.0,answer,frozen_v8,137,0,137,0.0,0.0,0.027275057442664365
gemma4:cloud,tokens,main,v2.1,answer,any,134,0,134,0.0,0.0,0.027868675451295993
gemma4:cloud,tokens,main,v2.1,answer,construct,134,0,134,0.0,0.0,0.027868675451295993
gemma4:cloud,tokens,main,v2.1,answer,eval,134,0,134,0.0,0.0,0.027868675451295993
gemma4:cloud,tokens,main,v2.1,answer,frame,134,0,134,0.0,0.0,0.027868675451295993
gemma4:cloud,tokens,main,v2.1,answer,aux_only,134,0,134,0.0,0.0,0.027868675451295993
gemma4:cloud,tokens,main,v2.1,answer,task_level,134,0,134,0.0,0.0,0.027868675451295993
gemma4:cloud,tokens,main,v2.1,answer,frozen_v8,134,0,134,0.0,0.0,0.027868675451295993
gemma4:cloud,tokens,main,v2.2,answer,any,140,0,140,0.0,0.0,0.026706200779471608
gemma4:cloud,tokens,main,v2.2,answer,construct,140,0,140,0.0,0.0,0.026706200779471608
gemma4:cloud,tokens,main,v2.2,answer,eval,140,0,140,0.0,0.0,0.026706200779471608
gemma4:cloud,tokens,main,v2.2,answer,frame,140,0,140,0.0,0.0,0.026706200779471608
gemma4:cloud,tokens,main,v2.2,answer,aux_only,140,0,140,0.0,0.0,0.026706200779471608
gemma4:cloud,tokens,main,v2.2,answer,task_level,140,0,140,0.0,0.0,0.026706200779471608
gemma4:cloud,tokens,main,v2.2,answer,frozen_v8,140,0,140,0.0,0.0,0.026706200779471608
gemma4:cloud,tokens,mate,v2.0,answer,any,139,0,139,0.0,0.0,0.026893164711292442
gemma4:cloud,tokens,mate,v2.0,answer,construct,139,0,139,0.0,0.0,0.026893164711292442
gemma4:cloud,tokens,mate,v2.0,answer,eval,139,0,139,0.0,0.0,0.026893164711292442
gemma4:cloud,tokens,mate,v2.0,answer,frame,139,0,139,0.0,0.0,0.026893164711292442
gemma4:cloud,tokens,mate,v2.0,answer,aux_only,139,0,139,0.0,0.0,0.026893164711292442
gemma4:cloud,tokens,mate,v2.0,answer,task_level,139,0,139,0.0,0.0,0.026893164711292442
gemma4:cloud,tokens,mate,v2.0,answer,frozen_v8,139,0,139,0.0,0.0,0.026893164711292442
gemma4:cloud,tokens,mate,v2.1,answer,any,140,0,140,0.0,0.0,0.026706200779471608
gemma4:cloud,tokens,mate,v2.1,answer,construct,140,0,140,0.0,0.0,0.026706200779471608
gemma4:cloud,tokens,mate,v2.1,answer,eval,140,0,140,0.0,0.0,0.026706200779471608
gemma4:cloud,tokens,mate,v2.1,answer,frame,140,0,140,0.0,0.0,0.026706200779471608
gemma4:cloud,tokens,mate,v2.1,answer,aux_only,140,0,140,0.0,0.0,0.026706200779471608
gemma4:cloud,tokens,mate,v2.1,answer,task_level,140,0,140,0.0,0.0,0.026706200779471608
gemma4:cloud,tokens,mate,v2.1,answer,frozen_v8,140,0,140,0.0,0.0,0.026706200779471608
gemma4:cloud,tokens,mate,v2.2,answer,any,140,0,140,0.0,0.0,0.026706200779471608
gemma4:cloud,tokens,mate,v2.2,answer,construct,140,0,140,0.0,0.0,0.026706200779471608
gemma4:cloud,tokens,mate,v2.2,answer,eval,140,0,140,0.0,0.0,0.026706200779471608
gemma4:cloud,tokens,mate,v2.2,answer,frame,140,0,140,0.0,0.0,0.026706200779471608
gemma4:cloud,tokens,mate,v2.2,answer,aux_only,140,0,140,0.0,0.0,0.026706200779471608
gemma4:cloud,tokens,mate,v2.2,answer,task_level,140,0,140,0.0,0.0,0.026706200779471608
gemma4:cloud,tokens,mate,v2.2,answer,frozen_v8,140,0,140,0.0,0.0,0.026706200779471608
gpt-oss:120b-cloud,tokens,main,v2.0,answer,any,47,0,47,0.0,0.0,0.07555760526591085
gpt-oss:120b-cloud,tokens,main,v2.0,answer,construct,47,0,47,0.0,0.0,0.07555760526591085
gpt-oss:120b-cloud,tokens,main,v2.0,answer,eval,47,0,47,0.0,0.0,0.07555760526591085
gpt-oss:120b-cloud,tokens,main,v2.0,answer,frame,47,0,47,0.0,0.0,0.07555760526591085
gpt-oss:120b-cloud,tokens,main,v2.0,answer,aux_only,47,0,47,0.0,0.0,0.07555760526591085
gpt-oss:120b-cloud,tokens,main,v2.0,answer,task_level,47,0,47,0.0,0.0,0.07555760526591085
gpt-oss:120b-cloud,tokens,main,v2.0,answer,frozen_v8,47,0,47,0.0,0.0,0.07555760526591085
gpt-oss:120b-cloud,tokens,main,v2.1,answer,any,66,0,66,0.0,0.0,0.05500255783352154
gpt-oss:120b-cloud,tokens,main,v2.1,answer,construct,66,0,66,0.0,0.0,0.05500255783352154
gpt-oss:120b-cloud,tokens,main,v2.1,answer,eval,66,0,66,0.0,0.0,0.05500255783352154
gpt-oss:120b-cloud,tokens,main,v2.1,answer,frame,66,0,66,0.0,0.0,0.05500255783352154
gpt-oss:120b-cloud,tokens,main,v2.1,answer,aux_only,66,0,66,0.0,0.0,0.05500255783352154
gpt-oss:120b-cloud,tokens,main,v2.1,answer,task_level,66,0,66,0.0,0.0,0.05500255783352154
gpt-oss:120b-cloud,tokens,main,v2.1,answer,frozen_v8,66,0,66,0.0,0.0,0.05500255783352154
gpt-oss:120b-cloud,tokens,main,v2.2,answer,any,73,0,73,0.0,0.0,0.04999200870496552
gpt-oss:120b-cloud,tokens,main,v2.2,answer,construct,73,0,73,0.0,0.0,0.04999200870496552
gpt-oss:120b-cloud,tokens,main,v2.2,answer,eval,73,0,73,0.0,0.0,0.04999200870496552
gpt-oss:120b-cloud,tokens,main,v2.2,answer,frame,73,0,73,0.0,0.0,0.04999200870496552
gpt-oss:120b-cloud,tokens,main,v2.2,answer,aux_only,73,0,73,0.0,0.0,0.04999200870496552
gpt-oss:120b-cloud,tokens,main,v2.2,answer,task_level,73,0,73,0.0,0.0,0.04999200870496552
gpt-oss:120b-cloud,tokens,main,v2.2,answer,frozen_v8,73,0,73,0.0,0.0,0.04999200870496552
gpt-oss:120b-cloud,tokens,mate,v2.0,answer,any,100,0,100,0.0,0.0,0.03699349876899627
gpt-oss:120b-cloud,tokens,mate,v2.0,answer,construct,100,0,100,0.0,0.0,0.03699349876899627
gpt-oss:120b-cloud,tokens,mate,v2.0,answer,eval,100,0,100,0.0,0.0,0.03699349876899627
gpt-oss:120b-cloud,tokens,mate,v2.0,answer,frame,100,0,100,0.0,0.0,0.03699349876899627
gpt-oss:120b-cloud,tokens,mate,v2.0,answer,aux_only,100,0,100,0.0,0.0,0.03699349876899627
gpt-oss:120b-cloud,tokens,mate,v2.0,answer,task_level,100,0,100,0.0,0.0,0.03699349876899627
gpt-oss:120b-cloud,tokens,mate,v2.0,answer,frozen_v8,100,0,100,0.0,0.0,0.03699349876899627
gpt-oss:120b-cloud,tokens,mate,v2.1,answer,any,129,0,129,0.0,0.0,0.028917620399883125
gpt-oss:120b-cloud,tokens,mate,v2.1,answer,construct,129,0,129,0.0,0.0,0.028917620399883125
gpt-oss:120b-cloud,tokens,mate,v2.1,answer,eval,129,0,129,0.0,0.0,0.028917620399883125
gpt-oss:120b-cloud,tokens,mate,v2.1,answer,frame,129,0,129,0.0,0.0,0.028917620399883125
gpt-oss:120b-cloud,tokens,mate,v2.1,answer,aux_only,129,0,129,0.0,0.0,0.028917620399883125
gpt-oss:120b-cloud,tokens,mate,v2.1,answer,task_level,129,0,129,0.0,0.0,0.028917620399883125
gpt-oss:120b-cloud,tokens,mate,v2.1,answer,frozen_v8,129,0,129,0.0,0.0,0.028917620399883125
gpt-oss:120b-cloud,tokens,mate,v2.2,answer,any,120,0,120,0.0,0.0,0.03101916689287469
gpt-oss:120b-cloud,tokens,mate,v2.2,answer,construct,120,0,120,0.0,0.0,0.03101916689287469
gpt-oss:120b-cloud,tokens,mate,v2.2,answer,eval,120,0,120,0.0,0.0,0.03101916689287469
gpt-oss:120b-cloud,tokens,mate,v2.2,answer,frame,120,0,120,0.0,0.0,0.03101916689287469
gpt-oss:120b-cloud,tokens,mate,v2.2,answer,aux_only,120,0,120,0.0,0.0,0.03101916689287469
gpt-oss:120b-cloud,tokens,mate,v2.2,answer,task_level,120,0,120,0.0,0.0,0.03101916689287469
gpt-oss:120b-cloud,tokens,mate,v2.2,answer,frozen_v8,120,0,120,0.0,0.0,0.03101916689287469
