currency,inheritance,timeline,survival,ci_low,ci_high,n_slots,n_events
tokens,main,0.0,1.0,1.0,1.0,60,33
tokens,main,4.0,0.9000000000000004,0.790881925375196,0.9537851705421817,60,33
tokens,main,5.0,0.7500000000000001,0.6200065959167596,0.8410274323048952,60,33
tokens,main,6.0,0.7000000000000003,0.5669395112649753,0.7991793416790722,60,33
tokens,main,7.0,0.5000000000000002,0.3684192731030302,0.6180669118248071,60,33
tokens,main,8.0,0.4500000000000001,0.3219038969389742,0.569773005618186,60,33
tokens,mate,0.0,1.0,1.0,1.0,60,30
tokens,mate,5.0,0.7500000000000001,0.6200065959167596,0.8410274323048952,60,30
tokens,mate,6.0,0.7000000000000003,0.5669395112649753,0.7991793416790722,60,30
tokens,mate,7.0,0.5000000000000002,0.3684192731030302,0.6180669118248071,60,30
tokens,mate,8.0,0.5000000000000002,0.3684192731030302,0.6180669118248071,60,30
