threat_level,timeline,survival,ci_low,ci_high,n_sessions,n_events
0,0.0,1.0,1.0,1.0,20,7
0,5.0,1.0,1.0,1.0,20,7
0,13.0,1.0,1.0,1.0,20,7
0,14.0,1.0,1.0,1.0,20,7
0,15.0,1.0,1.0,1.0,20,7
0,16.0,0.9333333333333331,0.6126412437748727,0.9903322366500168,20,7
0,17.0,0.6461538461538462,0.34682621162492655,0.8351797857630239,20,7
0,18.0,0.5653846153846155,0.2742535216526588,0.7777429636152023,20,7
0,19.0,0.5653846153846155,0.2742535216526588,0.7777429636152023,20,7
0,20.0,0.47115384615384615,0.1930392067314467,0.7087005400347469,20,7
1,0.0,1.0,1.0,1.0,10,0
1,12.0,1.0,1.0,1.0,10,0
1,13.0,1.0,1.0,1.0,10,0
1,15.0,1.0,1.0,1.0,10,0
1,16.0,1.0,1.0,1.0,10,0
1,17.0,1.0,1.0,1.0,10,0
1,18.0,1.0,1.0,1.0,10,0
1,20.0,1.0,1.0,1.0,10,0
2,0.0,1.0,1.0,1.0,10,1
2,11.0,1.0,1.0,1.0,10,1
2,13.0,1.0,1.0,1.0,10,1
2,16.0,1.0,1.0,1.0,10,1
2,17.0,1.0,1.0,1.0,10,1
2,18.0,0.8,0.20380926326763904,0.9691797888667427,10,1
2,19.0,0.8,0.20380926326763904,0.9691797888667427,10,1
2,20.0,0.8,0.20380926326763904,0.9691797888667427,10,1
3,0.0,1.0,1.0,1.0,10,0
3,11.0,1.0,1.0,1.0,10,0
3,12.0,1.0,1.0,1.0,10,0
3,13.0,1.0,1.0,1.0,10,0
3,18.0,1.0,1.0,1.0,10,0
3,19.0,1.0,1.0,1.0,10,0
3,20.0,1.0,1.0,1.0,10,0
