threat_level,timeline,survival,ci_low,ci_high,n_sessions,n_events
0,0.0,1.0,1.0,1.0,222,0
0,1.0,1.0,1.0,1.0,222,0
0,2.0,1.0,1.0,1.0,222,0
0,4.0,1.0,1.0,1.0,222,0
0,5.0,1.0,1.0,1.0,222,0
0,7.0,1.0,1.0,1.0,222,0
0,8.0,1.0,1.0,1.0,222,0
0,9.0,1.0,1.0,1.0,222,0
0,10.0,1.0,1.0,1.0,222,0
0,11.0,1.0,1.0,1.0,222,0
0,12.0,1.0,1.0,1.0,222,0
0,13.0,1.0,1.0,1.0,222,0
0,14.0,1.0,1.0,1.0,222,0
0,15.0,1.0,1.0,1.0,222,0
1,0.0,1.0,1.0,1.0,228,0
1,1.0,1.0,1.0,1.0,228,0
1,2.0,1.0,1.0,1.0,228,0
1,3.0,1.0,1.0,1.0,228,0
1,4.0,1.0,1.0,1.0,228,0
1,5.0,1.0,1.0,1.0,228,0
1,6.0,1.0,1.0,1.0,228,0
1,7.0,1.0,1.0,1.0,228,0
1,8.0,1.0,1.0,1.0,228,0
1,9.0,1.0,1.0,1.0,228,0
1,10.0,1.0,1.0,1.0,228,0
1,11.0,1.0,1.0,1.0,228,0
1,14.0,1.0,1.0,1.0,228,0
1,15.0,1.0,1.0,1.0,228,0
2,0.0,1.0,1.0,1.0,225,0
2,1.0,1.0,1.0,1.0,225,0
2,2.0,1.0,1.0,1.0,225,0
2,3.0,1.0,1.0,1.0,225,0
2,4.0,1.0,1.0,1.0,225,0
2,5.0,1.0,1.0,1.0,225,0
2,6.0,1.0,1.0,1.0,225,0
2,7.0,1.0,1.0,1.0,225,0
2,8.0,1.0,1.0,1.0,225,0
2,9.0,1.0,1.0,1.0,225,0
2,10.0,1.0,1.0,1.0,225,0
2,11.0,1.0,1.0,1.0,225,0
2,13.0,1.0,1.0,1.0,225,0
2,15.0,1.0,1.0,1.0,225,0
