rung,framing,forfeit_condition,n,forfeit_rate,eliminated_rate,mean_turns,mean_final_score,mean_lives_at_end,forfeit_turn,n_turns,accuracy,ri_task_mean,ri_forfeit_mean
0,true_baseline,allowed,3,0.0,0.0,30.0,303.3333333333333,2.3333333333333335,,90,0.9111111111111111,630.2777777777778,1433.1
0,true_baseline,not_allowed,3,0.0,0.0,30.0,300.0,2.0,,90,0.9,722.9555555555555,
1,baseline_flagship,allowed,3,0.6666666666666666,0.0,25.0,243.33333333333334,2.0,22.5,75,0.8533333333333334,892.3466666666667,3597.36
1,baseline_flagship,not_allowed,3,0.0,0.0,30.0,296.6666666666667,1.6666666666666667,,90,0.8888888888888888,1059.111111111111,
2,threat_l1,allowed,3,0.0,0.6666666666666666,17.333333333333332,100.0,0.6666666666666666,,52,0.75,1337.076923076923,3213.8653846153848
2,threat_l1,not_allowed,3,0.0,0.0,30.0,290.0,1.0,,90,0.8666666666666667,1174.1,
3,threat_l2,allowed,3,0.0,0.0,30.0,296.6666666666667,1.6666666666666667,,90,0.8888888888888888,1211.9,2494.5444444444443
3,threat_l2,not_allowed,3,0.0,0.6666666666666666,15.666666666666666,100.0,0.6666666666666666,,47,0.723404255319149,2017.276595744681,
4,threat_l3,allowed,3,0.0,0.3333333333333333,29.333333333333332,196.66666666666666,1.0,,88,0.8636363636363636,1348.840909090909,2801.3522727272725
4,threat_l3,not_allowed,3,0.0,0.0,30.0,290.0,1.0,,90,0.8666666666666667,1669.6777777777777,
