threat_level,timeline,survival,ci_low,ci_high,n_sessions,n_events
0,0.0,1.0,1.0,1.0,6,0
0,30.0,1.0,1.0,1.0,6,0
1,0.0,1.0,1.0,1.0,6,0
1,22.0,1.0,1.0,1.0,6,0
1,23.0,1.0,1.0,1.0,6,0
1,30.0,1.0,1.0,1.0,6,0
2,0.0,1.0,1.0,1.0,6,2
2,10.0,0.8333333333333333,0.27312284992835606,0.9747124266908934,6,2
2,12.0,0.6666666666666666,0.19461663680623478,0.9044341643225163,6,2
2,30.0,0.6666666666666666,0.19461663680623478,0.9044341643225163,6,2
3,0.0,1.0,1.0,1.0,6,2
3,7.0,0.8333333333333333,0.27312284992835606,0.9747124266908934,6,2
3,10.0,0.6666666666666666,0.19461663680623478,0.9044341643225163,6,2
3,30.0,0.6666666666666666,0.19461663680623478,0.9044341643225163,6,2
4,0.0,1.0,1.0,1.0,6,1
4,28.0,0.8333333333333333,0.27312284992835606,0.9747124266908934,6,1
4,30.0,0.8333333333333333,0.27312284992835606,0.9747124266908934,6,1
