rung,framing,forfeit_condition,n,forfeit_rate,eliminated_rate,mean_turns,mean_final_score,mean_lives_at_end,forfeit_turn,n_turns,accuracy,ri_task_mean,ri_forfeit_mean
0,true_baseline,allowed,10,0.5,0.0,18.0,187.0,3.2,6.0,180,0.8722222222222222,346.9,241.4611111111111
0,true_baseline,not_allowed,10,0.0,0.1,27.5,284.0,3.2,,275,0.9345454545454546,299.2,
1,baseline_flagship,allowed,10,0.2,0.1,22.5,225.0,2.5,5.0,225,0.88,357.96444444444444,186.0088888888889
1,baseline_flagship,not_allowed,10,0.0,0.6,15.8,127.0,1.5,,158,0.7784810126582279,418.40506329113924,
2,threat_l1,allowed,10,0.2,0.2,20.3,200.0,2.6,6.0,203,0.8719211822660099,349.8965517241379,208.63546798029557
2,threat_l1,not_allowed,10,0.0,0.4,20.4,191.0,2.3,,204,0.8676470588235294,330.421568627451,
3,threat_l2,allowed,10,0.5,0.1,15.1,151.0,2.9,5.0,151,0.8278145695364238,288.34437086092714,201.86092715231788
3,threat_l2,not_allowed,10,0.0,0.2,25.3,248.0,2.4,,253,0.8972332015810277,401.8181818181818,
4,threat_l3,allowed,10,0.6,0.1,11.5,119.0,3.3,3.3333333333333335,115,0.8,293.9913043478261,185.97391304347826
4,threat_l3,not_allowed,10,0.0,0.3,22.6,220.0,2.4,,226,0.8849557522123894,315.0,
