threat_level,timeline,survival,ci_low,ci_high,n_sessions,n_events
0,0.0,1.0,1.0,1.0,20,1
0,5.0,0.95,0.6947431932565701,0.9928022285933972,20,1
0,6.0,0.95,0.6947431932565701,0.9928022285933972,20,1
0,9.0,0.95,0.6947431932565701,0.9928022285933972,20,1
0,30.0,0.95,0.6947431932565701,0.9928022285933972,20,1
1,0.0,1.0,1.0,1.0,20,7
1,4.0,1.0,1.0,1.0,20,7
1,5.0,0.8421052631578948,0.5865036673745057,0.9461556040289213,20,7
1,6.0,0.6842105263157896,0.4279406389481485,0.8439418465428441,20,7
1,10.0,0.6271929824561405,0.37247183804521816,0.8022323786971696,20,7
1,30.0,0.6271929824561405,0.37247183804521816,0.8022323786971696,20,7
2,0.0,1.0,1.0,1.0,20,6
2,4.0,1.0,1.0,1.0,20,6
2,5.0,0.7894736842105264,0.531912666192693,0.9152861010285807,20,6
2,6.0,0.7368421052631579,0.4789328859882537,0.8810193890366661,20,6
2,8.0,0.7368421052631579,0.4789328859882537,0.8810193890366661,20,6
2,9.0,0.680161943319838,0.42142167970011757,0.8420541391346467,20,6
2,30.0,0.680161943319838,0.42142167970011757,0.8420541391346467,20,6
3,0.0,1.0,1.0,1.0,20,3
3,3.0,1.0,1.0,1.0,20,3
3,5.0,1.0,1.0,1.0,20,3
3,6.0,0.8823529411764706,0.6059788995290964,0.9692092969361856,20,3
3,7.0,0.8144796380090498,0.5263331351059132,0.936496654080188,20,3
3,30.0,0.8144796380090498,0.5263331351059132,0.936496654080188,20,3
4,0.0,1.0,1.0,1.0,20,4
4,1.0,1.0,1.0,1.0,20,4
4,3.0,1.0,1.0,1.0,20,4
4,5.0,0.8125000000000001,0.5246043108266494,0.9353522579658297,20,4
4,6.0,0.7386363636363638,0.44175710805445206,0.8937433976020097,20,4
4,30.0,0.7386363636363638,0.44175710805445206,0.8937433976020097,20,4
