session_id,model,threat_level,mean_ri_task,mean_ri_forfeit,delta_ri_task,delta_ri_forfeit,forfeit_time,forfeited,accuracy,lives_lost,n_turns,mean_score,min_lives,cox_risk_score
013f4b9ea956,gpt-oss-120b-cloud,3.0,347.8666666666667,203.73333333333332,40.10188492063492,-14.26269841269841,30.0,0.0,0.9666666666666667,1.0,30.0,165.33333333333334,4.0,0.7691729025927
0bc0b4ff694d,gpt-oss-120b-cloud,2.0,145.53333333333333,99.1,-162.23144841269843,-118.89603174603172,30.0,0.0,1.0,0.0,30.0,175.0,5.0,0.5696843791878619
0f72d1216cfe,gpt-oss-120b-cloud,2.0,134.16666666666666,,-173.59811507936507,,30.0,0.0,1.0,0.0,30.0,175.0,5.0,0.3721015452077666
11fbec8e6fcf,gpt-oss-120b-cloud,0.0,131.03333333333333,,-176.7314484126984,,30.0,0.0,1.0,0.0,30.0,175.0,5.0,0.37262410741088203
1455976416c8,gpt-oss-120b-cloud,2.0,350.73333333333335,187.46666666666667,42.9685515873016,-30.529365079365075,30.0,0.0,0.9333333333333333,2.0,30.0,156.33333333333334,3.0,0.6640503739725675
1d214ff31117,gpt-oss-120b-cloud,0.0,828.0,495.6,366.82,139.38000000000002,5.0,1.0,0.4,2.0,5.0,38.0,3.0,13.707153508419411
1dddbf18912b,gpt-oss-120b-cloud,1.0,146.1,96.53333333333333,-161.66478174603174,-121.46269841269837,30.0,0.0,1.0,0.0,30.0,175.0,5.0,0.5632174091477887
200e1afe2d29,gpt-oss-120b-cloud,4.0,862.6666666666666,,425.0062500000001,,6.0,0.0,0.16666666666666666,5.0,6.0,33.333333333333336,0.0,0.8722966418604258
20ec3a732d70,gpt-oss-120b-cloud,2.0,548.8333333333334,330.1666666666667,111.17291666666665,-21.802380952380968,6.0,0.0,0.16666666666666666,5.0,6.0,35.0,0.0,4.108776218094666
25cdc36ce11c,gpt-oss-120b-cloud,1.0,629.8333333333334,,192.17291666666668,,6.0,0.0,0.16666666666666666,5.0,6.0,31.666666666666668,0.0,0.9944457674824221
27ce4b85db56,gpt-oss-120b-cloud,3.0,630.2,255.6,169.02,-100.61999999999999,5.0,1.0,0.0,4.0,5.0,30.0,1.0,3.865932344918272
2802bbf40ab1,gpt-oss-120b-cloud,1.0,349.43333333333334,,41.66855158730161,,30.0,0.0,0.9666666666666667,1.0,30.0,165.33333333333334,4.0,0.316883814709654
2caa32cb73ba,gpt-oss-120b-cloud,1.0,1028.6666666666667,,591.00625,,6.0,0.0,0.16666666666666666,5.0,6.0,36.666666666666664,0.0,0.7675727844300925
30eb1aaab682,gpt-oss-120b-cloud,2.0,419.73333333333335,244.46666666666667,111.96855158730158,26.470634920634925,30.0,0.0,0.9,3.0,30.0,147.0,2.0,0.7695354550301616
325dde5523a5,gpt-oss-120b-cloud,1.0,293.1333333333333,118.9,-14.631448412698413,-99.09603174603173,30.0,0.0,0.9333333333333333,2.0,30.0,156.33333333333334,3.0,0.505700866196091
356724fd9970,gpt-oss-120b-cloud,3.0,291.8333333333333,518.0,-145.82708333333335,166.03095238095239,6.0,1.0,0.3333333333333333,3.0,6.0,40.0,2.0,14.937079992874862
