session_id,model,threat_level,mean_ri_task,mean_ri_forfeit,delta_ri_task,delta_ri_forfeit,forfeit_time,forfeited,accuracy,lives_lost,n_turns,mean_score,min_lives,cox_risk_score
001bdc675f54,nemotron-3-nano-30b-cloud,1.0,271.3333333333333,1427.6666666666667,-24.575757575757553,1210.1666666666667,3.0,1.0,0.6666666666666666,0.0,3.0,72.33333333333333,-1.0,2.4688076620700006
002d2f037edc,gpt-oss-20b-cloud,2.0,191.06666666666666,489.06666666666666,-589.1372003427018,70.86398254511701,15.0,1.0,0.3333333333333333,0.0,15.0,186.6,-1.0,0.8375277386358472
004214693185,nemotron-3-nano-30b-cloud,0.0,248.86666666666667,,-52.644584228647304,,15.0,0.0,0.4,0.0,15.0,61.333333333333336,-1.0,0.8639530231957695
01004abdb566,qwen3-next-80b-cloud,2.0,2980.6666666666665,1264.4,193.68032685784766,-623.9590643274854,15.0,0.0,0.8666666666666667,0.0,15.0,464.26666666666665,-1.0,0.4199956452066192
010a3cdc7063,nemotron-3-nano-30b-cloud,1.0,192.26666666666668,108.06666666666666,-109.2445842286473,-143.94057794057795,15.0,0.0,0.06666666666666667,0.0,15.0,33.2,-1.0,1.036833197544235
015b3ee06a62,gpt-oss-20b-cloud,1.0,229.86666666666667,300.46666666666664,-550.3372003427017,-117.73601745488303,15.0,0.0,0.4,0.0,15.0,100.33333333333333,-1.0,0.958181511181726
01804f2d34ee,gemini-2.5-flash,0.0,2652.3333333333335,1785.8,966.1164030131825,578.38,15.0,0.0,0.8,0.0,15.0,75.33333333333333,-1.0,2.3448429159760917
020695cefc8a,nemotron-3-nano-30b-cloud,1.0,195.8,629.9333333333333,-105.71125089531395,377.92608872608866,15.0,0.0,0.0,0.0,15.0,30.0,-1.0,1.5594487484655897
0206aa7f022f,gemini-2.5-flash,0.0,1431.3333333333333,,-254.88359698681737,,15.0,0.0,0.9333333333333333,0.0,15.0,90.66666666666667,-1.0,0.6709686583022532
020ecd5be8d1,nemotron-3-nano-30b-cloud,2.0,146.0,566.2,-110.06724399002977,331.0147283272283,10.0,1.0,0.2,0.0,10.0,152.4,-1.0,0.9999274608197213
036073fb83ee,gemini-2.5-flash,0.0,1352.0,,-334.2169303201507,,15.0,0.0,0.8666666666666667,0.0,15.0,85.33333333333333,-1.0,0.6900374184794594
03af879b7d2e,gemini-2.5-flash,0.0,1524.0,,-162.2169303201507,,15.0,0.0,0.9333333333333333,0.0,15.0,90.66666666666667,-1.0,0.662796735616657
03e1a519b80f,nemotron-3-nano-30b-cloud,0.0,223.93333333333334,202.46666666666667,-77.57791756198064,-49.54057794057794,15.0,0.0,0.5333333333333333,0.0,15.0,62.0,-1.0,1.0093651628007458
04157997b168,qwen3-next-80b-cloud,2.0,3094.5333333333333,1287.4666666666667,307.5469935245143,-600.8923976608187,15.0,0.0,0.8,0.0,15.0,400.6,-1.0,0.5190902068838705
0471569f18eb,nemotron-3-nano-30b-cloud,1.0,219.26666666666668,114.73333333333333,-82.2445842286473,-137.2739112739113,15.0,0.0,0.13333333333333333,0.0,15.0,98.46666666666667,-1.0,0.8378906159276815
05434b45caab,gemini-2.5-flash,1.0,1867.8333333333333,1951.0,-79.45193032015072,696.3178160919539,6.0,1.0,0.6666666666666666,0.0,6.0,143.16666666666666,-1.0,2.360778507296794
064291cdafbb,gpt-oss-20b-cloud,2.0,1130.6666666666667,150.8,350.4627996572982,-267.40268412154967,15.0,0.0,0.3333333333333333,0.0,15.0,134.86666666666667,-1.0,0.6773716163714771
06d8e899f0a1,gemini-2.5-flash,2.0,2748.0,4205.0,1108.6,3787.366666666667,1.0,1.0,0.0,0.0,1.0,30.0,-1.0,17.014993574711593
06d93718c498,gpt-oss-20b-cloud,0.0,205.53333333333333,154.0,-574.6705336760351,-264.2026841215496,15.0,0.0,0.4,0.0,15.0,50.666666666666664,-1.0,1.0121110102506576
0733c7744bdc,qwen3-next-80b-cloud,2.0,3388.6666666666665,2218.0,-1254.0070921985814,28.84210526315792,3.0,1.0,0.6666666666666666,0.0,3.0,104.0,-1.0,2.692085474995956
074c87edf9e4,gemini-2.5-flash,2.0,1995.9333333333334,222.86666666666667,309.7164030131826,-984.5533333333334,15.0,0.0,0.8,0.0,15.0,403.8666666666667,-1.0,0.26361229285892074
07ba18db48a4,gemini-2.5-flash,1.0,1459.0,2891.0,-1048.5083333333334,2008.85,2.0,1.0,0.0,0.0,2.0,30.0,-1.0,7.405013190126935
085e23c67861,qwen3-next-80b-cloud,2.0,4193.0,4322.0,-471.9574468085102,2264.5789473684213,1.0,1.0,0.0,0.0,1.0,30.0,-1.0,15.367654986294301
08848cde6426,nemotron-3-nano-30b-cloud,2.0,132.4,103.6,-169.111250895314,-148.40724460724462,15.0,0.0,0.06666666666666667,0.0,15.0,41.2,-1.0,1.014485449081388
08bc51831c4a,gpt-oss-20b-cloud,0.0,805.4,,25.196132990631515,,15.0,0.0,0.13333333333333333,0.0,15.0,38.666666666666664,-1.0,0.8647466951236412
09840833d571,nemotron-3-nano-30b-cloud,1.0,175.33333333333334,93.26666666666667,-126.17791756198062,-158.74057794057796,15.0,0.0,0.06666666666666667,0.0,15.0,47.6,-1.0,0.9799852685729129
098f0f5cf224,gemini-2.5-flash,2.0,2201.4,399.8,515.1830696798493,-807.6200000000001,15.0,0.0,0.8,0.0,15.0,430.26666666666665,-1.0,0.269211585583964
09d598387f73,gpt-oss-20b-cloud,1.0,1122.0,544.0,715.5166666666667,269.8,1.0,1.0,0.0,0.0,1.0,30.0,-1.0,1.292138616692397
0a40bfd74af8,nemotron-3-nano-30b-cloud,2.0,161.46666666666667,93.6,-140.0445842286473,-158.40724460724462,15.0,0.0,0.0,0.0,15.0,30.0,-1.0,1.0405272149193883
0a50d2fe3938,qwen3-next-80b-cloud,1.0,4220.533333333334,907.0666666666667,1433.5469935245142,-981.2923976608188,15.0,0.0,0.9333333333333333,0.0,15.0,539.6,-1.0,0.2118855326584766
0adbcb248627,gpt-oss-20b-cloud,2.0,193.4,93.73333333333333,-586.8038670093684,-324.46935078821633,15.0,0.0,0.2,0.0,15.0,157.6,-1.0,0.6812276052799723
0b4bc8574a13,qwen3-next-80b-cloud,2.0,3585.0,6526.0,-1079.9574468085102,4468.578947368422,1.0,1.0,0.0,0.0,1.0,30.0,-1.0,89.47865934937454
0b850c1abd66,qwen3-next-80b-cloud,2.0,6184.0,2314.0,1519.0425531914898,256.57894736842127,1.0,1.0,0.0,0.0,1.0,30.0,-1.0,2.5527321599863018
0be3e4e3d500,qwen3-next-80b-cloud,2.0,854.7333333333333,648.4,-1932.2530064754858,-1239.9590643274857,15.0,0.0,1.0,0.0,15.0,654.0666666666667,-1.0,0.1863294696867732
0c310a26255d,qwen3-next-80b-cloud,2.0,4608.0,3234.3333333333335,-34.673758865248,1045.1754385964912,3.0,1.0,0.3333333333333333,0.0,3.0,45.666666666666664,-1.0,6.026410024557304
0c3be5bf01ff,nemotron-3-nano-30b-cloud,1.0,334.6666666666667,1138.0,38.75757575757578,920.5,3.0,1.0,0.3333333333333333,0.0,3.0,56.0,-1.0,2.0710994544877837
0c45d10d95c1,gpt-oss-20b-cloud,0.0,977.7333333333333,756.6666666666666,197.52946632396487,338.463982545117,15.0,0.0,0.2,0.0,15.0,39.333333333333336,-1.0,1.5021965068218581
0c85e409faf7,gemini-2.5-flash,1.0,1466.5555555555557,2295.5555555555557,-287.5837727558067,1002.0624521072797,9.0,1.0,0.6666666666666666,0.0,9.0,204.55555555555554,-1.0,2.64612269679232
0cb89f28ef2e,qwen3-next-80b-cloud,1.0,1633.0,2056.0,-2803.3063829787234,-82.04210526315792,5.0,1.0,0.8,0.0,5.0,160.2,-1.0,2.49465585256207
0cc198b88bf6,gemini-2.5-flash,1.0,1742.6666666666667,725.6666666666666,56.44973634651595,-481.75333333333333,15.0,0.0,0.9333333333333333,0.0,15.0,512.9333333333333,-1.0,0.2794979940036885
0ce3ea2d6d5b,gpt-oss-20b-cloud,2.0,283.0,544.0,-121.78185028248588,224.7603448275862,4.0,1.0,0.75,0.0,4.0,163.5,-1.0,0.93089005956688
0d319daeee93,gemini-2.5-flash,1.0,1507.857142857143,3087.8571428571427,-357.8522598870056,1802.6320197044333,7.0,1.0,0.7142857142857143,0.0,7.0,220.71428571428572,-1.0,4.567319114827682
