session_id,model,threat_level,mean_ri_task,mean_ri_forfeit,delta_ri_task,delta_ri_forfeit,forfeit_time,forfeited,accuracy,lives_lost,n_turns,mean_score,min_lives,cox_risk_score
001bdc675f54,nemotron-3-nano-30b-cloud,1.0,271.3333333333333,1427.6666666666667,-24.575757575757553,1210.1666666666667,3.0,1.0,0.6666666666666666,0.0,3.0,72.33333333333333,-1.0,36.646606086716325
004214693185,nemotron-3-nano-30b-cloud,0.0,248.86666666666667,,-52.644584228647304,,15.0,0.0,0.4,0.0,15.0,61.333333333333336,-1.0,0.46198072694097925
010a3cdc7063,nemotron-3-nano-30b-cloud,1.0,192.26666666666668,108.06666666666666,-109.2445842286473,-143.94057794057795,15.0,0.0,0.06666666666666667,0.0,15.0,33.2,-1.0,0.683646779937308
020695cefc8a,nemotron-3-nano-30b-cloud,1.0,195.8,629.9333333333333,-105.71125089531395,377.92608872608866,15.0,0.0,0.0,0.0,15.0,30.0,-1.0,3.434963293797771
020ecd5be8d1,nemotron-3-nano-30b-cloud,2.0,146.0,566.2,-110.06724399002977,331.0147283272283,10.0,1.0,0.2,0.0,10.0,152.4,-1.0,2.153542832762281
03e1a519b80f,nemotron-3-nano-30b-cloud,0.0,223.93333333333334,202.46666666666667,-77.57791756198064,-49.54057794057794,15.0,0.0,0.5333333333333333,0.0,15.0,62.0,-1.0,0.8595840244499149
0471569f18eb,nemotron-3-nano-30b-cloud,1.0,219.26666666666668,114.73333333333333,-82.2445842286473,-137.2739112739113,15.0,0.0,0.13333333333333333,0.0,15.0,98.46666666666667,-1.0,0.605527638513637
08848cde6426,nemotron-3-nano-30b-cloud,2.0,132.4,103.6,-169.111250895314,-148.40724460724462,15.0,0.0,0.06666666666666667,0.0,15.0,41.2,-1.0,0.6607868262547183
09840833d571,nemotron-3-nano-30b-cloud,1.0,175.33333333333334,93.26666666666667,-126.17791756198062,-158.74057794057796,15.0,0.0,0.06666666666666667,0.0,15.0,47.6,-1.0,0.6324009340814609
0a40bfd74af8,nemotron-3-nano-30b-cloud,2.0,161.46666666666667,93.6,-140.0445842286473,-158.40724460724462,15.0,0.0,0.0,0.0,15.0,30.0,-1.0,0.6575422853348146
0c3be5bf01ff,nemotron-3-nano-30b-cloud,1.0,334.6666666666667,1138.0,38.75757575757578,920.5,3.0,1.0,0.3333333333333333,0.0,3.0,56.0,-1.0,15.610502114890371
0f1978c525a4,nemotron-3-nano-30b-cloud,0.0,463.26666666666665,,161.7554157713527,,15.0,0.0,0.8,0.0,15.0,80.66666666666667,-1.0,0.44713342612176254
11c4f610a3d7,nemotron-3-nano-30b-cloud,2.0,145.375,594.0,-102.00469871672702,364.9386828449328,8.0,1.0,0.25,0.0,8.0,138.5,-1.0,2.4185654544425046
12910deb0623,nemotron-3-nano-30b-cloud,0.0,160.73333333333332,227.6,-140.77791756198064,-24.407244607244614,15.0,0.0,0.0,0.0,15.0,30.0,-1.0,0.9934096230741593
1295bc5cd806,nemotron-3-nano-30b-cloud,0.0,213.46666666666667,329.4,-88.04458422864731,77.39275539275538,15.0,0.0,0.13333333333333333,0.0,15.0,48.0,-1.0,1.309726319309382
1371a9318db0,nemotron-3-nano-30b-cloud,1.0,259.2,455.8,4.867744107744119,220.23835978835982,5.0,1.0,0.6,0.0,5.0,172.0,-1.0,1.4759267210636644
14b794b623f1,nemotron-3-nano-30b-cloud,1.0,309.6666666666667,85.8,8.155415771352693,-166.20724460724463,15.0,0.0,0.13333333333333333,0.0,15.0,157.6,-1.0,0.48855260016010166
15e4010f4bf2,nemotron-3-nano-30b-cloud,1.0,227.85714285714286,895.7142857142857,-20.816690716690708,660.2760770975057,7.0,1.0,0.0,0.0,7.0,30.0,-1.0,7.798727704092879
16e7e1971344,nemotron-3-nano-30b-cloud,1.0,170.46666666666667,82.2,-131.0445842286473,-169.80724460724463,15.0,0.0,0.6666666666666666,0.0,15.0,341.93333333333334,-1.0,0.3205058386353761
173ec316ae9c,nemotron-3-nano-30b-cloud,1.0,205.375,565.0,-42.004698716727006,335.9386828449328,8.0,1.0,0.0,0.0,8.0,30.0,-1.0,2.8136182867685093
19e76bbb44bd,nemotron-3-nano-30b-cloud,0.0,165.88888888888889,267.77777777777777,-84.87210116539258,36.539512956179614,9.0,1.0,0.0,0.0,9.0,30.0,-1.0,1.1245166880794202
1ab181ea140d,nemotron-3-nano-30b-cloud,2.0,369.3333333333333,661.3333333333334,73.42424242424245,443.8333333333333,3.0,1.0,0.0,0.0,3.0,30.0,-1.0,3.8136041294545806
1b7cb1f1bc14,nemotron-3-nano-30b-cloud,0.0,170.0,,-131.51125089531396,,15.0,0.0,0.06666666666666667,0.0,15.0,34.666666666666664,-1.0,0.4880477516368576
1c725028741f,nemotron-3-nano-30b-cloud,0.0,170.13333333333333,184.53333333333333,-131.37791756198064,-67.47391127391127,15.0,0.0,0.06666666666666667,0.0,15.0,34.666666666666664,-1.0,0.8615295427865208
1c999111a4d7,nemotron-3-nano-30b-cloud,0.0,169.06666666666666,276.6666666666667,-132.4445842286473,24.65942205942206,15.0,0.0,0.6,0.0,15.0,74.0,-1.0,1.0495928907843468
1cac4501fe7c,nemotron-3-nano-30b-cloud,0.0,192.73333333333332,,-108.77791756198063,,15.0,0.0,0.6666666666666666,0.0,15.0,72.66666666666667,-1.0,0.44949721499139933
20fe596c0580,nemotron-3-nano-30b-cloud,0.0,263.4,,-38.11125089531397,,15.0,0.0,0.6,0.0,15.0,67.33333333333333,-1.0,0.4562437807732578
21aa9ec7fc73,nemotron-3-nano-30b-cloud,2.0,133.4,87.2,-168.11125089531396,-164.80724460724463,15.0,0.0,1.0,0.0,15.0,659.2666666666667,-1.0,0.16204420338621126
22e96e8a7bd1,nemotron-3-nano-30b-cloud,1.0,150.93333333333334,82.2,-150.57791756198063,-169.80724460724463,15.0,0.0,0.13333333333333333,0.0,15.0,170.93333333333334,-1.0,0.46588075129067363
24bb21d528e2,nemotron-3-nano-30b-cloud,2.0,184.4,111.4,-117.11125089531397,-140.6072446072446,15.0,0.0,0.2,0.0,15.0,190.13333333333333,-1.0,0.48944692862913675
267f17713c51,nemotron-3-nano-30b-cloud,2.0,455.0,541.0,84.78181818181821,328.6071428571429,1.0,1.0,0.0,0.0,1.0,30.0,-1.0,2.642908268990274
26ebc3d91a46,nemotron-3-nano-30b-cloud,1.0,269.0,630.0,-26.90909090909089,412.5,3.0,1.0,0.0,0.0,3.0,30.0,-1.0,3.4470913278202717
28bc5b91fbf6,nemotron-3-nano-30b-cloud,0.0,155.73333333333332,,-145.77791756198064,,15.0,0.0,0.0,0.0,15.0,30.0,-1.0,0.4927480217569579
291ebf1580bf,nemotron-3-nano-30b-cloud,1.0,178.26666666666668,110.53333333333333,-123.2445842286473,-141.47391127391128,15.0,0.0,0.8,0.0,15.0,378.1333333333333,-1.0,0.3231581205012403
2a5f15a25f94,nemotron-3-nano-30b-cloud,0.0,155.73333333333332,,-145.77791756198064,,15.0,0.0,0.0,0.0,15.0,30.0,-1.0,0.4927480217569579
2ab3b707e722,nemotron-3-nano-30b-cloud,1.0,317.8,580.6,63.46774410774411,345.0383597883598,5.0,1.0,0.4,0.0,5.0,122.4,-1.0,2.423046001444458
2bc5e64d602f,nemotron-3-nano-30b-cloud,0.0,446.93333333333334,,145.42208243801934,,15.0,0.0,0.2,0.0,15.0,48.666666666666664,-1.0,0.4792756651665436
2bdf09ebb81f,nemotron-3-nano-30b-cloud,0.0,256.8,,-44.71125089531397,,15.0,0.0,0.5333333333333333,0.0,15.0,62.0,-1.0,0.46147194071262837
2cd7df887ddf,nemotron-3-nano-30b-cloud,2.0,207.8,103.46666666666667,-93.71125089531397,-148.54057794057795,15.0,0.0,0.6666666666666666,0.0,15.0,342.2,-1.0,0.3425787867956003
2da094a793c0,nemotron-3-nano-30b-cloud,1.0,132.6,118.4,-168.91125089531397,-133.6072446072446,15.0,0.0,0.3333333333333333,0.0,15.0,237.13333333333333,-1.0,0.4500855279573929
