rung,framing,forfeit_condition,n,forfeit_rate,eliminated_rate,mean_turns,mean_final_score,mean_lives_at_end,forfeit_turn,n_turns,accuracy,ri_task_mean,ri_forfeit_mean
0,true_baseline,allowed,10,0.0,0.3,23.0,214.0,1.8,,230,0.8608695652173913,239.41921397379912,112.05652173913043
0,true_baseline,not_allowed,10,0.0,0.2,25.6,250.0,2.6,,256,0.90625,163.37549407114625,
1,baseline_flagship,allowed,10,0.0,0.2,25.9,248.0,2.4,,259,0.8996138996138996,194.2007722007722,104.87644787644787
1,baseline_flagship,not_allowed,10,0.0,0.2,25.5,250.0,2.6,,255,0.9058823529411765,144.7843137254902,
2,threat_l1,allowed,10,0.1,0.1,25.3,250.0,2.4,5.0,253,0.8932806324110671,175.20553359683794,121.31225296442688
2,threat_l1,not_allowed,10,0.0,0.5,19.0,153.0,1.3,,190,0.8052631578947368,290.0736842105263,
3,threat_l2,allowed,10,0.3,0.1,20.1,196.0,2.4,4.333333333333333,201,0.8557213930348259,319.76616915422886,164.96517412935324
3,threat_l2,not_allowed,10,0.0,0.1,28.0,280.0,2.8,,280,0.9214285714285714,153.10357142857143,
4,threat_l3,allowed,10,0.0,0.2,25.6,246.0,2.2,,256,0.890625,293.55078125,139.98828125
4,threat_l3,not_allowed,10,0.0,0.1,27.8,281.0,2.9,,278,0.9244604316546763,163.16906474820144,
