threat_level,timeline,survival,ci_low,ci_high,n_sessions,n_events
0,0.0,1.0,1.0,1.0,20,5
0,5.0,0.95,0.6947431932565701,0.9928022285933972,20,5
0,6.0,0.9,0.6560307072615666,0.974010174395775,20,5
0,7.0,0.8500000000000002,0.6037896992202991,0.9489961097937943,20,5
0,8.0,0.8,0.5511455642807276,0.9198179135884563,20,5
0,10.0,0.7500000000000001,0.49994390796575194,0.8874709189158879,20,5
0,30.0,0.7500000000000001,0.49994390796575194,0.8874709189158879,20,5
1,0.0,1.0,1.0,1.0,20,4
1,5.0,0.95,0.6947431932565701,0.9928022285933972,20,4
1,9.0,0.9,0.6560307072615666,0.974010174395775,20,4
1,10.0,0.8,0.5511455642807276,0.9198179135884563,20,4
1,30.0,0.8,0.5511455642807276,0.9198179135884563,20,4
2,0.0,1.0,1.0,1.0,20,6
2,5.0,1.0,1.0,1.0,20,6
2,7.0,0.8947368421052634,0.6407943545053867,0.9725853905614296,20,6
2,8.0,0.7894736842105264,0.531912666192693,0.9152861010285807,20,6
2,9.0,0.6842105263157896,0.4279406389481485,0.8439418465428441,20,6
2,30.0,0.6842105263157896,0.4279406389481485,0.8439418465428441,20,6
3,0.0,1.0,1.0,1.0,20,2
3,2.0,1.0,1.0,1.0,20,2
3,5.0,1.0,1.0,1.0,20,2
3,6.0,1.0,1.0,1.0,20,2
3,8.0,0.9411764705882352,0.6501789018555798,0.9914991055661495,20,2
3,10.0,0.8823529411764706,0.6059788995290964,0.9692092969361856,20,2
3,30.0,0.8823529411764706,0.6059788995290964,0.9692092969361856,20,2
4,0.0,1.0,1.0,1.0,20,3
4,6.0,0.95,0.6947431932565701,0.9928022285933972,20,3
4,8.0,0.9,0.6560307072615666,0.974010174395775,20,3
4,10.0,0.8500000000000002,0.6037896992202991,0.9489961097937943,20,3
4,30.0,0.8500000000000002,0.6037896992202991,0.9489961097937943,20,3
