rung,framing,forfeit_condition,n,forfeit_rate,eliminated_rate,mean_turns,mean_final_score,mean_lives_at_end,forfeit_turn,n_turns,accuracy,ri_task_mean,ri_forfeit_mean
0,true_baseline,allowed,10,0.5,0.0,21.8,227.0,3.4,13.6,218,0.9036697247706422,1590.1834862385322,1154.467889908257
0,true_baseline,not_allowed,10,0.0,0.0,30.0,315.0,3.5,,300,0.95,1628.3833333333334,
1,baseline_flagship,allowed,10,0.1,0.0,29.1,305.0,3.5,21.0,291,0.9450171821305842,1671.274914089347,1273.7388316151203
1,baseline_flagship,not_allowed,10,0.0,0.0,30.0,313.0,3.3,,300,0.9433333333333334,1597.02,
2,threat_l1,allowed,10,0.2,0.0,25.4,266.0,3.4,7.0,254,0.9291338582677166,2322.165354330709,1394.208661417323
2,threat_l1,not_allowed,10,0.0,0.0,30.0,311.0,3.1,,300,0.9366666666666666,2183.69,
3,threat_l2,allowed,10,0.4,0.0,22.3,232.0,3.3,10.75,223,0.905829596412556,2348.95067264574,1516.6188340807175
3,threat_l2,not_allowed,10,0.0,0.0,30.0,316.0,3.6,,300,0.9533333333333334,1913.7833333333333,
4,threat_l3,allowed,10,0.6,0.0,17.2,180.0,3.4,8.666666666666666,172,0.872093023255814,2193.5872093023254,1437.4186046511627
4,threat_l3,not_allowed,10,0.0,0.0,30.0,312.0,3.2,,300,0.94,2123.1,
