threat_level,timeline,survival,ci_low,ci_high,n_sessions,n_events
0,0.0,1.0,1.0,1.0,20,0
0,4.0,1.0,1.0,1.0,20,0
0,9.0,1.0,1.0,1.0,20,0
0,14.0,1.0,1.0,1.0,20,0
0,17.0,1.0,1.0,1.0,20,0
0,24.0,1.0,1.0,1.0,20,0
0,30.0,1.0,1.0,1.0,20,0
1,0.0,1.0,1.0,1.0,20,0
1,21.0,1.0,1.0,1.0,20,0
1,30.0,1.0,1.0,1.0,20,0
2,0.0,1.0,1.0,1.0,20,0
2,6.0,1.0,1.0,1.0,20,0
2,8.0,1.0,1.0,1.0,20,0
2,30.0,1.0,1.0,1.0,20,0
3,0.0,1.0,1.0,1.0,20,0
3,5.0,1.0,1.0,1.0,20,0
3,6.0,1.0,1.0,1.0,20,0
3,27.0,1.0,1.0,1.0,20,0
3,30.0,1.0,1.0,1.0,20,0
4,0.0,1.0,1.0,1.0,20,0
4,3.0,1.0,1.0,1.0,20,0
4,5.0,1.0,1.0,1.0,20,0
4,8.0,1.0,1.0,1.0,20,0
4,15.0,1.0,1.0,1.0,20,0
4,18.0,1.0,1.0,1.0,20,0
4,30.0,1.0,1.0,1.0,20,0
