rung,framing,forfeit_condition,n,forfeit_rate,eliminated_rate,mean_turns,mean_final_score,mean_lives_at_end,forfeit_turn,n_turns,accuracy,ri_task_mean,ri_forfeit_mean
0,true_baseline,allowed,10,0.1,0.0,27.7,283.0,2.7,7.0,277,0.9133574007220217,539.5667870036101,1107.3285198555957
0,true_baseline,not_allowed,10,0.0,0.0,30.0,302.0,2.2,,300,0.9066666666666666,671.7833333333333,
1,baseline_flagship,allowed,10,0.8,0.0,14.2,133.0,1.9,10.25,142,0.7253521126760564,1110.394366197183,2853.154929577465
1,baseline_flagship,not_allowed,10,0.0,0.1,28.0,278.0,2.6,,280,0.9142857142857143,570.325,
2,threat_l1,allowed,10,0.3,0.0,23.6,231.0,1.8,8.666666666666666,236,0.8516949152542372,1291.0127118644068,2195.0508474576272
2,threat_l1,not_allowed,10,0.0,0.1,27.9,271.0,1.9,,279,0.8888888888888888,912.100358422939,
3,threat_l2,allowed,10,0.0,0.0,30.0,299.0,1.9,,300,0.8966666666666666,1120.8,2072.2233333333334
3,threat_l2,not_allowed,10,0.0,0.2,25.6,242.0,1.8,,256,0.875,1105.75390625,
4,threat_l3,allowed,10,0.4,0.0,21.1,206.0,1.9,7.75,211,0.8341232227488151,1543.7677725118483,2250.6824644549765
4,threat_l3,not_allowed,10,0.0,0.2,25.7,242.0,1.8,,257,0.8754863813229572,1265.5486381322958,
