session_id,model,threat_level,mean_ri_task,mean_ri_forfeit,delta_ri_task,delta_ri_forfeit,forfeit_time,forfeited,accuracy,lives_lost,n_turns,mean_score,min_lives,cox_risk_score
066c2c0fcb42,glm-5.3-flash,1.0,650.6333333333333,,56.17315789473684,,30.0,0.0,0.9333333333333333,2.0,30.0,156.33333333333334,3.0,0.3464348071825559
0b0df8ff7980,glm-5.3-flash,2.0,4174.857142857143,,2438.7571428571428,,7.0,0.0,0.2857142857142857,5.0,7.0,41.42857142857143,0.0,6.248629886036132
0d7fe0b35f21,glm-5.3-flash,1.0,5409.5,4731.0,4044.303684210526,2778.5666666666666,10.0,1.0,0.5,4.0,10.0,52.0,1.0,53.385325693542434
10b91da72f7d,glm-5.3-flash,1.0,755.6666666666666,,161.20649122807015,,30.0,0.0,0.9333333333333333,2.0,30.0,156.33333333333334,3.0,0.3580575091971473
122caedbb5af,glm-5.3-flash,0.0,784.6666666666666,1708.1,190.2064912280702,632.5962962962963,30.0,0.0,0.8666666666666667,4.0,30.0,140.0,1.0,0.9636773663027901
191681faaf9b,glm-5.3-flash,3.0,5207.285714285715,4385.142857142857,3471.185714285714,2050.285714285714,7.0,1.0,0.42857142857142855,3.0,7.0,44.285714285714285,2.0,47.96765603380219
1b88a69330a3,glm-5.3-flash,0.0,583.5666666666667,,-10.893508771929808,,30.0,0.0,0.9666666666666667,1.0,30.0,166.0,4.0,0.2879582833281727
1d7928460b26,glm-5.3-flash,3.0,869.7,1515.0333333333333,275.2398245614035,439.52962962962954,30.0,0.0,0.9,3.0,30.0,148.33333333333334,2.0,0.7921818695619287
1ea9c9770d14,glm-5.3-flash,1.0,1113.0666666666666,2292.4333333333334,518.6064912280701,1216.9296296296295,30.0,0.0,0.8666666666666667,4.0,30.0,140.0,1.0,1.3568097457026433
230dac921a98,glm-5.3-flash,1.0,937.5666666666667,,343.10649122807007,,30.0,0.0,0.9,3.0,30.0,148.0,2.0,0.4377157936631361
2310205bbda1,glm-5.3-flash,1.0,896.3,1683.2,301.8398245614035,607.6962962962964,30.0,0.0,0.9,3.0,30.0,148.0,2.0,0.8600056576262164
2be19a692af8,glm-5.3-flash,0.0,2776.4285714285716,3786.4285714285716,1040.3285714285714,1451.5714285714287,7.0,1.0,0.2857142857142857,4.0,7.0,41.42857142857143,1.0,18.601135067392292
2f897537c271,glm-5.3-flash,2.0,812.6,,218.13982456140354,,30.0,0.0,0.9,3.0,30.0,148.0,2.0,0.4208633897675187
30b6ea323b1c,glm-5.3-flash,2.0,712.9,1399.3666666666666,118.43982456140353,323.8629629629629,30.0,0.0,0.9,3.0,30.0,148.33333333333334,2.0,0.7192629663215493
31a5d62a87ec,glm-5.3-flash,3.0,4084.0,,2347.899999999999,,7.0,0.0,0.2857142857142857,5.0,7.0,41.42857142857143,0.0,6.072783591728406
3607179f0df1,glm-5.3-flash,2.0,361.53333333333336,,-232.92684210526315,,30.0,0.0,1.0,0.0,30.0,175.0,5.0,0.2302786554918253
36e1ef9ad68b,glm-5.3-flash,0.0,897.3,,302.8398245614035,,30.0,0.0,0.8666666666666667,4.0,30.0,138.66666666666666,1.0,0.5065925948708129
3c5913eb8a2f,glm-5.3-flash,3.0,1307.7,,713.2398245614036,,30.0,0.0,0.9,3.0,30.0,148.0,2.0,0.49169414237726755
3decf78b5624,glm-5.3-flash,2.0,813.1,1594.2666666666667,218.63982456140351,518.7629629629629,30.0,0.0,0.9333333333333333,2.0,30.0,156.33333333333334,3.0,0.6997360556151562
41a52f9f2374,glm-5.3-flash,0.0,659.7666666666667,,65.30649122807019,,30.0,0.0,0.9,3.0,30.0,148.0,2.0,0.40113246754838616
466df0a7ef9c,glm-5.3-flash,3.0,1260.4,2353.9666666666667,665.9398245614034,1278.462962962963,30.0,0.0,0.8666666666666667,4.0,30.0,140.0,1.0,1.4573044304538632
46bf44fc73f6,glm-5.3-flash,2.0,4142.444444444444,,2676.711695906433,,9.0,0.0,0.4444444444444444,5.0,9.0,46.666666666666664,0.0,5.716121064727629
4a59fda36039,glm-5.3-flash,3.0,897.3666666666667,2010.5666666666666,302.90649122807014,935.0629629629632,30.0,0.0,0.9,3.0,30.0,148.0,2.0,0.9835304962001948
4be832903ea5,glm-5.3-flash,0.0,791.2666666666667,1286.8,196.80649122807026,211.29629629629625,30.0,0.0,0.9,3.0,30.0,148.0,2.0,0.7075686815537781
4f50b408f36f,glm-5.3-flash,3.0,831.3,,236.83982456140353,,30.0,0.0,0.9,3.0,30.0,148.0,2.0,0.42334327873844635
571b66c3b0b7,glm-5.3-flash,2.0,967.7,,373.2398245614034,,30.0,0.0,0.9,3.0,30.0,148.33333333333334,2.0,0.43966664839238995
5a4d56379e4e,glm-5.3-flash,1.0,794.7666666666667,,200.30649122807017,,30.0,0.0,0.9,3.0,30.0,148.0,2.0,0.4185119670631821
5db89acf4a01,glm-5.3-flash,1.0,564.3666666666667,,-30.093508771929827,,30.0,0.0,0.9,3.0,30.0,148.0,2.0,0.38928795698586227
5f7501fd73dd,glm-5.3-flash,2.0,733.5,,139.03982456140344,,30.0,0.0,0.9333333333333333,2.0,30.0,156.33333333333334,3.0,0.3555725750340911
6773d51f280b,glm-5.3-flash,3.0,577.9666666666667,,-16.493508771929825,,30.0,0.0,0.9333333333333333,2.0,30.0,156.33333333333334,3.0,0.33861525668475273
68d4c87be79c,glm-5.3-flash,0.0,601.7666666666667,,7.306491228070159,,30.0,0.0,0.9,3.0,30.0,148.0,2.0,0.3938891418922716
6bd403435052,glm-5.3-flash,2.0,1197.7333333333333,1550.5333333333333,603.2731578947369,475.02962962962954,30.0,0.0,0.9,3.0,30.0,148.0,2.0,0.8955059814137231
80baf1fde4e6,glm-5.3-flash,3.0,1358.8,,764.3398245614036,,30.0,0.0,0.9,3.0,30.0,148.0,2.0,0.4996517013116366
868c65e50158,glm-5.3-flash,0.0,932.4,,337.9398245614035,,30.0,0.0,0.8666666666666667,4.0,30.0,140.0,1.0,0.5020270456952683
897e0ec41861,glm-5.3-flash,0.0,109.13333333333334,510.3666666666667,-485.3268421052632,-565.1370370370371,30.0,0.0,1.0,0.0,30.0,175.0,5.0,0.2620940337474916
8ee41de795f5,glm-5.3-flash,3.0,361.1666666666667,1038.4333333333334,-233.29350877192982,-37.07037037037035,30.0,0.0,1.0,0.0,30.0,175.0,5.0,0.3520720200595669
8fd5dd07d054,glm-5.3-flash,1.0,754.9,1943.4666666666667,160.4398245614035,867.9629629629629,30.0,0.0,0.9333333333333333,2.0,30.0,156.33333333333334,3.0,0.7925228317750893
9218ee1ef13a,glm-5.3-flash,3.0,468.96666666666664,,-125.49350877192987,,30.0,0.0,1.0,0.0,30.0,175.0,5.0,0.23818390925061583
9338c94f4d5c,glm-5.3-flash,2.0,981.4,2108.4,386.9398245614035,1032.8962962962964,30.0,0.0,0.8666666666666667,4.0,30.0,140.66666666666666,1.0,1.1953870413810332
971554be9814,glm-5.3-flash,0.0,582.6666666666666,,-11.793508771929826,,30.0,0.0,0.9333333333333333,2.0,30.0,156.33333333333334,3.0,0.3391156346328537
976a8d6ee1cc,glm-5.3-flash,2.0,1466.7,1973.3,872.2398245614035,897.7962962962963,30.0,0.0,0.9,3.0,30.0,148.0,2.0,1.1583821138523096
9a279226c2a6,glm-5.3-flash,1.0,2909.3333333333335,,1443.6005847953218,,9.0,0.0,0.4444444444444444,5.0,9.0,46.666666666666664,0.0,3.8801602029983506
9b0dd2ed2b3d,glm-5.3-flash,1.0,446.8,,-147.6601754385965,,30.0,0.0,0.9333333333333333,2.0,30.0,156.33333333333334,3.0,0.32494472778749167
9ba9ca766e6c,glm-5.3-flash,3.0,5105.5,3456.75,3502.6493421052633,1263.5138888888887,8.0,1.0,0.375,4.0,8.0,45.0,1.0,32.019769279377314
9be27e50d6d9,glm-5.3-flash,2.0,885.8666666666667,,291.40649122807014,,30.0,0.0,0.9,3.0,30.0,148.0,2.0,0.43066344898500103
9fc91a495891,glm-5.3-flash,0.0,194.33333333333334,474.1,-400.12684210526317,-601.4037037037036,30.0,0.0,1.0,0.0,30.0,175.0,5.0,0.2652413378770485
a222a22755b9,glm-5.3-flash,3.0,4166.9,,2801.7036842105263,,10.0,0.0,0.5,5.0,10.0,52.0,0.0,5.315626965252751
a31a7898d601,glm-5.3-flash,2.0,1128.3333333333333,,533.8731578947368,,30.0,0.0,0.8666666666666667,4.0,30.0,140.0,1.0,0.5339016030104377
a51455871a41,glm-5.3-flash,2.0,1127.5,2850.266666666667,533.0398245614035,1774.7629629629628,30.0,0.0,0.8666666666666667,4.0,30.0,140.0,1.0,1.7122242197183026
af86c51a85b1,glm-5.3-flash,1.0,1127.7333333333333,2493.0,533.2731578947366,1417.4962962962961,30.0,0.0,0.8666666666666667,4.0,30.0,140.0,1.0,1.47958933318478
b025d9270385,glm-5.3-flash,2.0,1292.7333333333333,1915.8333333333333,698.2731578947368,840.3296296296297,30.0,0.0,0.9,3.0,30.0,148.0,2.0,1.0712942579420583
b14db8db636b,glm-5.3-flash,2.0,1334.1666666666667,2838.133333333333,739.70649122807,1762.6296296296298,30.0,0.0,0.8666666666666667,4.0,30.0,140.66666666666666,1.0,1.7998813659591162
b26d7163baac,glm-5.3-flash,0.0,365.03333333333336,,-229.42684210526315,,30.0,0.0,0.9666666666666667,1.0,30.0,165.33333333333334,4.0,0.2715640518972949
b27a8501bc14,glm-5.3-flash,1.0,4819.571428571428,4271.428571428572,3083.471428571429,1936.5714285714287,7.0,1.0,0.2857142857142857,4.0,7.0,41.42857142857143,1.0,43.09758285346412
b2a3cec80c4a,glm-5.3-flash,2.0,977.7333333333333,,383.2731578947368,,30.0,0.0,0.9,3.0,30.0,148.0,2.0,0.4432745067323935
bbd3d0aeb602,glm-5.3-flash,0.0,260.43333333333334,775.2666666666667,-334.0268421052632,-300.23703703703706,30.0,0.0,0.9333333333333333,2.0,30.0,156.33333333333334,3.0,0.4207940916261589
be48562d5089,glm-5.3-flash,1.0,565.6333333333333,1673.0666666666666,-28.826842105263157,597.5629629629631,30.0,0.0,0.9333333333333333,2.0,30.0,156.33333333333334,3.0,0.6685959156865171
c0d9729ada48,glm-5.3-flash,0.0,445.93333333333334,932.4333333333333,-148.52684210526314,-143.07037037037034,30.0,0.0,0.9666666666666667,1.0,30.0,165.33333333333334,4.0,0.4078615052644152
c4458fdac12d,glm-5.3-flash,0.0,759.5,1633.5,165.03982456140355,557.9962962962964,30.0,0.0,0.9,3.0,30.0,148.0,2.0,0.807251426778436
c649a39bd314,glm-5.3-flash,1.0,846.9333333333333,,252.47315789473686,,30.0,0.0,0.9,3.0,30.0,148.0,2.0,0.4254276944361747
c81060af0392,glm-5.3-flash,3.0,1084.8,1412.1666666666667,490.3398245614034,336.6629629629629,30.0,0.0,0.9333333333333333,2.0,30.0,156.33333333333334,3.0,0.7073999305353457
cc1a57d82c3b,glm-5.3-flash,1.0,727.1333333333333,1266.1666666666667,132.67315789473682,190.66296296296298,30.0,0.0,0.9,3.0,30.0,148.33333333333334,2.0,0.6841844146983779
cc1bfcb9092d,glm-5.3-flash,3.0,872.7333333333333,,278.27315789473687,,30.0,0.0,0.9,3.0,30.0,148.0,2.0,0.42889011556824036
cf868b088dfc,glm-5.3-flash,1.0,3763.5555555555557,3868.6666666666665,2297.822807017544,1804.3209876543208,9.0,1.0,0.4444444444444444,4.0,9.0,46.666666666666664,1.0,24.242239480882578
cfbf58e1405e,glm-5.3-flash,2.0,1351.6333333333334,,757.1731578947368,,30.0,0.0,0.8666666666666667,4.0,30.0,140.66666666666666,1.0,0.5669815256027808
d285f977400a,glm-5.3-flash,0.0,519.3333333333334,1051.1333333333334,-75.12684210526315,-24.370370370370377,30.0,0.0,0.9,3.0,30.0,148.0,2.0,0.5899426584805703
d49bbe687ea9,glm-5.3-flash,3.0,4289.285714285715,4940.0,2553.185714285714,2605.1428571428573,7.0,1.0,0.2857142857142857,4.0,7.0,41.42857142857143,1.0,47.95542573115075
d5b416945b4e,glm-5.3-flash,0.0,1050.7333333333333,,456.2731578947368,,30.0,0.0,0.8666666666666667,4.0,30.0,140.0,1.0,0.5210424389995378
