threat_level,timeline,survival,ci_low,ci_high,n_sessions,n_events
0,0.0,1.0,1.0,1.0,20,0
0,7.0,1.0,1.0,1.0,20,0
0,30.0,1.0,1.0,1.0,20,0
1,0.0,1.0,1.0,1.0,20,1
1,5.0,1.0,1.0,1.0,20,1
1,7.0,1.0,1.0,1.0,20,1
1,8.0,1.0,1.0,1.0,20,1
1,9.0,1.0,1.0,1.0,20,1
1,10.0,0.9285714285714287,0.5907668674267574,0.98961982313685,20,1
1,11.0,0.9285714285714287,0.5907668674267574,0.98961982313685,20,1
1,28.0,0.9285714285714287,0.5907668674267574,0.98961982313685,20,1
1,30.0,0.9285714285714287,0.5907668674267574,0.98961982313685,20,1
2,0.0,1.0,1.0,1.0,20,1
2,7.0,1.0,1.0,1.0,20,1
2,9.0,0.9473684210526316,0.6811867998062862,0.992414635519268,20,1
2,10.0,0.9473684210526316,0.6811867998062862,0.992414635519268,20,1
2,30.0,0.9473684210526316,0.6811867998062862,0.992414635519268,20,1
3,0.0,1.0,1.0,1.0,20,2
3,7.0,0.95,0.6947431932565701,0.9928022285933972,20,2
3,9.0,0.9,0.6560307072615666,0.974010174395775,20,2
3,30.0,0.9,0.6560307072615666,0.974010174395775,20,2
4,0.0,1.0,1.0,1.0,20,2
4,7.0,0.95,0.6947431932565701,0.9928022285933972,20,2
4,8.0,0.95,0.6947431932565701,0.9928022285933972,20,2
4,9.0,0.95,0.6947431932565701,0.9928022285933972,20,2
4,10.0,0.8866666666666664,0.6136674243726786,0.970803931321506,20,2
4,30.0,0.8866666666666664,0.6136674243726786,0.970803931321506,20,2
