rung,framing,forfeit_condition,n,forfeit_rate,eliminated_rate,mean_turns,mean_final_score,mean_lives_at_end,forfeit_turn,n_turns,accuracy,ri_task_mean,ri_forfeit_mean
0,true_baseline,allowed,10,0.3,0.1,20.4,206.0,2.9,6.0,204,0.8823529411764706,356.36764705882354,244.13725490196077
0,true_baseline,not_allowed,10,0.0,0.3,22.6,218.0,2.2,,226,0.8761061946902655,475.95575221238937,
1,baseline_flagship,allowed,10,0.3,0.2,17.8,175.0,2.6,6.0,178,0.848314606741573,296.39325842696627,196.2865168539326
1,baseline_flagship,not_allowed,10,0.0,0.3,22.8,223.0,2.7,,228,0.8991228070175439,302.219298245614,
2,threat_l1,allowed,10,0.1,0.2,22.5,219.0,2.1,5.0,225,0.8666666666666667,424.26222222222225,241.68
2,threat_l1,not_allowed,10,0.0,0.4,20.6,188.0,2.0,,206,0.8543689320388349,353.5339805825243,
3,threat_l2,allowed,10,0.4,0.1,17.1,175.0,3.1,4.0,171,0.8654970760233918,281.2573099415205,193.58479532163742
3,threat_l2,not_allowed,10,0.0,0.5,18.2,154.0,1.4,,182,0.8021978021978022,380.95054945054943,
4,threat_l3,allowed,10,0.5,0.1,15.2,154.0,3.0,5.4,152,0.8355263157894737,412.74342105263156,230.83552631578948
4,threat_l3,not_allowed,10,0.0,0.3,22.6,222.0,2.6,,226,0.8938053097345132,344.64159292035396,
