session_id,model,threat_level,mean_ri_task,mean_ri_forfeit,delta_ri_task,delta_ri_forfeit,forfeit_time,forfeited,accuracy,lives_lost,n_turns,mean_score,min_lives,cox_risk_score
02ae3ba87232,gpt-oss-120b-cloud,0.0,414.9,195.2,16.482206959706954,-35.4654365079365,30.0,0.0,0.9333333333333333,2.0,30.0,156.33333333333334,3.0,0.6401712013916382
03283fb106ee,gpt-oss-120b-cloud,0.0,465.0,526.2,-179.89,168.37999999999997,5.0,1.0,0.4,2.0,5.0,38.0,3.0,10.906609551355638
042939406a61,gpt-oss-120b-cloud,1.0,513.6,191.06666666666666,115.18220695970696,-39.59876984126985,30.0,0.0,0.9,3.0,30.0,148.0,2.0,0.5946519563870231
0818e2273d39,gpt-oss-120b-cloud,0.0,1430.8,,785.9100000000001,,5.0,0.0,0.0,5.0,5.0,30.0,0.0,1.477068349281784
08b0d4ddd7b2,gpt-oss-120b-cloud,1.0,121.56666666666666,113.76666666666667,-276.8511263736264,-116.89876984126985,30.0,0.0,1.0,0.0,30.0,175.0,5.0,0.5330696311920808
09160abff747,gpt-oss-120b-cloud,0.0,554.4333333333333,412.46666666666664,156.01554029304032,181.80123015873016,30.0,0.0,0.9333333333333333,2.0,30.0,156.66666666666666,3.0,1.2994096499878087
0a901adb7f6e,gpt-oss-120b-cloud,3.0,128.7,,-269.71779304029303,,30.0,0.0,1.0,0.0,30.0,175.0,5.0,0.37182437346541536
18dc6dc42c59,gpt-oss-120b-cloud,3.0,445.6666666666667,,47.24887362637362,,30.0,0.0,0.9666666666666667,1.0,30.0,165.33333333333334,4.0,0.36996167515382405
1968cc2a8fc5,gpt-oss-120b-cloud,1.0,608.4333333333333,469.56666666666666,210.01554029304032,238.90123015873021,30.0,0.0,0.8666666666666667,4.0,30.0,142.33333333333334,1.0,1.3016512410975378
252af6a97e28,gpt-oss-120b-cloud,0.0,521.0,367.25,-49.576339285714276,40.21294642857142,8.0,1.0,0.625,2.0,8.0,50.0,3.0,5.548355325801789
26c6dd3336eb,gpt-oss-120b-cloud,3.0,301.3666666666667,151.73333333333332,-97.0511263736264,-78.93210317460317,30.0,0.0,0.9666666666666667,1.0,30.0,165.33333333333334,4.0,0.5851476466459802
29c59c72a130,gpt-oss-120b-cloud,2.0,446.06666666666666,276.9,47.648873626373636,46.23456349206349,30.0,0.0,0.9333333333333333,2.0,30.0,156.33333333333334,3.0,0.8340963765055445
2d5c44205ebf,gpt-oss-120b-cloud,3.0,329.96666666666664,,-68.4511263736264,,30.0,0.0,0.9,3.0,30.0,148.0,2.0,0.31452999368937146
328990142c3a,gpt-oss-120b-cloud,1.0,257.8333333333333,137.86666666666667,-140.58445970695973,-92.79876984126986,30.0,0.0,0.9333333333333333,2.0,30.0,156.33333333333334,3.0,0.520084951197385
32ec29671401,gpt-oss-120b-cloud,0.0,517.0,328.0,-101.30416666666666,-20.287500000000005,6.0,0.0,0.16666666666666666,5.0,6.0,35.0,0.0,3.3465232720464044
337a9d4b848f,gpt-oss-120b-cloud,2.0,475.2,179.4,-169.68999999999997,-178.42000000000002,5.0,1.0,0.0,4.0,5.0,30.0,1.0,2.734286030401603
373af084205c,gpt-oss-120b-cloud,3.0,264.2,172.0,-380.68999999999994,-185.82,5.0,0.0,0.0,5.0,5.0,30.0,0.0,2.1089069275515353
3751004e394a,gpt-oss-120b-cloud,1.0,442.46666666666664,,44.048873626373634,,30.0,0.0,0.9333333333333333,2.0,30.0,156.33333333333334,3.0,0.3459017577512464
38fdbe526db9,gpt-oss-120b-cloud,2.0,115.66666666666667,110.13333333333334,-282.75112637362633,-120.5321031746032,30.0,0.0,1.0,0.0,30.0,175.0,5.0,0.5264456266905556
3ad66b1ad575,gpt-oss-120b-cloud,0.0,430.8,,32.38220695970696,,30.0,0.0,0.9,3.0,30.0,148.0,2.0,0.31974539390376183
3c049d81946a,gpt-oss-120b-cloud,3.0,439.8333333333333,313.6666666666667,-178.4708333333333,-34.62083333333334,6.0,1.0,0.6666666666666666,1.0,6.0,46.666666666666664,4.0,5.940841981331735
3c571e85f77c,gpt-oss-120b-cloud,2.0,302.43333333333334,,-95.98445970695974,,30.0,0.0,0.9333333333333333,2.0,30.0,156.33333333333334,3.0,0.33809124308987276
3ec173011dc4,gpt-oss-120b-cloud,1.0,763.0,554.4,118.11000000000001,196.57999999999998,5.0,0.0,0.0,5.0,5.0,30.0,0.0,7.708034504643852
40ab30c5b2cf,gpt-oss-120b-cloud,2.0,192.57142857142858,,-392.91377551020406,,7.0,0.0,0.2857142857142857,5.0,7.0,41.42857142857143,0.0,1.016745314934802
